Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Joel Embiid,PHI,23_24,34.7,11.0,5.6,0.573,0
Luka Dončić,DAL,23_24,33.9,9.2,9.8,0.61,1
Giannis Antetokounmpo,MIL,23_24,30.4,11.5,6.5,0.598,1
Shai Gilgeous-Alexander,OKC,23_24,30.1,5.5,6.2,0.695,1
Jalen Brunson,NYK,23_24,28.7,3.6,6.7,0.61,1
Kevin Durant,PHO,23_24,27.1,6.6,5.0,0.598,1
Devin Booker,PHO,23_24,27.1,4.5,6.9,0.598,0
Jayson Tatum,BOS,23_24,26.9,8.1,4.9,0.78,1
Donovan Mitchell,CLE,23_24,26.6,5.1,6.1,0.585,0
De'Aaron Fox,SAC,23_24,26.6,4.6,5.6,0.561,0
Stephen Curry,GSW,23_24,26.4,4.5,5.1,0.561,0
Nikola Jokić,DEN,23_24,26.4,12.4,9.0,0.695,1
Tyrese Maxey,PHI,23_24,25.9,3.7,6.2,0.573,0
Anthony Edwards,MIN,23_24,25.9,5.4,5.1,0.683,1
Trae Young,ATL,23_24,25.7,2.8,10.8,0.439,0
LeBron James,LAL,23_24,25.7,7.3,8.3,0.573,0
Kyrie Irving,DAL,23_24,25.6,5.0,5.2,0.61,0
Ja Morant,MEM,23_24,25.1,5.6,8.1,0.329,0
Anthony Davis,LAL,23_24,24.7,12.6,3.5,0.573,0
Damian Lillard,MIL,23_24,24.3,4.4,7.0,0.598,0
DeMar DeRozan,CHI,23_24,24.0,4.3,5.3,0.476,0
Julius Randle,NYK,23_24,24.0,9.2,5.0,0.61,0
LaMelo Ball,CHO,23_24,23.9,5.1,8.0,0.256,0
Desmond Bane,MEM,23_24,23.7,4.4,5.5,0.329,0
Kawhi Leonard,LAC,23_24,23.7,6.1,3.6,0.622,0
Lauri Markkanen,UTA,23_24,23.2,8.2,2.0,0.378,0
Jaylen Brown,BOS,23_24,23.0,5.5,3.6,0.78,0
Zion Williamson,NOP,23_24,22.9,5.8,5.0,0.598,0
Cade Cunningham,DET,23_24,22.7,4.3,7.5,0.171,0
Anfernee Simons,POR,23_24,22.6,3.6,5.5,0.256,0
Paul George,LAC,23_24,22.6,5.2,3.5,0.622,0
Paolo Banchero,ORL,23_24,22.6,6.9,5.4,0.573,0
Jaren Jackson Jr.,MEM,23_24,22.5,5.5,2.3,0.329,0
Dejounte Murray,ATL,23_24,22.5,5.3,6.4,0.439,0
Cam Thomas,BRK,23_24,22.5,3.2,2.9,0.39,0
