Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Stephen Curry,GSW,15_16,30.1,5.4,6.7,0.89,1
James Harden,HOU,15_16,29.0,6.1,7.5,0.5,1
Kevin Durant,OKC,15_16,28.2,8.2,5.0,0.671,1
DeMarcus Cousins,SAC,15_16,26.9,11.5,3.3,0.402,0
LeBron James,CLE,15_16,25.3,7.4,6.8,0.695,1
Damian Lillard,POR,15_16,25.1,4.0,6.8,0.537,1
Anthony Davis,NOP,15_16,24.3,10.3,1.9,0.366,0
Russell Westbrook,OKC,15_16,23.5,7.8,10.4,0.671,1
DeMar DeRozan,TOR,15_16,23.5,4.5,4.0,0.683,0
Paul George,IND,15_16,23.1,7.0,4.1,0.549,0
Isaiah Thomas,BOS,15_16,22.2,3.0,6.2,0.585,0
Klay Thompson,GSW,15_16,22.1,3.8,2.1,0.89,0
Carmelo Anthony,NYK,15_16,21.8,7.7,4.2,0.39,0
Blake Griffin,LAC,15_16,21.4,8.4,4.9,0.646,0
Kyle Lowry,TOR,15_16,21.2,4.7,6.4,0.683,1
Kawhi Leonard,SAS,15_16,21.2,6.8,2.6,0.817,1
Jimmy Butler,CHI,15_16,20.9,5.3,4.8,0.512,0
Kemba Walker,CHO,15_16,20.9,4.4,5.2,0.585,0
CJ McCollum,POR,15_16,20.8,3.2,4.3,0.537,0
Andrew Wiggins,MIN,15_16,20.7,3.6,2.0,0.354,0
Brook Lopez,BRK,15_16,20.6,7.8,2.0,0.256,0
Eric Bledsoe,PHO,15_16,20.4,4.0,6.1,0.28,0
John Wall,WAS,15_16,19.9,4.9,10.2,0.5,0
Gordon Hayward,UTA,15_16,19.7,5.0,3.7,0.488,0
Kyrie Irving,CLE,15_16,19.6,3.0,4.7,0.695,0
Brandon Knight,PHO,15_16,19.6,3.9,5.1,0.28,0
Danilo Gallinari,DEN,15_16,19.5,5.3,2.5,0.402,0
Chris Paul,LAC,15_16,19.5,4.2,10.0,0.646,1
Chris Bosh,MIA,15_16,19.1,7.4,2.4,0.585,0
Dwyane Wade,MIA,15_16,19.0,4.1,4.6,0.585,0
Reggie Jackson,DET,15_16,18.8,3.2,6.2,0.537,0
Karl-Anthony Towns,MIN,15_16,18.3,10.5,2.0,0.354,0
Dirk Nowitzki,DAL,15_16,18.3,6.5,1.8,0.512,0
Nikola Vučević,ORL,15_16,18.2,8.9,2.8,0.427,0
Khris Middleton,MIL,15_16,18.2,3.8,4.2,0.402,0
LaMarcus Aldridge,SAS,15_16,18.0,8.5,1.5,0.817,0
Kobe Bryant,LAL,15_16,17.6,3.7,2.8,0.207,0
Jahlil Okafor,PHI,15_16,17.5,7.0,1.2,0.122,0
Bradley Beal,WAS,15_16,17.4,3.4,2.9,0.5,0
Rudy Gay,SAC,15_16,17.2,6.5,1.7,0.402,0
Paul Millsap,ATL,15_16,17.1,9.0,3.3,0.585,0
Ryan Anderson,NOP,15_16,17.0,6.0,1.1,0.366,0
Giannis Antetokounmpo,MIL,15_16,16.9,7.6,4.3,0.402,0
Jrue Holiday,NOP,15_16,16.8,3.0,6.0,0.366,0
Marc Gasol,MEM,15_16,16.6,7.0,3.8,0.512,0
Pau Gasol,CHI,15_16,16.5,11.0,4.1,0.512,0
Derrick Favors,UTA,15_16,16.4,8.1,1.5,0.488,0
Derrick Rose,CHI,15_16,16.4,3.4,4.7,0.512,0
JJ Redick,LAC,15_16,16.3,1.9,1.4,0.646,0
Andre Drummond,DET,15_16,16.2,14.8,0.8,0.537,0
Kevin Love,CLE,15_16,16.0,9.9,2.4,0.695,0
Victor Oladipo,ORL,15_16,16.0,4.8,3.9,0.427,0
Jeff Teague,ATL,15_16,15.7,2.7,5.9,0.585,0
Jordan Clarkson,LAL,15_16,15.5,4.0,2.4,0.207,0
Evan Fournier,ORL,15_16,15.4,2.8,2.7,0.427,0
Lou Williams,LAL,15_16,15.3,2.5,2.5,0.207,0
Greg Monroe,MIL,15_16,15.3,8.8,2.3,0.402,0
Mike Conley,MEM,15_16,15.3,2.9,6.1,0.512,0
Zach Randolph,MEM,15_16,15.3,7.8,2.1,0.512,0
Eric Gordon,NOP,15_16,15.2,2.2,2.7,0.366,0
Al Horford,ATL,15_16,15.2,7.3,3.2,0.585,0
Avery Bradley,BOS,15_16,15.2,2.9,2.1,0.585,0
Tyreke Evans,NOP,15_16,15.2,5.2,6.6,0.366,0
Thaddeus Young,BRK,15_16,15.1,9.0,1.9,0.256,0
Nicolas Batum,CHO,15_16,14.9,6.1,5.8,0.585,0
