Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Carmelo Anthony,NYK,12_13,28.7,6.9,2.6,0.659,1
Kevin Durant,OKC,12_13,28.1,7.9,4.6,0.732,1
Kobe Bryant,LAL,12_13,27.3,5.6,6.0,0.549,1
LeBron James,MIA,12_13,26.8,8.0,7.2,0.805,1
James Harden,HOU,12_13,25.9,4.9,5.8,0.549,1
Russell Westbrook,OKC,12_13,23.2,5.2,7.4,0.732,1
Stephen Curry,GSW,12_13,22.9,4.0,6.9,0.573,1
Kyrie Irving,CLE,12_13,22.5,3.7,5.9,0.293,0
Dwyane Wade,MIA,12_13,21.2,5.0,5.1,0.805,1
LaMarcus Aldridge,POR,12_13,21.1,9.1,2.6,0.402,0
Tony Parker,SAS,12_13,20.3,3.0,7.6,0.707,1
Brook Lopez,BRK,12_13,19.4,6.9,0.9,0.598,0
Monta Ellis,MIL,12_13,19.2,3.9,6.0,0.463,0
Damian Lillard,POR,12_13,19.0,3.1,6.5,0.402,0
Deron Williams,BRK,12_13,18.9,3.0,7.7,0.598,0
Paul Pierce,BOS,12_13,18.6,6.3,4.8,0.506,0
John Wall,WAS,12_13,18.5,4.0,7.6,0.354,0
David Lee,GSW,12_13,18.5,11.2,3.5,0.573,1
Kevin Love,MIN,12_13,18.3,14.0,2.3,0.378,0
Rudy Gay,MEMTOR,12_13,18.2,6.1,2.7,,0
DeMar DeRozan,TOR,12_13,18.1,3.9,2.5,0.415,0
J.R. Smith,NYK,12_13,18.1,5.3,2.7,0.659,0
Blake Griffin,LAC,12_13,18.0,8.3,3.7,0.683,0
Al Jefferson,UTA,12_13,17.8,9.2,2.1,0.524,0
Tim Duncan,SAS,12_13,17.8,9.9,2.7,0.707,1
Kemba Walker,CHA,12_13,17.7,3.5,5.7,0.256,0
Jrue Holiday,PHI,12_13,17.7,4.2,8.0,0.415,0
Brandon Jennings,MIL,12_13,17.5,3.1,6.5,0.463,0
Josh Smith,ATL,12_13,17.5,8.4,4.2,0.537,0
Paul George,IND,12_13,17.4,7.6,4.1,0.605,0
Al Horford,ATL,12_13,17.4,10.2,3.2,0.537,0
Dirk Nowitzki,DAL,12_13,17.3,6.8,2.5,0.5,0
David West,IND,12_13,17.1,7.7,2.9,0.605,0
DeMarcus Cousins,SAC,12_13,17.1,9.9,2.7,0.341,0
Dwight Howard,LAL,12_13,17.1,12.4,1.4,0.549,0
Eric Gordon,NOH,12_13,17.0,1.8,3.3,0.329,0
Chris Paul,LAC,12_13,16.9,3.7,9.7,0.683,1
Ty Lawson,DEN,12_13,16.7,2.7,6.9,0.695,1
Chris Bosh,MIA,12_13,16.6,6.8,1.7,0.805,0
Klay Thompson,GSW,12_13,16.6,3.7,2.2,0.573,0
Arron Afflalo,ORL,12_13,16.5,3.7,3.2,0.244,0
