Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Kevin Durant,OKC,11_12,28.0,8.0,3.5,0.712,1
Kobe Bryant,LAL,11_12,27.9,5.4,4.6,0.621,1
LeBron James,MIA,11_12,27.1,7.9,6.2,0.697,1
Kevin Love,MIN,11_12,26.0,13.3,2.0,0.394,1
Russell Westbrook,OKC,11_12,23.6,4.6,5.5,0.712,1
Carmelo Anthony,NYK,11_12,22.6,6.3,3.6,0.545,0
Dwyane Wade,MIA,11_12,22.1,4.8,4.6,0.697,1
Derrick Rose,CHI,11_12,21.8,3.4,7.9,0.758,1
LaMarcus Aldridge,POR,11_12,21.7,8.0,2.4,0.424,0
Dirk Nowitzki,DAL,11_12,21.6,6.7,2.2,0.545,1
Deron Williams,NJN,11_12,21.0,3.3,8.7,0.333,0
Blake Griffin,LAC,11_12,20.7,10.9,3.2,0.606,0
Dwight Howard,ORL,11_12,20.6,14.5,1.9,0.561,1
Eric Gordon,NOH,11_12,20.6,2.8,3.4,0.318,0
Monta Ellis,GSWMIL,11_12,20.4,3.4,6.0,,0
David Lee,GSW,11_12,20.1,9.6,2.8,0.348,0
Chris Paul,LAC,11_12,19.8,3.6,9.0,0.606,1
Andrea Bargnani,TOR,11_12,19.5,5.5,2.0,0.348,0
Paul Pierce,BOS,11_12,19.4,5.2,4.5,0.591,0
Brook Lopez,NJN,11_12,19.2,3.6,1.2,0.333,0
Al Jefferson,UTA,11_12,19.2,9.6,2.2,0.545,0
Brandon Jennings,MIL,11_12,19.1,3.4,5.5,0.47,0
Rudy Gay,MEM,11_12,19.0,6.4,2.3,0.621,0
Joe Johnson,ATL,11_12,18.8,3.7,3.9,0.606,1
Josh Smith,ATL,11_12,18.8,9.6,3.9,0.606,0
Andrew Bynum,LAL,11_12,18.7,11.8,1.4,0.621,0
Danny Granger,IND,11_12,18.7,5.0,1.8,0.636,0
Marcus Thornton,SAC,11_12,18.7,3.7,1.9,0.333,0
Kyrie Irving,CLE,11_12,18.5,3.7,5.4,0.318,0
Tony Parker,SAS,11_12,18.3,2.8,7.7,0.758,1
DeMarcus Cousins,SAC,11_12,18.1,11.0,1.6,0.333,0
Chris Bosh,MIA,11_12,18.0,7.9,1.8,0.697,0
Amar'e Stoudemire,NYK,11_12,17.5,7.8,1.1,0.545,0
Pau Gasol,LAL,11_12,17.4,10.4,3.6,0.621,0
Antawn Jamison,CLE,11_12,17.2,6.3,2.0,0.318,0
Kevin Martin,HOU,11_12,17.1,2.6,2.8,0.515,0
James Harden,OKC,11_12,16.8,4.1,3.7,0.712,0
DeMar DeRozan,TOR,11_12,16.7,3.3,2.0,0.348,0
Paul Millsap,UTA,11_12,16.6,8.8,2.3,0.545,0
Tyreke Evans,SAC,11_12,16.5,4.6,4.5,0.333,0
Ty Lawson,DEN,11_12,16.4,3.7,6.6,0.576,0
John Wall,WAS,11_12,16.3,4.5,8.0,0.303,0
Ryan Anderson,ORL,11_12,16.1,7.7,0.9,0.561,0
Kevin Garnett,BOS,11_12,15.8,8.2,2.9,0.591,0
Jarrett Jack,NOH,11_12,15.6,3.9,6.3,0.318,0
Luis Scola,HOU,11_12,15.5,6.5,2.1,0.515,0
Tim Duncan,SAS,11_12,15.4,9.0,2.3,0.758,1
Marcin Gortat,PHO,11_12,15.4,10.0,0.9,0.5,0
Greg Monroe,DET,11_12,15.4,9.7,2.3,0.379,0
Luol Deng,CHI,11_12,15.3,6.5,2.9,0.758,0
Arron Afflalo,DEN,11_12,15.2,3.2,2.4,0.576,0
Gerald Henderson,CHA,11_12,15.1,4.1,2.3,0.106,0
Jason Terry,DAL,11_12,15.1,2.4,3.6,0.545,0
Carlos Boozer,CHI,11_12,15.0,8.5,1.9,0.758,0
Corey Maggette,CHA,11_12,15.0,3.9,1.2,0.106,0
Chauncey Billups,LAC,11_12,15.0,2.5,4.0,0.606,0
