Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Jarrett Jack,TOR,09_10,11.4,2.7,5.0,0.488,0
Hedo Türkoğlu,TOR,09_10,11.3,4.6,4.1,0.488,0
Boris Diaw,CHA,09_10,11.3,5.2,4.0,0.537,0
Grant Hill,PHO,09_10,11.3,5.5,2.4,0.659,0
Channing Frye,PHO,09_10,11.2,5.3,1.4,0.659,0
Greg Oden,POR,09_10,11.1,8.5,0.9,0.61,0
Carlos Delfino,MIL,09_10,11.0,5.3,2.7,0.561,0
Metta World Peace,LAL,09_10,11.0,4.3,3.0,0.695,0
Ryan Gomes,MIN,09_10,10.9,4.6,1.6,0.183,0
Drew Gooden,DALLAC,09_10,10.9,7.7,0.7,,0
Kirk Hinrich,CHI,09_10,10.9,3.5,4.5,0.5,0
Mike Miller,WAS,09_10,10.9,6.2,3.9,0.317,0
Lamar Odom,LAL,09_10,10.8,9.8,3.3,0.695,0
Joakim Noah,CHI,09_10,10.7,11.0,2.1,0.5,0
Al Thornton,LACWAS,09_10,10.7,3.9,1.2,,0
Luke Ridnour,MIL,09_10,10.4,1.7,4.0,0.561,0
Ersan İlyasova,MIL,09_10,10.4,6.4,1.0,0.561,0
Emeka Okafor,NOH,09_10,10.4,9.0,0.7,0.451,0
Jason Kidd,DAL,09_10,10.3,5.6,9.0,0.671,0
T.J. Ford,IND,09_10,10.3,3.2,3.8,0.39,0
Omri Casspi,SAC,09_10,10.3,4.5,1.2,0.305,0
José Calderón,TOR,09_10,10.3,2.1,5.9,0.488,0
C.J. Watson,GSW,09_10,10.3,2.6,2.8,0.317,0
Dahntay Jones,IND,09_10,10.2,3.0,2.0,0.39,0
Kendrick Perkins,BOS,09_10,10.1,7.6,1.0,0.61,0
Nicolas Batum,POR,09_10,10.1,3.8,1.2,0.61,0
Nate Robinson,BOSNYK,09_10,10.1,2.0,2.9,,0
Marvin Williams,ATL,09_10,10.1,5.1,1.1,0.646,0
Randy Foye,WAS,09_10,10.1,1.9,3.3,0.317,0
Spencer Hawes,SAC,09_10,10.0,6.1,2.2,0.305,0
Will Bynum,DET,09_10,10.0,2.3,4.5,0.329,0
Ronald Murray,CHACHI,09_10,9.9,2.4,1.8,,0
Mike Dunleavy,IND,09_10,9.9,3.5,1.5,0.39,0
James Harden,OKC,09_10,9.9,3.2,1.8,0.61,0
Udonis Haslem,MIA,09_10,9.9,8.1,0.7,0.573,0
C.J. Miles,UTA,09_10,9.9,2.7,1.7,0.646,0
Chris Douglas-Roberts,NJN,09_10,9.8,3.0,1.4,0.146,0
Hakim Warrick,CHIMIL,09_10,9.6,4.1,0.7,,0
JJ Redick,ORL,09_10,9.6,1.9,1.9,0.72,0
Leandro Barbosa,PHO,09_10,9.5,1.6,1.5,0.659,0
Brandon Rush,IND,09_10,9.4,4.2,1.4,0.39,0
Tyrus Thomas,CHACHI,09_10,9.4,6.2,1.0,,0
Henry Walker,BOSNYK,09_10,9.4,2.5,1.1,,0
Wesley Matthews,UTA,09_10,9.4,2.3,1.5,0.646,0
Martell Webster,POR,09_10,9.4,3.3,0.8,0.61,0
Jonas Jerebko,DET,09_10,9.3,6.0,0.7,0.329,0
Brendan Haywood,DALWAS,09_10,9.1,9.3,0.6,,0
Larry Hughes,CHANYK,09_10,9.1,3.2,3.0,,0
Mike Bibby,ATL,09_10,9.1,2.3,3.9,0.646,0
Kyle Lowry,HOU,09_10,9.1,3.6,4.5,0.512,0
Travis Outlaw,LACPOR,09_10,9.1,3.6,1.0,,0
Rasheed Wallace,BOS,09_10,9.0,4.1,1.0,0.61,0
Taj Gibson,CHI,09_10,9.0,7.5,0.9,0.5,0
Quentin Richardson,MIA,09_10,8.9,4.9,1.2,0.573,0
Chase Budinger,HOU,09_10,8.9,3.0,1.2,0.512,0
Matt Barnes,ORL,09_10,8.8,5.5,1.7,0.72,0
Arron Afflalo,DEN,09_10,8.8,3.1,1.7,0.646,0
Ronnie Brewer,MEMUTA,09_10,8.8,3.2,2.7,,0
Delonte West,CLE,09_10,8.8,2.8,3.3,0.744,0
Brad Miller,CHI,09_10,8.8,4.9,1.9,0.5,0
Willie Green,PHI,09_10,8.7,1.8,2.1,0.329,0
Mickaël Piétrus,ORL,09_10,8.7,2.9,0.7,0.72,0
Nick Young,WAS,09_10,8.6,1.4,0.6,0.317,0
DeMar DeRozan,TOR,09_10,8.6,2.9,0.7,0.488,0
Toney Douglas,NYK,09_10,8.6,1.9,2.0,0.354,0
Marreese Speights,PHI,09_10,8.6,4.1,0.6,0.329,0
Anderson Varejão,CLE,09_10,8.6,7.6,1.1,0.744,0
Jerry Stackhouse,MIL,09_10,8.5,2.4,1.7,0.561,0
Jerryd Bayless,POR,09_10,8.5,1.6,2.3,0.61,0
