Player,Team,PPG,APG,WS,Season,RPG
De'Andre Hunter,ATL,17.0,1.4,4.4,2024-25,4.0
Keegan Murray,SAC,12.4,1.4,4.4,2024-25,6.7
Brandon Clarke,MEM,8.3,1.0,4.4,2024-25,5.1
Sam Hauser,BOS,8.5,0.9,4.4,2024-25,3.2
Tyus Jones,PHO,10.2,5.3,4.4,2024-25,2.4
Jonas Valančiūnas,SAC,10.4,2.0,4.3,2024-25,7.7
De'Aaron Fox,SAC,23.5,6.3,4.3,2024-25,4.8
Obi Toppin,IND,10.5,1.6,4.3,2024-25,4.0
Kevon Looney,GSW,4.5,1.6,4.3,2024-25,6.1
Aaron Gordon,DEN,14.7,3.2,4.3,2024-25,4.8
Isaiah Stewart,DET,6.0,1.7,4.3,2024-25,5.5
Nic Claxton,BRK,10.3,2.2,4.3,2024-25,7.4
Rui Hachimura,LAL,13.1,1.4,4.3,2024-25,5.0
Nickeil Alexander-Walker,MIN,9.4,2.7,4.3,2024-25,3.2
Brandin Podziemski,GSW,11.7,3.4,4.2,2024-25,5.1
Jabari Smith Jr.,HOU,12.2,1.1,4.2,2024-25,7.0
Anfernee Simons,POR,19.3,4.8,4.2,2024-25,2.7
Kel'el Ware,MIA,9.3,0.9,4.1,2024-25,7.4
Amir Coffey,LAC,9.7,1.1,4.0,2024-25,2.2
Kris Dunn,LAC,6.4,2.8,4.0,2024-25,3.4
Andrew Wiggins,GSW,18.0,2.6,4.0,2024-25,4.5
Donovan Clingan,POR,6.5,1.1,4.0,2024-25,7.9
Caris LeVert,ATL,12.1,3.4,4.0,2024-25,3.2
Guerschon Yabusele,PHI,11.0,2.1,3.9,2024-25,5.6
Alex Caruso,OKC,7.1,2.5,3.9,2024-25,2.9
Luke Kennard,MEM,8.9,3.3,3.9,2024-25,2.8
Donte DiVincenzo,MIN,11.7,3.6,3.9,2024-25,3.7
Ausar Thompson,DET,10.1,2.3,3.8,2024-25,5.1
Tyrese Maxey,PHI,26.3,6.1,3.8,2024-25,3.3
Victor Wembanyama,SAS,24.3,3.7,3.8,2024-25,11.0
Mason Plumlee,PHO,4.5,1.8,3.7,2024-25,6.1
Jaxson Hayes,LAL,6.8,1.0,3.7,2024-25,4.8
Spencer Dinwiddie,DAL,11.0,4.4,3.7,2024-25,2.6
Draymond Green,GSW,9.0,5.6,3.7,2024-25,6.1
Yves Missi,NOP,9.1,1.4,3.6,2024-25,8.2
Kenrich Williams,OKC,6.3,1.4,3.6,2024-25,3.5
Ja Morant,MEM,23.2,7.3,3.5,2024-25,4.1
Nicolas Batum,LAC,4.0,1.1,3.5,2024-25,2.8
Jaylen Wells,MEM,10.4,1.7,3.5,2024-25,3.4
Paolo Banchero,ORL,25.9,4.8,3.5,2024-25,7.5
Moses Moody,GSW,9.8,1.3,3.5,2024-25,2.6
