Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP,is_outlier
Giannis Antetokounmpo,MIL,18/19,2.2191780821917813,2.580645161290322,1.7727272727272727,0.9589743589743587,3.7777777777777772,1,1.0,-1.2857142857142858,3.4999999999999996,4.347826086956522,1.885714285714285,5.25,False
LaMarcus Aldridge,SAS,18/19,1.3424657534246578,1.516129032258064,0.18181818181818177,0.20512820512820473,1.888888888888889,0,0.5555555555555556,0.2857142857142857,1.6818181818181814,0.6086956521739131,1.1142857142857139,1.2499999999999998,False
Pascal Siakam,TOR,18/19,0.7397260273972602,0.7741935483870968,0.5,0.8307692307692304,1.888888888888889,0,0.8888888888888888,-0.14285714285714285,0.7272727272727271,0.8695652173913044,0.24285714285714274,1.4166666666666663,False
Steven Adams,OKC,18/19,0.3150684931506851,1.6129032258064513,-0.18181818181818177,0.27179487179487144,1.8148148148148144,0,0.8888888888888888,-0.2857142857142857,0.6818181818181818,0.3043478260869566,-0.3857142857142861,0.8333333333333333,False
Montrezl Harrell,LAC,18/19,0.6986301369863017,0.6451612903225805,0.0,0.20512820512820473,1.6666666666666663,0,1.1111111111111112,0.14285714285714285,1.795454545454545,1.2608695652173914,0.6285714285714283,1.4999999999999996,False
Eric Bledsoe,MIL,18/19,0.6027397260273974,0.03225806451612891,1.5909090909090908,0.9589743589743587,1.481481481481481,0,0.4444444444444444,-0.42857142857142855,0.8636363636363638,1.173913043478261,0.5428571428571425,1.4999999999999996,False
Danilo Gallinari,LAC,18/19,1.1369863013698633,0.5161290322580643,0.27272727272727276,0.20512820512820473,1.481481481481481,0,1.4444444444444444,0.5714285714285714,1.25,1.6956521739130437,0.6714285714285714,1.8333333333333328,False
Mike Conley,MEM,18/19,1.3150684931506853,-0.3548387096774193,2.0,-0.7333333333333334,1.4074074074074072,0,0.5555555555555556,0.42857142857142855,1.3409090909090904,1.8695652173913044,1.1714285714285713,2.333333333333333,True
Derrick Favors,UTA,18/19,0.041095890410959006,0.9354838709677419,-0.36363636363636365,0.33333333333333304,1.3703703703703702,0,1.3333333333333333,-0.7142857142857143,1.4318181818181819,1.2608695652173914,0.04285714285714245,1.083333333333333,False
Jusuf Nurkić,POR,18/19,0.5616438356164384,1.9032258064516128,0.5454545454545455,0.5179487179487178,1.333333333333333,0,0.4444444444444444,-0.42857142857142855,1.795454545454545,1.4347826086956523,0.7999999999999997,1.4166666666666663,False
Jarrett Allen,BRK,18/19,-0.08219178082191778,1.2580645161290323,-0.27272727272727276,-0.16923076923076938,1.259259259259259,0,1.2222222222222223,-0.2857142857142857,0.6818181818181818,0.5217391304347827,-0.4571428571428573,0.6666666666666664,False
Bradley Beal,WAS,18/19,1.9315068493150689,0.16129032258064513,1.5909090909090908,-0.7948717948717949,1.259259259259259,0,0.1111111111111111,0.8571428571428571,1.2045454545454546,1.0869565217391306,1.328571428571428,2.1666666666666665,True
Domantas Sabonis,IND,18/19,0.3561643835616438,1.5483870967741935,0.409090909090909,0.20512820512820473,1.259259259259259,0,0.6666666666666666,-0.5714285714285714,1.4545454545454541,1.173913043478261,0.6285714285714283,1.083333333333333,False
Al Horford,BOS,18/19,0.2876712328767123,0.7096774193548386,1.0,0.27179487179487144,1.222222222222222,0,1.1111111111111112,-0.14285714285714285,1.068181818181818,2.043478260869565,-0.028571428571428976,2.083333333333333,True
Kemba Walker,CHO,18/19,1.9315068493150689,-0.03225806451612891,1.7727272727272727,-0.35384615384615414,1.1851851851851851,0,0.0,0.8571428571428571,1.4090909090909087,1.6521739130434785,1.7714285714285711,2.75,True
Jerami Grant,OKC,18/19,0.2876712328767123,0.22580645161290325,-0.45454545454545453,0.27179487179487144,1.148148148148148,0,0.7777777777777778,0.0,-0.3863636363636362,-0.08695652173913045,-0.5285714285714287,0.3333333333333332,False
D.J. Augustin,ORL,18/19,0.02739726027397251,-0.6451612903225805,1.4999999999999998,-0.16923076923076938,1.0,0,1.1111111111111112,0.5714285714285714,0.04545454545454529,0.04347826086956521,-0.27142857142857174,0.2499999999999998,False
Thaddeus Young,IND,18/19,0.15068493150684928,0.6451612903225805,0.22727272727272727,0.20512820512820473,1.0,0,0.1111111111111111,-0.2857142857142857,0.15909090909090892,0.47826086956521746,-0.15714285714285733,0.9166666666666666,False
Darren Collison,IND,18/19,-0.041095890410959006,-0.45161290322580633,1.8181818181818181,0.20512820512820473,0.9629629629629628,0,0.6666666666666666,0.0,0.27272727272727254,0.6086956521739131,-0.20000000000000032,0.8333333333333333,False
Bam Adebayo,MIA,18/19,-0.3561643835616438,0.9032258064516127,0.09090909090909098,-0.35384615384615414,0.9629629629629628,0,0.8888888888888888,-0.5714285714285714,0.5454545454545451,0.6086956521739131,-0.47142857142857153,0.5833333333333333,False
Bojan Bogdanović,IND,18/19,0.8904109589041097,-0.1290322580645162,0.0,0.20512820512820473,0.9629629629629628,0,0.2222222222222222,0.2857142857142857,0.1363636363636367,0.13043478260869562,0.47142857142857103,0.49999999999999983,False
Willie Cauley-Stein,SAC,18/19,0.054794520547945265,1.2580645161290323,0.18181818181818177,-0.35384615384615414,0.9259259259259258,0,0.6666666666666666,0.0,0.5681818181818181,0.34782608695652173,-0.2285714285714288,0.5833333333333333,False
Brook Lopez,MIL,18/19,0.13698630136986303,0.1290322580645162,-0.36363636363636365,0.9589743589743587,0.9259259259259258,0,0.1111111111111111,-0.7142857142857143,-0.2045454545454546,0.7826086956521741,-0.34285714285714314,1.083333333333333,False
