Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP,is_outlier,Standings,Top3_Team,PPG_weighted,Efficiency_score,PPG_rel,Net_Rating,BPM_x_USG%,PPG_x_Win%
Bojan Bogdanović,IND,18/19,0.8904109589041097,-0.1290322580645162,0.0,0.2051282051282047,0.9629629629629628,0,0.2222222222222222,0.2857142857142857,0.1363636363636367,0.1304347826086956,0.471428571428571,0.4999999999999998,False,9,0,0.2,0.2,6.8,-0.1,0.1,0.2
Willie Cauley-Stein,SAC,18/19,0.0547945205479452,1.2580645161290325,0.1818181818181817,-0.3538461538461541,0.9259259259259258,0,0.6666666666666666,0.0,0.5681818181818181,0.3478260869565217,-0.2285714285714288,0.5833333333333333,False,12,0,-0.0,-0.5,0.4,0.7,-0.1,-0.0
Brook Lopez,MIL,18/19,0.136986301369863,0.1290322580645162,-0.3636363636363636,0.9589743589743588,0.9259259259259258,0,0.1111111111111111,-0.7142857142857143,-0.2045454545454546,0.7826086956521741,-0.3428571428571431,1.083333333333333,False,1,1,0.1,-0.1,1.0,0.8,-0.3,0.1
Malcolm Brogdon,MIL,18/19,0.5616438356164384,0.0,0.5454545454545455,0.9589743589743588,0.8518518518518517,0,1.0,0.0,0.5227272727272728,0.7826086956521741,0.2285714285714282,0.6666666666666664,False,1,1,0.5,1.1,4.3,1.0,0.2,0.5
Myles Turner,IND,18/19,0.2465753424657535,0.8709677419354838,-0.1818181818181817,0.2051282051282047,0.7777777777777776,0,-0.2222222222222222,-1.0,0.5681818181818181,0.9130434782608696,0.1285714285714283,1.083333333333333,False,9,0,0.1,0.2,1.9,0.8,0.1,0.1
Hassan Whiteside,MIA,18/19,0.1095890410958905,2.193548387096774,-0.5454545454545454,-0.3538461538461541,0.7777777777777776,0,0.0,-1.2857142857142858,1.818181818181818,0.8260869565217391,0.5,0.5833333333333333,True,12,0,-0.0,-0.6,0.8,1.3,0.4,-0.0
DeMar DeRozan,SAS,18/19,1.3287671232876714,0.4838709677419354,1.909090909090909,0.2051282051282047,0.7777777777777776,0,-0.2222222222222222,0.4285714285714285,0.931818181818182,0.3043478260869566,1.257142857142857,0.9166666666666666,False,9,0,0.3,0.8,10.2,-0.7,0.4,0.3
Monte Morris,DEN,18/19,-0.1506849315068492,-0.6774193548387096,0.7272727272727273,0.5846153846153845,0.7407407407407407,0,1.3333333333333333,0.4285714285714285,0.1590909090909089,0.4782608695652174,-0.2857142857142857,0.4999999999999998,False,4,0,-0.1,-0.1,-1.2,0.9,-0.1,-0.1
Khris Middleton,MIL,18/19,0.9315068493150688,0.4838709677419354,1.0454545454545452,0.9589743589743588,0.7037037037037035,0,-0.3333333333333333,-0.2857142857142857,0.2272727272727272,0.1739130434782609,0.8571428571428571,0.4999999999999998,False,1,1,0.9,2.4,7.1,-0.0,0.1,0.9
Paul Millsap,DEN,18/19,0.1506849315068492,0.8709677419354838,0.0,0.5846153846153845,0.7037037037037035,0,0.4444444444444444,-0.2857142857142857,0.5454545454545451,0.5652173913043478,0.0714285714285714,0.5833333333333333,False,4,0,0.1,0.6,1.2,0.7,0.0,0.1
Serge Ibaka,TOR,18/19,0.4794520547945206,1.1612903225806448,-0.3181818181818181,0.8307692307692304,0.7037037037037035,0,0.1111111111111111,-0.4285714285714285,0.7272727272727271,-0.0869565217391304,0.5428571428571425,0.0833333333333332,False,2,1,0.4,1.1,3.7,0.5,-0.0,0.4
Julius Randle,NOP,18/19,1.356164383561644,1.3548387096774188,0.5,-0.7333333333333334,0.7037037037037035,0,0.1111111111111111,0.5714285714285714,1.2272727272727268,0.4782608695652174,1.2428571428571429,0.7499999999999998,False,15,0,-1.0,-2.4,10.4,-0.5,0.6,-1.0
Joe Ingles,UTA,18/19,0.0821917808219177,-0.1612903225806451,1.6818181818181817,0.333333333333333,0.6666666666666665,0,-0.2222222222222222,-0.1428571428571428,-0.4772727272727271,0.4347826086956521,-0.2285714285714288,0.9166666666666666,False,7,0,0.0,0.5,0.6,-0.1,-0.1,0.0
John Collins,ATL,18/19,1.0958904109589045,1.7096774193548387,0.0,-0.9794871794871798,0.6666666666666665,0,1.1111111111111112,1.0,1.431818181818182,0.2173913043478261,0.6571428571428568,0.1666666666666666,False,17,0,-1.1,-2.7,8.4,0.1,0.1,-1.1
JaVale McGee,LAL,18/19,0.0684931506849315,0.9677419354838708,-0.5909090909090908,-0.4820512820512821,0.6296296296296297,0,0.5555555555555556,-0.5714285714285714,1.431818181818182,0.4347826086956521,0.1571428571428568,0.2499999999999998,False,13,0,-0.0,-0.2,0.5,1.1,0.1,-0.0
Danny Green,TOR,18/19,-0.1643835616438355,-0.1612903225806451,-0.1818181818181817,0.8307692307692304,0.6296296296296297,0,0.7777777777777778,0.0,-0.5681818181818181,0.6956521739130436,-0.7142857142857145,0.9166666666666666,False,2,1,-0.1,-0.4,-1.3,0.8,-0.5,-0.1
Buddy Hield,SAC,18/19,1.26027397260274,0.1612903225806451,0.2272727272727272,-0.3538461538461541,0.6296296296296297,0,0.1111111111111111,0.8571428571428571,0.4545454545454545,0.7391304347826089,0.8571428571428571,1.3333333333333333,False,12,0,-0.4,-0.6,9.6,-0.7,0.6,-0.4
JJ Redick,PHI,18/19,0.9041095890410962,-0.6774193548387096,0.3181818181818182,0.3948717948717946,0.6296296296296297,0,0.6666666666666666,1.0,-0.0909090909090909,-0.0869565217391304,0.3999999999999996,0.1666666666666666,False,6,0,0.4,0.2,6.9,-0.3,-0.0,0.4
Deandre Ayton,PHO,18/19,0.6575342465753427,1.870967741935484,-0.0909090909090908,-1.6051282051282054,0.5925925925925924,0,0.5555555555555556,0.7142857142857143,1.1363636363636362,-0.0869565217391304,0.2999999999999997,0.0833333333333332,False,19,0,-1.1,-3.9,5.0,-0.2,-0.0,-1.1
Mason Plumlee,DEN,18/19,-0.5068493150684933,0.6129032258064516,0.4545454545454545,0.5846153846153845,0.5925925925925924,0,0.5555555555555556,-0.4285714285714285,0.5227272727272728,0.7391304347826089,-0.4142857142857146,0.5833333333333333,False,4,0,-0.3,0.3,-3.9,1.0,-0.3,-0.3
Al-Farouq Aminu,POR,18/19,-0.2876712328767123,0.9677419354838708,-0.3181818181818181,0.5179487179487178,0.5925925925925924,0,0.6666666666666666,0.1428571428571428,-0.5227272727272728,0.1304347826086956,-0.7714285714285717,0.3333333333333332,False,5,0,-0.1,0.2,-2.2,0.5,-0.1,-0.1
Ed Davis,BRK,18/19,-0.7808219178082193,1.32258064516129,-0.5454545454545454,-0.1692307692307693,0.5555555555555555,0,1.8888888888888888,-0.4285714285714285,0.4090909090909092,-0.1739130434782609,-0.9142857142857146,-0.3333333333333333,False,10,0,0.1,0.0,-6.0,2.3,0.2,0.1
De'Aaron Fox,SAC,18/19,0.7945205479452057,-0.2258064516129032,2.4090909090909087,-0.3538461538461541,0.5185185185185183,0,-0.2222222222222222,0.4285714285714285,0.5909090909090912,0.4782608695652174,0.7714285714285712,0.9999999999999996,True,12,0,-0.3,-1.1,6.1,-0.7,0.4,-0.3
CJ McCollum,POR,18/19,1.3013698630136987,-0.1612903225806451,0.4545454545454545,0.5179487179487178,0.5185185185185183,0,0.1111111111111111,0.7142857142857143,0.3409090909090909,0.2608695652173913,0.914285714285714,0.5833333333333333,False,5,0,0.7,0.8,9.9,-0.6,0.2,0.7
Josh Richardson,MIA,18/19,0.6986301369863017,-0.2903225806451612,0.9545454545454544,-0.3538461538461541,0.5185185185185183,0,-0.1111111111111111,0.2857142857142857,-0.3409090909090909,-0.0434782608695652,0.2571428571428567,0.3333333333333332,False,12,0,-0.2,-0.5,5.3,-0.4,-0.0,-0.2
Thomas Bryant,WAS,18/19,-0.136986301369863,0.5806451612903224,-0.3181818181818181,-0.7948717948717949,0.5185185185185183,0,2.0,0.5714285714285714,1.25,0.6956521739130436,-0.2142857142857142,0.3333333333333332,True,16,0,0.1,-0.1,-1.0,1.4,-0.1,0.1
Joe Harris,BRK,18/19,0.3013698630136985,-0.2258064516129032,0.1818181818181817,-0.1692307692307693,0.4814814814814814,0,0.7777777777777778,0.7142857142857143,-0.4545454545454545,0.0434782608695652,-0.3000000000000002,0.2499999999999998,False,10,0,-0.1,-0.0,2.3,0.1,-0.0,-0.1
Marcus Smart,BOS,18/19,-0.3698630136986301,-0.5161290322580645,0.9090909090909092,0.2717948717948714,0.4074074074074073,0,0.1111111111111111,-0.1428571428571428,-0.5454545454545455,0.1739130434782609,-0.6428571428571431,0.3333333333333332,False,8,0,-0.1,0.0,-2.8,0.3,-0.1,-0.1
Jeremy Lamb,CHO,18/19,0.5205479452054796,0.3225806451612902,0.0909090909090909,-0.3538461538461541,0.4074074074074073,0,0.1111111111111111,0.4285714285714285,0.4090909090909092,0.3478260869565217,0.4857142857142855,0.5833333333333333,False,12,0,-0.2,-0.3,4.0,-0.3,0.2,-0.2
Klay Thompson,GSW,18/19,1.3698630136986305,-0.2258064516129032,0.1818181818181817,0.7692307692307687,0.4074074074074073,0,-0.2222222222222222,0.5714285714285714,0.2500000000000003,-0.3043478260869565,0.9285714285714286,0.0833333333333332,False,3,1,1.1,1.0,10.5,-0.8,-0.3,1.1
Jamal Murray,DEN,18/19,0.9178082191780822,-0.096774193548387,1.2727272727272725,0.5846153846153845,0.3333333333333331,0,-0.2222222222222222,0.4285714285714285,0.1136363636363636,0.0869565217391304,0.8285714285714282,0.4166666666666666,False,4,0,0.5,1.2,7.0,-0.7,0.1,0.5
Lou Williams,LAC,18/19,1.1643835616438358,-0.4838709677419354,1.5454545454545454,0.2051282051282047,0.3333333333333331,0,0.0,0.8571428571428571,1.2954545454545452,0.7826086956521741,1.9,0.8333333333333333,False,9,0,0.2,0.5,8.9,-0.9,1.5,0.2
Aaron Gordon,ORL,18/19,0.6164383561643837,0.935483870967742,0.7727272727272727,-0.1692307692307693,0.3333333333333331,0,-0.5555555555555556,0.1428571428571428,-0.0909090909090909,0.0869565217391304,0.3857142857142856,0.4999999999999998,False,10,0,-0.1,-0.4,4.7,-0.7,0.0,-0.1
Taj Gibson,MIN,18/19,-0.095890410958904,0.6451612903225805,-0.3636363636363636,-0.5435897435897438,0.3333333333333331,0,1.2222222222222223,0.5714285714285714,0.5227272727272728,-0.2173913043478261,-0.2714285714285717,-0.25,False,14,0,0.1,-0.1,-0.7,0.7,0.1,0.1
P.J. Tucker,HOU,18/19,-0.5753424657534247,0.4193548387096772,-0.3636363636363636,0.5179487179487178,0.2962962962962962,0,0.2222222222222222,0.2857142857142857,-1.431818181818182,-0.4347826086956522,-1.3714285714285717,-0.0833333333333334,False,5,0,-0.3,-0.3,-4.4,-0.1,0.6,-0.3
Donovan Mitchell,UTA,18/19,1.6849315068493154,-0.1290322580645162,1.0,0.333333333333333,0.2962962962962962,0,-0.8888888888888888,-0.1428571428571428,0.3863636363636362,0.391304347826087,1.7857142857142858,0.9166666666666666,False,7,0,0.6,0.9,12.9,-0.7,0.7,0.6
Reggie Jackson,DET,18/19,0.5342465753424659,-0.6129032258064515,1.0,-0.2307692307692309,0.2962962962962962,0,-0.1111111111111111,0.5714285714285714,-0.0681818181818183,0.0,0.7714285714285712,0.2499999999999998,False,11,0,-0.1,-0.2,4.1,-0.7,0.0,-0.1
Jayson Tatum,BOS,18/19,0.5753424657534246,0.4838709677419354,0.0454545454545454,0.2717948717948714,0.2962962962962962,0,-0.5555555555555556,-0.1428571428571428,-0.0909090909090909,-0.2608695652173913,0.4285714285714285,0.0,False,8,0,0.2,0.3,4.4,-0.4,-0.1,0.2
D'Angelo Russell,BRK,18/19,1.3150684931506853,-0.1935483870967742,2.2727272727272725,-0.1692307692307693,0.2962962962962962,0,-0.5555555555555556,0.2857142857142857,0.886363636363636,1.3043478260869563,1.828571428571428,1.9166666666666663,True,10,0,-0.2,-0.6,10.0,-0.8,2.4,-0.2
Larry Nance Jr.,CLE,18/19,-0.2876712328767123,1.1935483870967738,0.5454545454545455,-1.6051282051282054,0.2592592592592593,0,0.8888888888888888,0.5714285714285714,0.7045454545454548,0.8695652173913044,-0.5142857142857145,0.7499999999999998,False,19,0,0.5,-2.3,-2.2,0.3,-0.4,0.5
Gordon Hayward,BOS,18/19,0.0,0.0,0.6363636363636362,0.2717948717948714,0.2592592592592593,0,0.2222222222222222,0.1428571428571428,0.0227272727272726,0.1739130434782609,-0.0142857142857144,0.1666666666666666,False,8,0,0.0,0.2,0.0,0.1,-0.0,0.0
Luka Dončić,DAL,18/19,1.3287671232876714,1.0645161290322578,1.818181818181818,-0.7333333333333334,0.2592592592592593,0,-0.5555555555555556,0.1428571428571428,0.931818181818182,1.5217391304347827,1.6285714285714283,1.9166666666666663,False,15,0,-1.0,-3.1,10.2,-0.7,2.5,-1.0
Spencer Dinwiddie,BRK,18/19,0.7260273972602742,-0.6774193548387096,1.1818181818181817,-0.1692307692307693,0.222222222222222,0,0.2222222222222222,0.7142857142857143,0.1818181818181819,0.0869565217391304,0.8285714285714282,0.1666666666666666,False,10,0,-0.1,-0.2,5.5,-0.5,0.1,-0.1
Patrick Beverley,LAC,18/19,-0.5342465753424659,0.1612903225806451,0.818181818181818,0.2051282051282047,0.222222222222222,0,0.7777777777777778,0.4285714285714285,-0.8409090909090907,0.2173913043478261,-0.985714285714286,0.3333333333333332,False,9,0,-0.1,0.1,-4.1,0.3,-0.2,-0.1
Kelly Olynyk,MIA,18/19,-0.2054794520547945,0.0645161290322581,-0.0909090909090908,-0.3538461538461541,0.1851851851851851,0,0.2222222222222222,0.0,-0.2499999999999999,0.1304347826086956,-0.1571428571428573,0.0833333333333332,False,12,0,0.1,0.1,-1.6,0.2,-0.0,0.1
Tomáš Satoranský,WAS,18/19,-0.3561643835616438,-0.3225806451612902,1.3636363636363635,-0.7948717948717949,0.1851851851851851,0,1.0,1.1428571428571428,-0.3181818181818182,-0.4782608695652174,-0.7142857142857145,-0.3333333333333333,False,16,0,0.3,-0.5,-2.7,-0.1,0.3,0.3
Marcus Morris,BOS,18/19,0.3287671232876713,0.5161290322580643,-0.2272727272727272,0.2717948717948714,0.111111111111111,0,-0.2222222222222222,0.1428571428571428,-0.2954545454545456,-0.5652173913043479,0.2571428571428567,-0.4166666666666667,False,8,0,0.1,0.2,2.5,-0.4,-0.1,0.1
Nemanja Bjelica,SAC,18/19,-0.2602739726027398,0.4193548387096772,-0.0454545454545454,-0.3538461538461541,0.111111111111111,0,0.5555555555555556,0.2857142857142857,-0.0227272727272726,0.2173913043478261,-0.3714285714285716,0.1666666666666666,False,12,0,0.1,-0.0,-2.0,0.3,-0.1,0.1
Malik Beasley,DEN,18/19,-0.0273972602739725,-0.6451612903225805,-0.3636363636363636,0.5846153846153845,0.111111111111111,0,0.5555555555555556,0.5714285714285714,-0.2954545454545456,-0.1304347826086956,-0.0571428571428574,-0.0833333333333334,False,4,0,-0.0,-0.6,-0.2,-0.0,0.0,-0.0
Rudy Gay,SAS,18/19,0.3013698630136985,0.7419354838709675,0.2727272727272727,0.2051282051282047,0.0740740740740741,0,-0.1111111111111111,0.1428571428571428,0.4545454545454545,0.4347826086956521,0.4285714285714285,0.4166666666666666,False,9,0,0.1,0.3,2.3,-0.3,0.2,0.1
Jae Crowder,UTA,18/19,0.0547945205479452,0.096774193548387,-0.1363636363636363,0.333333333333333,0.0740740740740741,0,-0.5555555555555556,-0.1428571428571428,-0.7727272727272727,-0.0434782608695652,0.0,0.0833333333333332,False,7,0,0.0,0.0,0.4,-0.4,-0.0,0.0
Nerlens Noel,OKC,18/19,-0.904109589041096,-0.096774193548387,-0.6363636363636362,0.2717948717948714,0.0370370370370369,0,1.1111111111111112,-1.2857142857142858,0.8636363636363638,0.7391304347826089,-0.7571428571428572,0.0,False,8,0,-0.2,-0.4,-6.9,2.4,-0.6,-0.2
Draymond Green,GSW,18/19,-0.5616438356164384,0.9032258064516128,2.227272727272727,0.7692307692307687,0.0370370370370369,0,-0.4444444444444444,-0.2857142857142857,-0.5909090909090908,0.4347826086956521,-0.8571428571428574,0.5833333333333333,True,3,1,-0.4,2.0,-4.3,-0.2,-0.4,-0.4
Fred VanVleet,TOR,18/19,-0.0684931506849315,-0.6129032258064515,1.2727272727272725,0.8307692307692304,0.0370370370370369,0,0.2222222222222222,0.2857142857142857,-0.4090909090909092,0.0434782608695652,-0.1714285714285718,0.0,False,2,1,-0.1,0.5,-0.5,-0.1,-0.0,-0.1
Richaun Holmes,PHO,18/19,-0.4520547945205481,0.0645161290322581,-0.5,-1.6051282051282054,0.0370370370370369,0,1.6666666666666667,0.4285714285714285,1.1818181818181817,0.0869565217391304,-0.1714285714285718,-0.25,False,19,0,0.7,1.4,-3.5,1.2,-0.0,0.7
Terrence Ross,ORL,18/19,0.4931506849315069,-0.3225806451612902,-0.1363636363636363,-0.1692307692307693,0.0370370370370369,0,-0.4444444444444444,0.1428571428571428,-0.0227272727272726,0.1739130434782609,0.6857142857142853,0.3333333333333332,False,10,0,-0.1,-0.0,3.8,-0.6,0.1,-0.1
Andre Iguodala,GSW,18/19,-0.7945205479452055,-0.2580645161290321,0.5454545454545455,0.7692307692307687,0.0,0,1.3333333333333333,0.1428571428571428,-0.5454545454545455,0.6086956521739131,-1.242857142857143,0.3333333333333332,False,3,1,-0.6,-0.4,-6.1,1.2,-0.8,-0.6
Kentavious Caldwell-Pope,LAL,18/19,-0.0136986301369862,-0.5161290322580645,-0.3181818181818181,-0.4820512820512821,-0.0740740740740741,0,0.1111111111111111,0.5714285714285714,-0.5909090909090908,-0.391304347826087,-0.1428571428571428,-0.25,False,13,0,0.0,0.4,-0.1,-0.5,0.1,0.0
Dāvis Bertāns,SAS,18/19,-0.4794520547945206,-0.3225806451612902,-0.3181818181818181,0.2051282051282047,-0.0740740740740741,0,1.1111111111111112,0.5714285714285714,-0.5681818181818181,0.391304347826087,-0.7142857142857145,0.2499999999999998,False,9,0,-0.1,-0.2,-3.7,0.5,-0.3,-0.1
Jonathan Isaac,ORL,18/19,-0.2602739726027398,0.3225806451612902,-0.409090909090909,-0.1692307692307693,-0.0740740740740741,0,-0.5555555555555556,-0.2857142857142857,-0.5681818181818181,-0.3478260869565218,-0.4000000000000001,-0.25,False,10,0,0.0,0.1,-2.0,-0.3,0.1,0.0
Dewayne Dedmon,ATL,18/19,-0.095890410958904,0.9677419354838708,-0.2727272727272727,-0.9794871794871798,-0.0740740740740741,0,0.3333333333333333,0.1428571428571428,0.1136363636363636,0.0434782608695652,-0.3428571428571431,-0.0833333333333334,False,17,0,0.1,-0.6,-0.7,0.2,-0.0,0.1
Pat Connaughton,MIL,18/19,-0.6301369863013699,-0.096774193548387,0.0,0.9589743589743588,-0.1111111111111112,0,1.1111111111111112,-0.1428571428571428,-0.4318181818181819,0.3478260869565217,-0.8285714285714286,-0.0833333333333334,False,1,1,-0.6,-0.7,-4.8,1.3,-0.3,-0.6
Cody Zeller,CHO,18/19,-0.1917808219178083,0.7419354838709675,0.0454545454545454,-0.3538461538461541,-0.1111111111111112,0,1.2222222222222223,0.4285714285714285,0.3863636363636362,-0.1304347826086956,-0.4000000000000001,-0.3333333333333333,False,12,0,0.1,-0.2,-1.5,0.8,0.1,0.1
Marvin Williams,CHO,18/19,-0.1917808219178083,0.2903225806451613,-0.3636363636363636,-0.3538461538461541,-0.1481481481481482,0,0.0,0.4285714285714285,-0.6590909090909092,-0.3043478260869565,-0.6000000000000002,-0.1666666666666666,False,12,0,0.1,0.1,-1.5,-0.4,0.2,0.1
Bryn Forbes,SAS,18/19,0.041095890410959,-0.5161290322580645,0.0454545454545454,0.2051282051282047,-0.1481481481481482,0,0.1111111111111111,0.8571428571428571,-0.7954545454545454,-0.6956521739130436,-0.2428571428571432,-0.5,False,9,0,0.0,-0.1,0.3,-0.7,0.2,0.0
Ricky Rubio,UTA,18/19,0.1643835616438355,-0.2903225806451612,1.8636363636363635,0.333333333333333,-0.1851851851851851,0,-0.7777777777777778,-0.1428571428571428,-0.3409090909090909,-0.2608695652173913,0.514285714285714,-0.1666666666666666,False,7,0,0.1,0.6,1.3,-0.6,-0.1,0.1
Nicolas Batum,CHO,18/19,-0.3013698630136985,0.2258064516129032,0.5909090909090908,-0.3538461538461541,-0.1851851851851851,0,0.0,0.7142857142857143,-0.818181818181818,-0.3043478260869565,-0.8428571428571432,-0.0833333333333334,False,12,0,0.1,-0.2,-2.3,-0.7,0.3,0.1
Ryan Arcidiacono,CHI,18/19,-0.6575342465753425,-0.5806451612903224,0.5909090909090908,-1.4205128205128206,-0.1851851851851851,0,1.0,1.0,-0.8863636363636364,-1.0,-1.0571428571428574,-0.8333333333333333,False,18,0,0.9,0.9,-5.0,0.0,1.1,0.9
Derrick White,SAS,18/19,-0.2191780821917808,-0.2580645161290321,0.8636363636363635,0.2051282051282047,-0.2222222222222222,0,-0.1111111111111111,0.2857142857142857,-0.1590909090909089,0.2173913043478261,-0.2000000000000003,0.1666666666666666,False,9,0,-0.0,0.1,-1.7,-0.4,-0.0,-0.0
Jeff Green,WAS,18/19,0.1095890410958905,-0.1612903225806451,-0.0909090909090908,-0.7948717948717949,-0.2222222222222222,0,0.3333333333333333,1.1428571428571428,-0.4318181818181819,-0.782608695652174,-0.1857142857142858,-0.6666666666666666,False,16,0,-0.1,0.1,0.8,-0.8,0.1,-0.1
