Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Russell Westbrook;28.1;2014-15;26;OKC;67;67;1;2302;627;1471;541;1183;86;288;546;654;124;364;488;574;140;14;293;184;1886;0.426;0.457;0.299;0.835;0.536;0.455;G;westbru01
2;James Harden;27.4;2014-15;25;HOU;81;81;1;2981;647;1470;439;915;208;555;715;824;75;384;459;565;154;60;321;208;2217;0.44;0.48;0.375;0.868;0.605;0.511;G;hardeja01
3;Kevin Durant;25.4;2014-15;26;OKC;27;27;1;913;238;467;174;308;64;159;146;171;16;162;178;110;24;25;74;40;686;0.51;0.565;0.403;0.854;0.633;0.578;F-G;duranke01
4;LeBron James;25.3;2014-15;30;CLE;69;69;1;2493;624;1279;504;940;120;339;375;528;51;365;416;511;109;49;272;135;1743;0.488;0.536;0.354;0.71;0.577;0.535;F-G;jamesle01
5;Anthony Davis;24.4;2014-15;21;NOP;68;68;1;2455;642;1199;641;1187;1;12;371;461;173;523;696;149;100;200;95;141;1656;0.535;0.54;0.083;0.805;0.591;0.536;F-C;davisan02
6;Carmelo Anthony;24.2;2014-15;30;NYK;40;40;1;1428;358;806;297;627;61;179;189;237;72;192;264;122;40;17;89;87;966;0.444;0.474;0.341;0.797;0.531;0.482;F;anthoca01
7;DeMarcus Cousins;24.1;2014-15;24;SAC;59;59;1;2013;498;1066;496;1058;2;8;423;541;185;562;747;210;90;103;254;241;1421;0.467;0.469;0.25;0.782;0.545;0.468;C-F;couside01
8;Stephen Curry;23.8;2014-15;26;GSW;80;80;1;2613;653;1341;367;695;286;646;308;337;56;285;341;619;163;16;249;158;1900;0.487;0.528;0.443;0.914;0.638;0.594;G;curryst01
9;LaMarcus Aldridge;23.4;2014-15;29;POR;71;71;1;2512;659;1415;622;1310;37;105;306;362;177;549;726;124;48;68;122;125;1661;0.466;0.475;0.352;0.845;0.528;0.479;F-C;aldrila01
10;Kobe Bryant;22.3;2014-15;36;LAL;35;35;1;1207;266;713;212;529;54;184;196;241;26;173;199;197;47;7;128;65;782;0.373;0.401;0.293;0.813;0.477;0.411;G-F;bryanko01
11;Blake Griffin;21.9;2014-15;25;LAC;67;67;1;2356;574;1144;564;1119;10;25;311;427;126;382;508;354;63;35;152;196;1469;0.502;0.504;0.4;0.728;0.551;0.506;F-C;griffbl01
12;Kyrie Irving;21.7;2014-15;22;CLE;75;75;1;2730;578;1235;421;857;157;378;315;365;55;182;237;389;114;20;186;146;1628;0.468;0.491;0.415;0.863;0.583;0.532;G;irvinky01
13;Klay Thompson;21.7;2014-15;24;GSW;77;77;1;2455;602;1299;363;754;239;545;225;256;27;220;247;222;87;60;149;122;1668;0.463;0.481;0.439;0.879;0.591;0.555;G-F;thompkl01
14;Dwyane Wade;21.5;2014-15;33;MIA;62;62;1;1971;509;1084;480;982;29;102;284;370;58;161;219;299;73;21;209;105;1331;0.47;0.489;0.284;0.768;0.534;0.483;G;wadedw01
15;Chris Bosh;21.1;2014-15;30;MIA;44;44;1;1556;343;745;280;577;63;168;179;232;46;264;310;95;41;25;95;69;928;0.46;0.485;0.375;0.772;0.548;0.503;F-C;boshch01
16;Rudy Gay;21.1;2014-15;28;SAC;68;67;0;2408;508;1116;429;896;79;220;337;393;98;301;399;250;71;41;183;157;1432;0.455;0.479;0.359;0.858;0.556;0.491;F;gayru01
17;Damian Lillard;21;2014-15;24;POR;82;82;1;2925;590;1360;394;788;196;572;344;398;49;329;378;507;97;21;222;164;1720;0.434;0.5;0.343;0.864;0.56;0.506;G;lillada01
18;DeMar DeRozan;20.1;2014-15;25;TOR;60;60;0;2100;409;990;384;902;25;88;361;434;41;236;277;210;73;11;137;122;1204;0.413;0.426;0.284;0.832;0.51;0.426;G-F;derozde01
19;Jimmy Butler;20;2014-15;25;CHI;65;65;1;2513;421;912;348;719;73;193;386;463;114;265;379;212;114;36;93;108;1301;0.462;0.484;0.378;0.834;0.583;0.502;F-G;butleji01
20;Kevin Martin;20;2014-15;31;MIN;39;36;0;1302;267;625;192;434;75;191;170;193;19;123;142;89;33;1;76;76;779;0.427;0.442;0.393;0.881;0.549;0.487;G;martike02
21;Nikola Vučević;19.3;2014-15;24;ORL;74;74;0;2529;631;1206;629;1200;2;6;164;218;238;572;810;147;54;54;148;220;1428;0.523;0.524;0.333;0.752;0.548;0.524;C;vucevni01
22;Gordon Hayward;19.3;2014-15;24;UTA;76;76;0;2618;484;1087;364;757;120;330;375;462;54;319;373;313;108;30;206;131;1463;0.445;0.481;0.364;0.812;0.567;0.5;F-G;haywago01
23;Chris Paul;19.1;2014-15;29;LAC;82;82;1;2857;568;1170;429;821;139;349;289;321;52;324;376;838;156;15;190;203;1564;0.485;0.523;0.398;0.9;0.596;0.545;G;paulch01
24;Monta Ellis;18.9;2014-15;29;DAL;80;80;0;2699;602;1354;521;1070;81;284;228;303;34;156;190;329;148;25;198;197;1513;0.445;0.487;0.285;0.752;0.509;0.475;G;ellismo01
25;Pau Gasol;18.5;2014-15;34;CHI;78;78;1;2681;570;1153;558;1127;12;26;294;366;220;699;919;210;25;147;158;147;1446;0.494;0.495;0.462;0.803;0.55;0.5;C-F;gasolpa01
