Player,Team,Season,PPG,RPG,APG
Ricky Rubio,PHO,19_20,13.0,4.7,8.8
Miles Bridges,CHO,19_20,13.0,5.6,1.8
Marcus Smart,BOS,19_20,12.9,3.8,4.8
Kyle Kuzma,LAL,19_20,12.8,4.5,1.3
Damion Lee,GSW,19_20,12.7,4.9,2.7
Jeremy Lamb,IND,19_20,12.5,4.3,2.1
Robert Covington,HOUMIN,19_20,12.4,6.6,1.3
Seth Curry,DAL,19_20,12.4,2.3,1.9
De'Andre Hunter,ATL,19_20,12.3,4.5,1.8
Darius Garland,CLE,19_20,12.3,1.9,3.9
Richaun Holmes,SAC,19_20,12.3,8.1,1.0
P.J. Washington,CHO,19_20,12.2,5.4,2.1
Kevin Huerter,ATL,19_20,12.2,4.1,3.8
Isaiah Thomas,WAS,19_20,12.2,1.7,3.6
Markelle Fultz,ORL,19_20,12.1,3.3,5.1
Myles Turner,IND,19_20,12.1,6.6,1.2
Taurean Prince,BRK,19_20,12.1,6.0,1.8
Brandon Clarke,MEM,19_20,12.1,5.9,1.4
Tristan Thompson,CLE,19_20,12.0,10.1,2.1
Jerami Grant,DEN,19_20,12.0,3.5,1.2
Brook Lopez,MIL,19_20,12.0,4.6,1.5
Reggie Jackson,DETLAC,19_20,11.9,3.0,4.1
Otto Porter Jr.,CHI,19_20,11.9,3.4,1.8
Al Horford,PHI,19_20,11.9,6.8,4.0
Jonathan Isaac,ORL,19_20,11.9,6.8,1.4
Lonzo Ball,NOP,19_20,11.8,6.1,7.0
Glenn Robinson III,GSWPHI,19_20,11.7,4.4,1.5
Patty Mills,SAS,19_20,11.6,1.6,1.8
Paul Millsap,DEN,19_20,11.6,5.7,1.6
Nemanja Bjelica,SAC,19_20,11.5,6.4,2.8
Jordan McRae,DENDETWAS,19_20,11.5,3.4,2.5
Aron Baynes,PHO,19_20,11.5,5.6,1.6
Justise Winslow,MIA,19_20,11.3,6.6,4.0
Wendell Carter Jr.,CHI,19_20,11.3,9.4,1.2
Derrick White,SAS,19_20,11.3,3.3,3.5
Bryn Forbes,SAS,19_20,11.2,2.0,1.7
Malik Beasley,DENMIN,19_20,11.2,2.7,1.4
Dion Waiters,LALMIA,19_20,11.1,2.4,2.0
Jarrett Allen,BRK,19_20,11.1,9.6,1.6
Cody Zeller,CHO,19_20,11.1,7.1,1.5
Cedi Osman,CLE,19_20,11.0,3.6,2.4
Mychal Mulder,GSW,19_20,11.0,3.3,1.1
Rodney Hood,POR,19_20,11.0,3.4,1.5
Dejounte Murray,SAS,19_20,10.9,5.8,4.1
Ish Smith,WAS,19_20,10.9,3.2,4.9
Cameron Payne,PHO,19_20,10.9,3.9,3.0
Jeff Teague,ATLMIN,19_20,10.9,2.4,5.2
Steven Adams,OKC,19_20,10.9,9.3,2.3
Rudy Gay,SAS,19_20,10.8,5.4,1.7
Dario Šarić,PHO,19_20,10.7,6.2,1.9
OG Anunoby,TOR,19_20,10.6,5.3,1.6
Jae Crowder,MEMMIA,19_20,10.5,5.9,2.5
Cam Reddish,ATL,19_20,10.5,3.7,1.5
D.J. Augustin,ORL,19_20,10.5,2.1,4.6
Danuel House Jr.,HOU,19_20,10.5,4.2,1.3
Troy Brown Jr.,WAS,19_20,10.4,5.6,2.6
Gary Harris,DEN,19_20,10.4,2.9,2.1
Garrett Temple,BRK,19_20,10.3,3.5,2.5
Shabazz Napier,MINWAS,19_20,10.3,2.8,4.7
Thaddeus Young,CHI,19_20,10.3,4.9,1.8
Doug McDermott,IND,19_20,10.3,2.5,1.1
Langston Galloway,DET,19_20,10.3,2.3,1.5
Malik Monk,CHO,19_20,10.3,2.9,2.1
Bobby Portis,NYK,19_20,10.1,5.1,1.5
Josh Hart,NOP,19_20,10.1,6.5,1.7
Larry Nance Jr.,CLE,19_20,10.1,7.3,2.2
Ben McLemore,HOU,19_20,10.1,2.2,0.8
Elfrid Payton,NYK,19_20,10.0,4.7,7.2
Kevin Porter Jr.,CLE,19_20,10.0,3.2,2.2
Tomáš Satoranský,CHI,19_20,9.9,3.9,5.4
Joe Ingles,UTA,19_20,9.8,3.9,5.2
Furkan Korkmaz,PHI,19_20,9.8,2.3,1.1
Frank Kaminsky,PHO,19_20,9.7,4.5,1.9
Mitchell Robinson,NYK,19_20,9.7,7.0,0.6
Markieff Morris,DETLAL,19_20,9.7,3.8,1.3
Dorian Finney-Smith,DAL,19_20,9.5,5.7,1.6
Aaron Holiday,IND,19_20,9.5,2.4,3.4
Jeff Green,HOUUTA,19_20,9.4,2.8,1.0
Shake Milton,PHI,19_20,9.4,2.2,2.6
Dwight Powell,DAL,19_20,9.4,5.7,1.5
George Hill,MIL,19_20,9.4,3.0,3.1
Kentavious Caldwell-Pope,LAL,19_20,9.3,2.1,1.6
Michael Porter Jr.,DEN,19_20,9.3,4.7,0.8
Marquese Chriss,GSW,19_20,9.3,6.2,1.9
Landry Shamet,LAC,19_20,9.3,1.9,1.9
Daniel Theis,BOS,19_20,9.2,6.6,1.7
Donte DiVincenzo,MIL,19_20,9.2,4.8,2.3
Jarrett Culver,MIN,19_20,9.2,3.4,1.7
Mikal Bridges,PHO,19_20,9.1,4.0,1.8
Jake Layman,MIN,19_20,9.1,2.5,0.7
