Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Russell Westbrook;31.6;2016-17;28;OKC;81;81;1;2802;824;1941;624;1358;200;583;710;840;137;727;864;840;132;31;438;190;2558;0.425;0.459;0.343;0.845;0.554;0.476;G;westbru01
2;James Harden;29.1;2016-17;27;HOU;81;81;1;2947;674;1533;412;777;262;756;746;881;95;564;659;907;121;38;464;215;2356;0.44;0.53;0.347;0.847;0.613;0.525;G;hardeja01
3;Isaiah Thomas;28.9;2016-17;27;BOS;76;76;1;2569;682;1473;437;827;245;646;590;649;43;162;205;448;70;13;210;167;2199;0.463;0.528;0.379;0.909;0.625;0.546;G;thomais02
4;Anthony Davis;28;2016-17;23;NOP;75;75;1;2708;770;1526;730;1392;40;134;519;647;172;712;884;157;94;167;181;168;2099;0.505;0.524;0.299;0.802;0.58;0.518;F-C;davisan02
5;DeMar DeRozan;27.3;2016-17;27;TOR;74;74;1;2620;721;1545;688;1421;33;124;545;647;70;316;386;290;78;13;180;134;2020;0.467;0.484;0.266;0.842;0.552;0.477;G-F;derozde01
6;Damian Lillard;27;2016-17;26;POR;75;75;0;2694;661;1488;447;909;214;579;488;545;46;322;368;440;68;20;197;152;2024;0.444;0.492;0.37;0.895;0.586;0.516;G;lillada01
7;DeMarcus Cousins;27;2016-17;26;NOPSAC;72;72;1;2465;647;1432;516;1069;131;363;517;670;152;642;794;332;100;93;269;278;1942;0.452;0.483;0.361;0.772;0.562;0.498;C-F;couside01
8;LeBron James;26.4;2016-17;32;CLE;74;74;1;2794;736;1344;612;1002;124;342;358;531;97;542;639;646;92;44;303;134;1954;0.548;0.611;0.363;0.674;0.619;0.594;F-G;jamesle01
9;Kawhi Leonard;25.5;2016-17;25;SAS;74;74;1;2474;636;1312;489;925;147;387;469;533;80;350;430;260;133;55;154;122;1888;0.485;0.529;0.38;0.88;0.61;0.541;F;leonaka01
10;Stephen Curry;25.3;2016-17;28;GSW;79;79;1;2638;675;1443;351;654;324;789;325;362;61;292;353;524;142;17;239;183;1999;0.468;0.537;0.411;0.898;0.624;0.58;G;curryst01
11;Kyrie Irving;25.2;2016-17;24;CLE;72;72;1;2525;671;1420;494;979;177;441;297;328;52;178;230;418;83;24;180;157;1816;0.473;0.505;0.401;0.905;0.58;0.535;G;irvinky01
12;Karl-Anthony Towns;25.1;2016-17;21;MIN;82;82;0;3030;802;1480;701;1205;101;275;356;428;296;711;1007;220;56;103;212;241;2061;0.542;0.582;0.367;0.832;0.618;0.576;C-F;townska01
13;Kevin Durant;25.1;2016-17;28;GSW;62;62;1;2070;551;1026;434;714;117;312;336;384;39;474;513;300;66;99;138;117;1555;0.537;0.608;0.375;0.875;0.651;0.594;F-G;duranke01
14;Jimmy Butler;23.9;2016-17;27;CHI;76;75;1;2809;570;1252;479;1004;91;248;585;676;129;341;470;417;143;32;159;112;1816;0.455;0.477;0.367;0.865;0.586;0.492;F-G;butleji01
15;Paul George;23.7;2016-17;26;IND;75;75;1;2689;622;1348;427;852;195;496;336;374;58;434;492;251;119;27;220;206;1775;0.461;0.501;0.393;0.898;0.587;0.534;F-G;georgpa01
16;Andrew Wiggins;23.6;2016-17;21;MIN;82;82;0;3048;709;1570;606;1281;103;289;412;542;102;226;328;189;82;30;187;183;1933;0.452;0.473;0.356;0.76;0.534;0.484;F-G;wiggian01
17;Kemba Walker;23.2;2016-17;26;CHO;79;79;1;2739;643;1449;403;847;240;602;304;359;45;263;308;434;85;22;168;119;1830;0.444;0.476;0.399;0.847;0.569;0.527;G;walkeke02
18;John Wall;23.1;2016-17;26;WAS;78;78;1;2836;647;1435;558;1163;89;272;422;527;59;267;326;831;157;49;322;151;1805;0.451;0.48;0.327;0.801;0.541;0.482;G;walljo01
19;Bradley Beal;23.1;2016-17;23;WAS;77;77;0;2684;637;1322;414;770;223;552;282;342;53;187;240;267;83;21;156;169;1779;0.482;0.538;0.404;0.825;0.604;0.566;G;bealbr01
20;CJ McCollum;23;2016-17;25;POR;80;80;0;2796;692;1441;507;1002;185;439;268;294;60;229;289;285;72;42;172;202;1837;0.48;0.506;0.421;0.912;0.585;0.544;G;mccolcj01
21;Giannis Antetokounmpo;22.9;2016-17;22;MIL;80;80;1;2845;656;1259;607;1079;49;180;471;612;142;558;700;434;131;151;234;246;1832;0.521;0.563;0.272;0.77;0.599;0.541;F-G;antetgi01
22;Carmelo Anthony;22.4;2016-17;32;NYK;74;74;1;2538;602;1389;451;968;151;421;304;365;62;376;438;213;60;34;153;198;1659;0.433;0.466;0.359;0.833;0.535;0.488;F;anthoca01
23;Kyle Lowry;22.4;2016-17;30;TOR;60;60;1;2244;426;918;233;450;193;468;299;365;48;238;286;417;88;19;173;170;1344;0.464;0.518;0.412;0.819;0.623;0.569;G;lowryky01
