Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Kevin Durant;32;2013-14;25;OKC;81;81;1;3122;849;1688;657;1197;192;491;703;805;58;540;598;445;103;59;285;174;2593;0.503;0.549;0.391;0.873;0.635;0.56;F-G;duranke01
2;Carmelo Anthony;27.4;2013-14;29;NYK;77;77;1;2982;743;1643;576;1228;167;415;459;541;145;477;622;242;95;51;198;224;2112;0.452;0.469;0.402;0.848;0.561;0.503;F;anthoca01
3;LeBron James;27.1;2013-14;29;MIA;77;77;1;2902;767;1353;651;1047;116;306;439;585;81;452;533;488;121;26;270;126;2089;0.567;0.622;0.379;0.75;0.649;0.61;F-G;jamesle01
4;Kevin Love;26.1;2013-14;25;MIN;77;77;1;2797;650;1421;460;916;190;505;520;633;224;739;963;341;59;35;196;136;2010;0.457;0.502;0.376;0.821;0.591;0.524;F-C;loveke01
5;James Harden;25.4;2013-14;24;HOU;73;73;1;2777;549;1205;372;722;177;483;576;665;61;283;344;446;115;29;265;177;1851;0.456;0.515;0.366;0.866;0.618;0.529;G;hardeja01
6;Blake Griffin;24.1;2013-14;24;LAC;80;80;1;2863;718;1359;706;1315;12;44;482;674;192;565;757;309;92;51;224;265;1930;0.528;0.537;0.273;0.715;0.583;0.533;F-C;griffbl01
7;Stephen Curry;24;2013-14;25;GSW;78;78;1;2846;652;1383;391;768;261;615;308;348;46;288;334;666;128;14;294;194;1873;0.471;0.509;0.424;0.885;0.61;0.566;G;curryst01
8;LaMarcus Aldridge;23.2;2013-14;28;POR;69;69;1;2498;652;1423;649;1408;3;15;296;360;166;599;765;178;63;68;123;147;1603;0.458;0.461;0.2;0.822;0.507;0.459;F-C;aldrila01
9;DeMarcus Cousins;22.7;2013-14;23;SAC;71;71;0;2298;591;1191;591;1184;0;7;432;595;218;613;831;207;109;91;251;270;1614;0.496;0.499;0;0.726;0.555;0.496;C-F;couside01
10;DeMar DeRozan;22.7;2013-14;24;TOR;79;79;1;3017;604;1407;540;1197;64;210;519;630;51;292;343;313;86;28;176;197;1791;0.429;0.451;0.305;0.824;0.532;0.452;G-F;derozde01
11;Al Jefferson;21.8;2013-14;29;CHA;73;73;0;2553;700;1376;697;1361;3;15;191;277;156;636;792;155;67;79;124;176;1594;0.509;0.512;0.2;0.69;0.532;0.51;C-F;jeffeal01
12;Russell Westbrook;21.8;2013-14;25;OKC;46;46;0;1412;346;791;278;577;68;214;242;293;55;208;263;319;88;7;177;104;1002;0.437;0.482;0.318;0.826;0.545;0.48;G;westbru01
13;Paul George;21.7;2013-14;23;IND;80;80;1;2898;577;1362;395;862;182;500;401;464;64;478;542;283;151;22;224;198;1737;0.424;0.458;0.364;0.864;0.555;0.49;F-G;georgpa01
14;Dirk Nowitzki;21.7;2013-14;35;DAL;80;80;1;2628;633;1273;502;944;131;329;338;376;40;458;498;216;73;45;117;165;1735;0.497;0.532;0.398;0.899;0.603;0.549;F-C;nowitdi01
15;Kyrie Irving;20.8;2013-14;21;CLE;71;71;1;2496;532;1237;409;893;123;344;291;338;52;207;259;433;108;23;190;163;1478;0.43;0.458;0.358;0.861;0.533;0.48;G;irvinky01
16;Anthony Davis;20.8;2013-14;20;NOP;67;66;1;2358;522;1005;520;996;2;9;348;440;207;466;673;105;89;189;109;200;1394;0.519;0.522;0.222;0.791;0.582;0.52;F-C;davisan02
17;Brook Lopez;20.7;2013-14;25;BRK;17;17;0;533;129;229;129;228;0;1;94;115;39;63;102;16;9;30;28;52;352;0.563;0.566;0;0.817;0.629;0.563;C;lopezbr01
18;Damian Lillard;20.7;2013-14;23;POR;82;82;1;2937;553;1304;335;750;218;554;371;426;35;253;288;457;64;22;193;197;1695;0.424;0.447;0.394;0.871;0.568;0.508;G;lillada01
19;Isaiah Thomas;20.3;2013-14;24;SAC;72;54;0;2497;496;1096;369;732;127;364;346;407;47;163;210;454;93;8;213;185;1465;0.453;0.504;0.349;0.85;0.574;0.51;G;thomais02
20;Goran Dragić;20.3;2013-14;27;PHO;76;75;0;2668;552;1093;430;794;122;299;316;416;69;176;245;447;104;22;213;206;1542;0.505;0.542;0.408;0.76;0.604;0.561;G;dragigo01
21;Rudy Gay;20;2013-14;27;SACTOR;73;73;0;2531;537;1179;472;982;65;197;318;387;113;324;437;209;95;56;224;171;1457;0.455;0.481;0.33;0.822;0.54;0.483;F;gayru01
22;Ryan Anderson;19.8;2013-14;25;NOP;22;14;0;795;155;354;88;190;67;164;59;62;66;76;142;17;10;7;20;47;436;0.438;0.463;0.409;0.952;0.572;0.532;F;anderry01
23;John Wall;19.3;2013-14;23;WAS;82;82;1;2980;579;1337;471;1029;108;308;317;394;38;295;333;721;149;40;295;219;1583;0.433;0.458;0.351;0.805;0.524;0.473;G;walljo01
24;Chris Paul;19.1;2013-14;28;LAC;62;62;1;2171;406;870;328;658;78;212;295;345;38;230;268;663;154;4;145;157;1185;0.467;0.498;0.368;0.855;0.58;0.511;G;paulch01
25;Kevin Martin;19.1;2013-14;30;MIN;68;68;0;2177;440;1023;325;726;115;297;303;340;34;169;203;121;66;6;106;123;1298;0.43;0.448;0.387;0.891;0.553;0.486;G;martike02
26;Dwyane Wade;19;2013-14;32;MIA;54;53;1;1775;415;761;406;729;9;32;189;258;60;181;241;252;79;29;161;106;1028;0.545;0.557;0.281;0.733;0.588;0.551;G;wadedw01
27;Monta Ellis;19;2013-14;28;DAL;82;82;0;3023;576;1278;507;1069;69;209;339;430;38;257;295;471;141;23;264;197;1560;0.451;0.474;0.33;0.788;0.532;0.478;G;ellismo01
28;Jamal Crawford;18.6;2013-14;33;LAC;69;24;0;2094;421;1011;260;565;161;446;279;322;34;124;158;223;59;12;135;120;1282;0.416;0.46;0.361;0.866;0.556;0.496;G;crawfja01
29;Al Horford;18.6;2013-14;27;ATL;29;29;0;958;238;420;234;409;4;11;58;85;66;178;244;76;27;44;64;56;538;0.567;0.572;0.364;0.682;0.588;0.571;C-F;horfoal01
30;Klay Thompson;18.4;2013-14;23;GSW;81;81;0;2868;559;1259;336;724;223;535;147;185;38;211;249;181;74;37;135;234;1488;0.444;0.464;0.417;0.795;0.555;0.533;G-F;thompkl01
31;Dwight Howard;18.3;2013-14;28;HOU;71;71;1;2396;473;800;471;793;2;7;349;638;231;635;866;131;60;128;229;240;1297;0.591;0.594;0.286;0.547;0.6;0.593;C;howardw01
32;Arron Afflalo;18.2;2013-14;28;ORL;73;73;0;2552;464;1011;336;711;128;300;274;336;32;230;262;248;35;3;146;136;1330;0.459;0.473;0.427;0.815;0.574;0.522;G-F;afflaar01
33;David Lee;18.2;2013-14;30;GSW;69;67;0;2288;513;981;513;980;0;1;231;296;182;461;643;147;48;26;152;206;1257;0.523;0.523;0;0.78;0.566;0.523;F-C;leeda02
34;Paul Millsap;17.9;2013-14;28;ATL;74;73;1;2482;483;1047;407;835;76;212;286;391;154;473;627;232;129;78;185;210;1328;0.461;0.487;0.358;0.731;0.545;0.498;F;millspa01
35;Kyle Lowry;17.9;2013-14;27;TOR;79;79;0;2862;457;1080;267;580;190;500;313;385;88;281;369;586;121;15;194;267;1417;0.423;0.46;0.38;0.813;0.567;0.511;G;lowryky01
36;Thaddeus Young;17.9;2013-14;25;PHI;79;78;0;2718;582;1283;492;991;90;292;163;229;166;310;476;182;167;36;165;213;1417;0.454;0.496;0.308;0.712;0.512;0.489;F;youngth01
37;Brandon Knight;17.9;2013-14;22;MIL;72;69;0;2400;461;1092;351;754;110;338;259;323;46;209;255;352;69;17;188;146;1291;0.422;0.466;0.325;0.802;0.523;0.473;G;knighbr03
