Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Stephen Curry;30.1;2015-16;27;GSW;79;79;1;2700;805;1598;403;712;402;886;363;400;68;362;430;527;169;15;262;161;2375;0.504;0.566;0.454;0.908;0.669;0.63;G;curryst01
2;James Harden;29;2015-16;26;HOU;82;82;1;3125;710;1617;474;960;236;657;720;837;63;438;501;612;139;51;374;229;2376;0.439;0.494;0.359;0.86;0.598;0.512;G;hardeja01
3;Kevin Durant;28.2;2015-16;27;OKC;72;72;1;2578;698;1381;512;900;186;481;447;498;45;544;589;361;69;85;250;137;2029;0.505;0.569;0.387;0.898;0.634;0.573;F-G;duranke01
4;DeMarcus Cousins;26.9;2015-16;25;SAC;65;65;1;2246;601;1332;531;1122;70;210;476;663;158;589;747;214;101;92;249;236;1748;0.451;0.473;0.333;0.718;0.538;0.477;C-F;couside01
5;LeBron James;25.3;2015-16;31;CLE;76;76;1;2709;737;1416;650;1134;87;282;359;491;111;454;565;514;104;49;249;143;1920;0.52;0.573;0.309;0.731;0.588;0.551;F-G;jamesle01
6;Damian Lillard;25.1;2015-16;25;POR;75;75;0;2676;618;1474;389;864;229;610;414;464;45;257;302;512;65;28;242;165;1879;0.419;0.45;0.375;0.892;0.56;0.497;G;lillada01
7;Anthony Davis;24.3;2015-16;22;NOP;61;61;1;2164;560;1136;525;1028;35;108;326;430;130;497;627;116;78;125;121;148;1481;0.493;0.511;0.324;0.758;0.559;0.508;F-C;davisan02
8;Russell Westbrook;23.5;2015-16;27;OKC;80;80;1;2750;656;1444;555;1103;101;341;465;573;145;481;626;834;163;20;342;200;1878;0.454;0.503;0.296;0.812;0.554;0.489;G;westbru01
9;DeMar DeRozan;23.5;2015-16;26;TOR;78;78;1;2804;614;1377;567;1238;47;139;555;653;64;285;349;315;81;21;175;167;1830;0.446;0.458;0.338;0.85;0.55;0.463;G-F;derozde01
10;Paul George;23.1;2015-16;25;IND;81;81;1;2819;605;1449;395;883;210;566;454;528;79;484;563;329;152;29;265;230;1874;0.418;0.447;0.371;0.86;0.557;0.49;F-G;georgpa01
11;Isaiah Thomas;22.2;2015-16;26;BOS;82;79;1;2644;591;1382;424;917;167;465;474;544;46;197;243;509;91;9;220;167;1823;0.428;0.462;0.359;0.871;0.562;0.488;G;thomais02
12;Klay Thompson;22.1;2015-16;25;GSW;80;80;1;2666;651;1386;375;736;276;650;193;221;35;271;306;166;60;49;138;152;1771;0.47;0.51;0.425;0.873;0.597;0.569;G-F;thompkl01
13;Carmelo Anthony;21.8;2015-16;31;NYK;72;72;1;2530;567;1307;462;997;105;310;334;403;98;458;556;299;62;38;176;180;1573;0.434;0.463;0.339;0.829;0.53;0.474;F;anthoca01
14;Blake Griffin;21.4;2015-16;26;LAC;35;35;0;1170;301;603;295;585;6;18;141;194;51;243;294;170;28;17;83;95;749;0.499;0.504;0.333;0.727;0.544;0.504;F-C;griffbl01
15;Kyle Lowry;21.2;2015-16;29;TOR;77;77;1;2851;512;1198;300;651;212;547;398;491;55;310;365;494;158;34;225;211;1634;0.427;0.461;0.388;0.811;0.578;0.516;G;lowryky01
16;Kawhi Leonard;21.2;2015-16;24;SAS;72;72;1;2380;551;1090;422;799;129;291;292;334;95;398;493;186;128;71;105;133;1523;0.506;0.528;0.443;0.874;0.616;0.565;F;leonaka01
17;Jimmy Butler;20.9;2015-16;26;CHI;67;67;1;2474;470;1035;406;830;64;205;395;475;79;279;358;321;110;43;132;124;1399;0.454;0.489;0.312;0.832;0.562;0.485;F-G;butleji01
18;Kemba Walker;20.9;2015-16;25;CHO;81;81;0;2885;568;1331;386;841;182;490;371;438;56;301;357;421;126;39;171;111;1689;0.427;0.459;0.371;0.847;0.554;0.495;G;walkeke02
19;CJ McCollum;20.8;2015-16;24;POR;80;80;0;2780;641;1431;444;959;197;472;187;226;47;212;259;341;97;23;196;187;1666;0.448;0.463;0.417;0.827;0.544;0.517;G;mccolcj01
20;Andrew Wiggins;20.7;2015-16;20;MIN;81;81;0;2845;594;1294;537;1104;57;190;430;565;105;186;291;164;78;46;182;165;1675;0.459;0.486;0.3;0.761;0.543;0.481;F-G;wiggian01
21;Brook Lopez;20.6;2015-16;27;BRK;73;73;0;2457;591;1157;589;1143;2;14;317;403;204;369;573;147;58;124;175;215;1501;0.511;0.515;0.143;0.787;0.562;0.512;C;lopezbr01
22;Eric Bledsoe;20.4;2015-16;26;PHO;31;31;0;1059;223;492;175;363;48;129;138;172;18;107;125;190;63;19;110;75;632;0.453;0.482;0.372;0.802;0.557;0.502;G;bledser01
23;John Wall;19.9;2015-16;25;WAS;77;77;1;2784;572;1349;457;1021;115;328;272;344;42;337;379;789;145;59;318;159;1531;0.424;0.448;0.351;0.791;0.51;0.467;G;walljo01
24;Gordon Hayward;19.7;2015-16;25;UTA;80;80;0;2893;521;1202;378;792;143;410;393;477;61;336;397;296;95;27;202;183;1578;0.433;0.477;0.349;0.824;0.559;0.493;F-G;haywago01
25;Kyrie Irving;19.6;2015-16;23;CLE;53;53;0;1667;394;879;310;617;84;262;169;191;44;113;157;249;56;18;124;107;1041;0.448;0.502;0.321;0.885;0.54;0.496;G;irvinky01
26;Brandon Knight;19.6;2015-16;24;PHO;52;50;0;1870;371;895;251;544;120;351;156;183;36;166;202;263;61;20;177;124;1018;0.415;0.461;0.342;0.852;0.522;0.482;G;knighbr03
27;Danilo Gallinari;19.5;2015-16;27;DEN;53;53;0;1839;287;700;200;461;87;239;375;432;52;229;281;135;42;19;77;87;1036;0.41;0.434;0.364;0.868;0.582;0.472;F;gallida01
28;Chris Paul;19.5;2015-16;30;LAC;74;74;1;2420;515;1114;393;785;122;329;294;328;39;271;310;738;152;13;194;185;1446;0.462;0.501;0.371;0.896;0.575;0.517;G;paulch01
29;Chris Bosh;19.1;2015-16;31;MIA;53;53;1;1778;358;767;277;545;81;222;213;268;48;342;390;128;36;34;78;101;1010;0.467;0.508;0.365;0.795;0.571;0.52;F-C;boshch01
30;Dwyane Wade;19;2015-16;34;MIA;74;73;1;2258;540;1183;533;1139;7;44;322;406;82;220;302;344;79;42;203;116;1409;0.456;0.468;0.159;0.793;0.517;0.459;G;wadedw01
31;Reggie Jackson;18.8;2015-16;25;DET;79;79;0;2424;540;1244;422;910;118;334;291;337;58;195;253;492;59;11;223;187;1489;0.434;0.464;0.353;0.864;0.535;0.482;G;jacksre01
32;Karl-Anthony Towns;18.3;2015-16;20;MIN;82;82;0;2627;625;1153;595;1065;30;88;223;275;229;629;858;161;58;138;183;245;1503;0.542;0.559;0.341;0.811;0.59;0.555;C-F;townska01
33;Dirk Nowitzki;18.3;2015-16;37;DAL;75;75;0;2364;498;1112;372;770;126;342;250;280;52;437;489;132;52;52;84;161;1372;0.448;0.483;0.368;0.893;0.555;0.504;F-C;nowitdi01
34;Nikola Vučević;18.2;2015-16;25;ORL;65;60;0;2037;533;1046;531;1037;2;9;113;150;174;402;576;179;53;70;123;173;1181;0.51;0.512;0.222;0.753;0.531;0.511;C;vucevni01
35;Khris Middleton;18.2;2015-16;24;MIL;79;79;0;2852;507;1142;364;781;143;361;277;312;44;258;302;331;131;19;180;204;1434;0.444;0.466;0.396;0.888;0.56;0.507;F-G;middlkh01
36;LaMarcus Aldridge;18;2015-16;30;SAS;74;74;1;2261;536;1045;536;1029;0;16;259;302;176;456;632;110;38;81;99;151;1331;0.513;0.521;0;0.858;0.565;0.513;F-C;aldrila01
37;Kobe Bryant;17.6;2015-16;37;LAL;66;66;1;1863;398;1113;265;646;133;467;232;281;41;206;247;184;62;13;129;115;1161;0.358;0.41;0.285;0.826;0.469;0.417;G-F;bryanko01
38;Jahlil Okafor;17.5;2015-16;20;PHI;53;48;0;1591;397;781;396;775;1;6;133;194;122;251;373;65;22;61;124;140;928;0.508;0.511;0.167;0.686;0.536;0.509;C-F;okafoja01
39;Bradley Beal;17.4;2015-16;22;WAS;55;35;0;1708;359;799;254;528;105;271;135;176;41;147;188;162;54;11;112;117;958;0.449;0.481;0.387;0.767;0.547;0.515;G;bealbr01
40;Rudy Gay;17.2;2015-16;29;SAC;70;70;0;2379;466;1007;392;792;74;215;198;254;103;353;456;120;100;51;139;184;1204;0.463;0.495;0.344;0.78;0.538;0.5;F;gayru01
41;Paul Millsap;17.1;2015-16;30;ATL;81;81;1;2647;501;1066;427;834;74;232;309;408;198;534;732;265;147;139;191;237;1385;0.47;0.512;0.319;0.757;0.556;0.505;F;millspa01
42;Ryan Anderson;17;2015-16;27;NOP;66;7;0;2008;397;929;266;571;131;358;199;228;131;265;396;73;38;25;90;109;1124;0.427;0.466;0.366;0.873;0.546;0.498;F;anderry01
43;Giannis Antetokounmpo;16.9;2015-16;21;MIL;80;79;0;2823;513;1013;485;904;28;109;296;409;113;499;612;345;94;113;208;258;1350;0.506;0.537;0.257;0.724;0.566;0.52;F-G;antetgi01
44;Jrue Holiday;16.8;2015-16;25;NOP;65;23;0;1831;410;935;323;676;87;259;182;216;27;168;195;391;88;22;167;148;1089;0.439;0.478;0.336;0.843;0.529;0.485;G;holidjr01
45;Marc Gasol;16.6;2015-16;31;MEM;52;52;0;1791;328;707;326;704;2;3;203;245;58;304;362;196;50;70;118;141;861;0.464;0.463;0.667;0.829;0.528;0.465;C;gasolma01
46;Pau Gasol;16.5;2015-16;35;CHI;72;72;1;2291;467;995;443;926;24;69;229;289;155;638;793;294;42;146;164;148;1187;0.469;0.478;0.348;0.792;0.529;0.481;C-F;gasolpa01
47;Derrick Favors;16.4;2015-16;24;UTA;62;59;0;1983;418;811;418;807;0;4;180;254;169;334;503;94;74;91;104;150;1016;0.515;0.518;0;0.709;0.551;0.515;F-C;favorde01
48;Derrick Rose;16.4;2015-16;27;CHI;66;66;0;2097;447;1048;403;898;44;150;142;179;46;179;225;311;44;14;175;84;1080;0.427;0.449;0.293;0.793;0.479;0.448;G;rosede01
49;JJ Redick;16.3;2015-16;31;LAC;75;75;0;2097;422;880;222;459;200;421;182;205;10;129;139;106;42;5;78;135;1226;0.48;0.484;0.475;0.888;0.632;0.593;G;redicjj01
50;Andre Drummond;16.2;2015-16;22;DET;81;81;1;2666;552;1060;550;1054;2;6;208;586;395;803;1198;67;119;112;155;245;1314;0.521;0.522;0.333;0.355;0.499;0.522;C;drumman01
51;Kevin Love;16;2015-16;27;CLE;77;77;0;2424;409;977;251;538;158;439;258;314;149;613;762;186;58;41;142;159;1234;0.419;0.467;0.36;0.822;0.553;0.499;F-C;loveke01
52;Victor Oladipo;16;2015-16;23;ORL;72;52;0;2379;425;970;327;688;98;282;205;247;48;297;345;282;116;54;153;174;1153;0.438;0.475;0.348;0.83;0.534;0.489;G;oladivi01
53;Jeff Teague;15.7;2015-16;27;ATL;79;78;0;2255;434;988;324;713;110;275;261;312;33;181;214;470;97;24;218;167;1239;0.439;0.454;0.4;0.837;0.551;0.495;G;teaguje01
54;Jordan Clarkson;15.5;2015-16;23;LAL;79;79;0;2552;475;1098;364;778;111;320;164;204;93;220;313;192;88;7;135;168;1225;0.433;0.468;0.347;0.804;0.516;0.483;G;clarkjo01
55;Evan Fournier;15.4;2015-16;23;ORL;79;71;0;2566;429;929;273;539;156;390;199;238;33;192;225;213;96;2;133;214;1213;0.462;0.506;0.4;0.836;0.587;0.546;G-F;fournev01
56;Lou Williams;15.3;2015-16;29;LAL;67;35;0;1907;283;693;173;373;110;320;352;424;31;138;169;167;62;19;107;107;1028;0.408;0.464;0.344;0.83;0.584;0.488;G;willilo02
57;Greg Monroe;15.3;2015-16;25;MIL;79;67;0;2314;491;941;491;940;0;1;228;308;218;478;696;178;72;67;129;163;1210;0.522;0.522;0;0.74;0.562;0.522;C-F;monrogr01
58;Mike Conley;15.3;2015-16;28;MEM;56;56;0;1761;294;696;216;481;78;215;191;229;26;138;164;342;67;16;84;100;857;0.422;0.449;0.363;0.834;0.538;0.478;G;conlemi01
59;Zach Randolph;15.3;2015-16;34;MEM;68;53;0;2016;431;907;425;881;6;26;172;216;179;350;529;142;43;13;105;146;1040;0.475;0.482;0.231;0.796;0.519;0.479;F-C;randoza01
60;Eric Gordon;15.2;2015-16;27;NOP;45;44;0;1481;231;552;118;258;113;294;111;125;10;89;99;121;43;14;73;98;686;0.418;0.457;0.384;0.888;0.565;0.521;G-F;gordoer01
61;Al Horford;15.2;2015-16;29;ATL;82;82;1;2631;529;1048;441;792;88;256;103;129;148;448;596;263;68;121;107;163;1249;0.505;0.557;0.344;0.798;0.565;0.547;C-F;horfoal01
62;Avery Bradley;15.2;2015-16;25;BOS;76;72;0;2536;456;1019;309;612;147;407;96;123;48;172;220;158;117;19;109;164;1155;0.447;0.505;0.361;0.78;0.538;0.52;G;bradlav01
63;Tyreke Evans;15.2;2015-16;26;NOP;25;25;0;765;136;314;103;229;33;85;74;93;20;109;129;164;32;8;73;66;379;0.433;0.45;0.388;0.796;0.534;0.486;G-F;evansty01
64;Thaddeus Young;15.1;2015-16;27;BRK;73;73;0;2407;495;963;488;933;7;30;105;163;176;484;660;136;112;37;136;182;1102;0.514;0.523;0.233;0.644;0.533;0.518;F;youngth01
65;Nicolas Batum;14.9;2015-16;27;CHO;70;70;0;2448;372;873;233;474;139;399;163;192;55;373;428;403;65;43;205;114;1046;0.426;0.492;0.348;0.849;0.546;0.506;F-G;batumni01
66;Tobias Harris;14.7;2015-16;23;DETORL;76;74;0;2513;417;889;337;650;80;239;202;243;96;414;510;169;65;40;108;153;1116;0.469;0.518;0.335;0.831;0.56;0.514;F;harrito02
67;Rodney Hood;14.5;2015-16;23;UTA;79;79;0;2541;408;972;247;523;161;449;172;200;38;229;267;213;73;16;125;202;1149;0.42;0.472;0.359;0.86;0.542;0.503;G-F;hoodro01
68;Kentavious Caldwell-Pope;14.5;2015-16;22;DET;76;76;0;2789;403;960;289;591;114;369;185;228;70;212;282;138;110;17;105;167;1105;0.42;0.489;0.309;0.811;0.521;0.479;G;caldwke01
69;Will Barton;14.4;2015-16;25;DEN;82;1;0;2353;425;983;313;658;112;325;216;268;59;417;476;203;71;39;139;147;1178;0.432;0.476;0.345;0.806;0.535;0.489;G;bartowi01
70;Kristaps Porziņģis;14.3;2015-16;20;NYK;72;72;0;2047;373;886;292;643;81;243;201;240;132;394;526;94;53;134;121;205;1028;0.421;0.454;0.333;0.838;0.518;0.467;F-C;porzikr01
71;Hassan Whiteside;14.2;2015-16;26;MIA;73;43;0;2125;413;682;413;682;0;0;214;329;238;627;865;30;44;269;137;201;1040;0.606;0.606;;0.65;0.629;0.606;C;whiteha01
72;Jae Crowder;14.2;2015-16;25;BOS;73;73;0;2308;360;813;238;450;122;363;196;239;70;303;373;135;126;35;83;198;1038;0.443;0.529;0.336;0.82;0.565;0.518;F;crowdja01
