Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Kevin Durant;30.1;2009-10;21;OKC;82;82;1;3239;794;1668;666;1317;128;351;756;840;105;518;623;231;112;84;271;171;2472;0.476;0.506;0.365;0.9;0.607;0.514;F-G;duranke01
2;LeBron James;29.7;2009-10;25;CLE;76;76;1;2966;768;1528;639;1141;129;387;593;773;71;483;554;651;125;77;261;119;2258;0.503;0.56;0.333;0.767;0.604;0.545;F-G;jamesle01
3;Carmelo Anthony;28.2;2009-10;25;DEN;69;69;1;2634;688;1502;629;1315;59;187;508;612;152;302;454;222;88;30;209;225;1943;0.458;0.478;0.316;0.83;0.548;0.478;F;anthoca01
4;Kobe Bryant;27;2009-10;31;LAL;73;73;1;2835;716;1569;617;1268;99;301;439;541;78;313;391;365;113;20;233;187;1970;0.456;0.487;0.329;0.811;0.545;0.488;G-F;bryanko01
5;Dwyane Wade;26.6;2009-10;28;MIA;77;77;1;2792;719;1511;646;1268;73;243;534;702;107;266;373;501;142;82;252;181;2045;0.476;0.509;0.3;0.761;0.562;0.5;G;wadedw01
6;Monta Ellis;25.5;2009-10;24;GSW;64;64;0;2647;631;1406;554;1178;77;228;292;388;47;210;257;340;143;25;244;189;1631;0.449;0.47;0.338;0.753;0.517;0.476;G;ellismo01
7;Dirk Nowitzki;25;2009-10;31;DAL;81;80;1;3039;720;1496;669;1375;51;121;536;586;80;540;620;218;70;79;149;208;2027;0.481;0.487;0.421;0.915;0.578;0.498;F-C;nowitdi01
8;Danny Granger;24.1;2009-10;26;IND;62;62;0;2278;488;1139;330;701;158;438;363;428;67;275;342;171;94;51;157;183;1497;0.428;0.471;0.361;0.848;0.564;0.498;F;grangda01
9;Chris Bosh;24;2009-10;25;TOR;70;70;1;2526;600;1158;592;1136;8;22;470;590;205;554;759;166;43;68;169;170;1678;0.518;0.521;0.364;0.797;0.592;0.522;F-C;boshch01
10;Amar'e Stoudemire;23.1;2009-10;27;PHO;82;82;1;2838;704;1264;703;1258;1;6;487;632;230;502;732;82;52;83;213;281;1896;0.557;0.559;0.167;0.771;0.615;0.557;F-C;stoudam01
11;Gilbert Arenas;22.6;2009-10;28;WAS;32;32;0;1169;253;616;190;435;63;181;153;207;17;116;133;230;41;9;117;95;722;0.411;0.437;0.348;0.739;0.511;0.462;G;arenagi01
12;Brandon Roy;21.5;2009-10;25;POR;65;65;1;2419;491;1038;418;817;73;221;343;440;73;212;285;305;61;16;129;136;1398;0.473;0.512;0.33;0.78;0.568;0.508;G;roybr01
13;Joe Johnson;21.3;2009-10;28;ATL;76;76;1;2886;635;1386;506;1036;129;350;220;269;74;279;353;369;82;5;145;145;1619;0.458;0.488;0.369;0.818;0.538;0.505;G-F;johnsjo02
14;Derrick Rose;20.8;2009-10;21;CHI;78;78;1;2871;672;1373;656;1313;16;60;259;338;65;228;293;469;57;27;217;96;1619;0.489;0.5;0.267;0.766;0.532;0.495;G;rosede01
15;Zach Randolph;20.8;2009-10;28;MEM;81;81;1;3051;652;1336;637;1284;15;52;362;465;330;620;950;149;80;34;174;226;1681;0.488;0.496;0.288;0.778;0.546;0.494;F-C;randoza01
16;Stephen Jackson;20.6;2009-10;31;CHAGSW;81;81;0;3129;600;1418;471;1025;129;393;338;434;78;323;401;300;132;43;259;197;1667;0.423;0.46;0.328;0.779;0.518;0.469;F-G;jacksst02
17;Kevin Martin;20.6;2009-10;26;HOUSAC;46;43;0;1633;289;693;219;483;70;210;298;340;29;135;164;111;46;6;92;96;946;0.417;0.453;0.333;0.876;0.561;0.468;G;martike02
18;David Lee;20.2;2009-10;26;NYK;81;81;1;3019;686;1258;686;1250;0;8;268;330;228;721;949;295;85;40;189;257;1640;0.545;0.549;0;0.812;0.584;0.545;F-C;leeda02
19;Tyreke Evans;20.1;2009-10;20;SAC;72;72;0;2677;533;1165;497;1024;36;141;348;465;66;314;380;414;109;26;216;204;1450;0.458;0.485;0.255;0.748;0.529;0.473;G-F;evansty01
20;Corey Maggette;19.8;2009-10;30;GSW;70;49;0;2081;457;886;444;836;13;50;460;551;92;281;373;172;51;4;168;231;1387;0.516;0.531;0.26;0.835;0.615;0.523;F;maggeco01
21;Rudy Gay;19.6;2009-10;23;MEM;80;80;0;3175;600;1288;534;1086;66;202;301;400;115;357;472;153;118;64;169;201;1567;0.466;0.492;0.327;0.753;0.535;0.491;F;gayru01
22;Aaron Brooks;19.6;2009-10;25;HOU;82;82;0;2919;575;1331;366;806;209;525;245;298;54;161;215;434;69;14;232;199;1604;0.432;0.454;0.398;0.822;0.549;0.511;G;brookaa01
23;Chauncey Billups;19.5;2009-10;33;DEN;73;73;1;2490;402;962;245;555;157;407;466;512;25;203;228;409;82;9;177;153;1427;0.418;0.441;0.386;0.91;0.601;0.499;G;billuch01
24;Carlos Boozer;19.5;2009-10;28;UTA;78;78;0;2673;617;1098;617;1098;0;0;285;384;181;693;874;247;84;36;212;270;1519;0.562;0.562;;0.742;0.599;0.562;F-C;boozeca01
