Player,Team,Season,PPG,RPG,APG
Russell Westbrook,OKC,16_17,31.6,10.7,10.4
James Harden,HOU,16_17,29.1,8.1,11.2
Isaiah Thomas,BOS,16_17,28.9,2.7,5.9
Anthony Davis,NOP,16_17,28.0,11.8,2.1
DeMar DeRozan,TOR,16_17,27.3,5.2,3.9
Damian Lillard,POR,16_17,27.0,4.9,5.9
DeMarcus Cousins,NOPSAC,16_17,27.0,11.0,4.6
LeBron James,CLE,16_17,26.4,8.6,8.7
Kawhi Leonard,SAS,16_17,25.5,5.8,3.5
Stephen Curry,GSW,16_17,25.3,4.5,6.6
Kyrie Irving,CLE,16_17,25.2,3.2,5.8
Karl-Anthony Towns,MIN,16_17,25.1,12.3,2.7
Kevin Durant,GSW,16_17,25.1,8.3,4.8
Jimmy Butler,CHI,16_17,23.9,6.2,5.5
Paul George,IND,16_17,23.7,6.6,3.3
Andrew Wiggins,MIN,16_17,23.6,4.0,2.3
Kemba Walker,CHO,16_17,23.2,3.9,5.5
John Wall,WAS,16_17,23.1,4.2,10.7
Bradley Beal,WAS,16_17,23.1,3.1,3.5
CJ McCollum,POR,16_17,23.0,3.6,3.6
Giannis Antetokounmpo,MIL,16_17,22.9,8.8,5.4
Carmelo Anthony,NYK,16_17,22.4,5.9,2.9
Kyle Lowry,TOR,16_17,22.4,4.8,7.0
Klay Thompson,GSW,16_17,22.3,3.7,2.1
Devin Booker,PHO,16_17,22.1,3.2,3.4
Gordon Hayward,UTA,16_17,21.9,5.4,3.5
Blake Griffin,LAC,16_17,21.6,8.1,4.9
Eric Bledsoe,PHO,16_17,21.1,4.8,6.3
Brook Lopez,BRK,16_17,20.5,5.4,2.3
Mike Conley,MEM,16_17,20.5,3.5,6.3
Goran Dragić,MIA,16_17,20.3,3.8,5.8
Joel Embiid,PHI,16_17,20.2,7.8,2.1
Jabari Parker,MIL,16_17,20.1,6.2,2.8
Marc Gasol,MEM,16_17,19.5,6.3,4.6
Harrison Barnes,DAL,16_17,19.2,5.0,1.5
Kevin Love,CLE,16_17,19.0,11.1,1.9
Zach LaVine,MIN,16_17,18.9,3.4,3.0
Rudy Gay,SAC,16_17,18.7,6.3,2.8
Dwyane Wade,CHI,16_17,18.3,4.5,3.8
Danilo Gallinari,DEN,16_17,18.2,5.2,2.1
Kristaps Porziņģis,NYK,16_17,18.1,7.2,1.5
Chris Paul,LAC,16_17,18.1,5.0,9.2
Paul Millsap,ATL,16_17,18.1,7.7,3.7
Derrick Rose,NYK,16_17,18.0,3.8,4.4
Dennis Schröder,ATL,16_17,17.9,3.1,6.3
Lou Williams,HOULAL,16_17,17.5,2.5,3.0
LaMarcus Aldridge,SAS,16_17,17.3,7.3,1.9
Evan Fournier,ORL,16_17,17.2,3.1,3.0
Hassan Whiteside,MIA,16_17,17.0,14.1,0.7
George Hill,UTA,16_17,16.9,3.4,4.2
Nikola Jokić,DEN,16_17,16.7,9.8,4.9
Avery Bradley,BOS,16_17,16.3,6.1,2.2
Eric Gordon,HOU,16_17,16.2,2.7,2.5
Tobias Harris,DET,16_17,16.1,5.1,1.7
Victor Oladipo,OKC,16_17,15.9,4.3,2.6
Dion Waiters,MIA,16_17,15.8,3.3,4.3
Wilson Chandler,DEN,16_17,15.7,6.5,2.0
D'Angelo Russell,LAL,16_17,15.6,3.5,4.8
Jrue Holiday,NOP,16_17,15.4,3.9,7.3
Jeff Teague,IND,16_17,15.3,4.0,7.8
