Player,Team,Season,PPG,RPG,APG
Stephen Curry,GSW,20_21,32.0,5.5,5.8
Bradley Beal,WAS,20_21,31.3,4.7,4.4
Damian Lillard,POR,20_21,28.8,4.2,7.5
Joel Embiid,PHI,20_21,28.5,10.6,2.8
Giannis Antetokounmpo,MIL,20_21,28.1,11.0,5.9
Luka Dončić,DAL,20_21,27.7,8.0,8.6
Zach LaVine,CHI,20_21,27.4,5.0,4.9
Zion Williamson,NOP,20_21,27.0,7.2,3.7
Kevin Durant,BRK,20_21,26.9,7.1,5.6
Kyrie Irving,BRK,20_21,26.9,4.8,6.0
Jayson Tatum,BOS,20_21,26.4,7.4,4.3
Donovan Mitchell,UTA,20_21,26.4,4.4,5.2
Nikola Jokić,DEN,20_21,26.4,10.8,8.3
Devin Booker,PHO,20_21,25.6,4.2,4.3
Trae Young,ATL,20_21,25.3,3.9,9.4
De'Aaron Fox,SAC,20_21,25.2,3.5,7.2
LeBron James,LAL,20_21,25.0,7.7,7.8
Kawhi Leonard,LAC,20_21,24.8,6.5,5.2
Karl-Anthony Towns,MIN,20_21,24.8,10.6,4.5
Jaylen Brown,BOS,20_21,24.7,6.0,3.4
James Harden,BRKHOU,20_21,24.6,7.9,10.8
Collin Sexton,CLE,20_21,24.3,3.1,4.4
Julius Randle,NYK,20_21,24.1,10.2,6.0
Brandon Ingram,NOP,20_21,23.8,4.9,4.9
Shai Gilgeous-Alexander,OKC,20_21,23.7,4.7,5.9
Nikola Vučević,CHIORL,20_21,23.4,11.7,3.8
Paul George,LAC,20_21,23.3,6.6,5.2
CJ McCollum,POR,20_21,23.1,3.9,4.7
Jerami Grant,DET,20_21,22.3,4.6,2.8
Russell Westbrook,WAS,20_21,22.2,11.5,11.7
Anthony Davis,LAL,20_21,21.8,7.9,3.1
DeMar DeRozan,SAS,20_21,21.6,4.2,6.9
Jimmy Butler,MIA,20_21,21.5,6.9,7.1
Pascal Siakam,TOR,20_21,21.4,7.2,4.5
Jamal Murray,DEN,20_21,21.2,4.0,4.8
Malcolm Brogdon,IND,20_21,21.2,5.2,5.9
Christian Wood,HOU,20_21,21.0,9.6,1.7
John Wall,HOU,20_21,20.6,3.2,6.9
Terry Rozier,CHO,20_21,20.4,4.4,4.2
Khris Middleton,MIL,20_21,20.4,6.0,5.4
Domantas Sabonis,IND,20_21,20.3,12.0,6.7
Caris LeVert,BRKIND,20_21,20.2,4.6,5.2
Kristaps Porziņģis,DAL,20_21,20.1,8.9,1.6
Victor Oladipo,HOUINDMIA,20_21,19.8,4.8,4.6
Gordon Hayward,CHO,20_21,19.6,5.9,4.1
Fred VanVleet,TOR,20_21,19.6,4.2,6.3
Malik Beasley,MIN,20_21,19.6,4.4,2.4
Tobias Harris,PHI,20_21,19.5,6.8,3.5
Anthony Edwards,MIN,20_21,19.3,4.7,2.9
Kemba Walker,BOS,20_21,19.3,4.0,4.9
Ja Morant,MEM,20_21,19.1,4.0,7.4
Michael Porter Jr.,DEN,20_21,19.0,7.3,1.1
D'Angelo Russell,MIN,20_21,19.0,2.6,5.8
Bam Adebayo,MIA,20_21,18.7,9.0,5.4
Norman Powell,PORTOR,20_21,18.6,3.1,1.9
Andrew Wiggins,GSW,20_21,18.6,4.9,2.4
Jordan Clarkson,UTA,20_21,18.4,4.0,2.5
Eric Gordon,HOU,20_21,17.8,2.1,2.6
Jrue Holiday,MIL,20_21,17.7,4.5,6.1
John Collins,ATL,20_21,17.6,7.4,1.2
RJ Barrett,NYK,20_21,17.6,5.8,3.0
Darius Garland,CLE,20_21,17.4,2.4,6.1
Kyle Lowry,TOR,20_21,17.2,5.4,7.3
Dillon Brooks,MEM,20_21,17.2,2.9,2.3
Evan Fournier,BOSORL,20_21,17.1,3.0,3.4
Jonas Valančiūnas,MEM,20_21,17.1,12.5,1.8
Bojan Bogdanović,UTA,20_21,17.0,3.9,1.9
Tim Hardaway Jr.,DAL,20_21,16.6,3.3,1.8
Kevin Porter Jr.,HOU,20_21,16.6,3.8,6.3
Buddy Hield,SAC,20_21,16.6,4.7,3.6
Chris Paul,PHO,20_21,16.4,4.5,8.9
Khyri Thomas,HOU,20_21,16.4,3.6,5.0
Bogdan Bogdanović,ATL,20_21,16.4,3.6,3.3
Mike Conley,UTA,20_21,16.2,3.5,6.0
Harrison Barnes,SAC,20_21,16.1,6.6,3.5
Elijah Bryant,MIL,20_21,16.0,6.0,3.0
OG Anunoby,TOR,20_21,15.9,5.5,2.2
LaMelo Ball,CHO,20_21,15.7,5.9,6.1
Dejounte Murray,SAS,20_21,15.7,7.1,5.4
Terrence Ross,ORL,20_21,15.6,3.4,2.3
T.J. Warren,IND,20_21,15.5,3.5,1.2
Kelly Oubre Jr.,GSW,20_21,15.4,6.0,1.3
Dennis Schröder,LAL,20_21,15.4,3.5,5.8
Derrick White,SAS,20_21,15.4,3.0,3.5
Gary Trent Jr.,PORTOR,20_21,15.3,2.6,1.4
Clint Capela,ATL,20_21,15.2,14.3,0.8
Tyler Herro,MIA,20_21,15.1,5.0,3.4
Coby White,CHI,20_21,15.1,4.1,4.8
De'Andre Hunter,ATL,20_21,15.0,4.8,1.9
Andre Drummond,CLELAL,20_21,14.9,12.0,2.0
Devonte' Graham,CHO,20_21,14.8,2.7,5.4
Derrick Rose,DETNYK,20_21,14.7,2.6,4.2
Lonzo Ball,NOP,20_21,14.6,4.8,5.7
Kendrick Nunn,MIA,20_21,14.6,3.2,2.6
Deandre Ayton,PHO,20_21,14.4,10.5,1.4
Jaren Jackson Jr.,MEM,20_21,14.4,5.6,1.1
Thomas Bryant,WAS,20_21,14.3,6.1,1.5
Rudy Gobert,UTA,20_21,14.3,13.5,1.3
Ben Simmons,PHI,20_21,14.3,7.2,6.9
Richaun Holmes,SAC,20_21,14.2,8.3,1.7
Al Horford,OKC,20_21,14.2,6.7,3.4
Marvin Bagley III,SAC,20_21,14.1,7.4,1.0
Joe Harris,BRK,20_21,14.1,3.6,1.9
Luguentz Dort,OKC,20_21,14.0,3.6,1.7
Rui Hachimura,WAS,20_21,13.8,5.5,1.4
Darius Bazley,OKC,20_21,13.7,7.2,1.8
Chris Boucher,TOR,20_21,13.6,6.7,1.0
Lauri Markkanen,CHI,20_21,13.6,5.3,0.9
Doug McDermott,IND,20_21,13.6,3.3,1.3
LaMarcus Aldridge,BRKSAS,20_21,13.5,4.5,1.9
Kelly Olynyk,HOUMIA,20_21,13.5,7.0,2.9
Montrezl Harrell,LAL,20_21,13.5,6.2,1.1
Mikal Bridges,PHO,20_21,13.5,4.3,2.1
Goran Dragić,MIA,20_21,13.4,3.4,4.4
Marcus Morris,LAC,20_21,13.4,4.1,1.0
Carmelo Anthony,POR,20_21,13.4,3.1,1.5
Josh Jackson,DET,20_21,13.4,4.1,2.3
Danilo Gallinari,ATL,20_21,13.3,4.1,1.5
Duncan Robinson,MIA,20_21,13.1,3.5,1.8
Marcus Smart,BOS,20_21,13.1,3.5,5.7
Tyrese Haliburton,SAC,20_21,13.0,3.0,5.3
Shake Milton,PHI,20_21,13.0,2.3,3.1
Markelle Fultz,ORL,20_21,12.9,3.1,5.4
P.J. Washington,CHO,20_21,12.9,6.5,2.5
Cole Anthony,ORL,20_21,12.9,4.7,4.1
Kyle Kuzma,LAL,20_21,12.9,6.1,1.9
Jarrett Allen,BRKCLE,20_21,12.8,10.0,1.7
Keldon Johnson,SAS,20_21,12.8,6.0,1.8
Miles Bridges,CHO,20_21,12.7,6.0,2.2
Alec Burks,NYK,20_21,12.7,4.6,2.2
Will Barton,DEN,20_21,12.7,4.0,3.2
Jalen Brunson,DAL,20_21,12.6,3.4,3.5
Myles Turner,IND,20_21,12.6,6.5,1.0
Seth Curry,PHI,20_21,12.5,2.4,2.7
Kyle Anderson,MEM,20_21,12.4,5.7,3.6
Aaron Gordon,DENORL,20_21,12.4,5.7,3.2
Brook Lopez,MIL,20_21,12.3,5.0,0.7
Saddiq Bey,DET,20_21,12.2,4.5,1.4
Eric Bledsoe,NOP,20_21,12.2,3.4,3.8
Kevin Love,CLE,20_21,12.2,7.4,2.5
Josh Richardson,DAL,20_21,12.1,3.3,2.6
Thaddeus Young,CHI,20_21,12.1,6.2,4.3
Joe Ingles,UTA,20_21,12.1,3.6,4.7
Jordan Poole,GSW,20_21,12.0,1.8,1.9
Kevin Huerter,ATL,20_21,11.9,3.3,3.5
Malik Monk,CHO,20_21,11.7,2.4,2.1
Hamidou Diallo,DETOKC,20_21,11.6,5.2,1.9
Dāvis Bertāns,WAS,20_21,11.5,2.9,0.9
James Wiseman,GSW,20_21,11.5,5.8,0.7
Jusuf Nurkić,POR,20_21,11.5,9.0,3.4
Bobby Portis,MIL,20_21,11.4,7.1,1.1
Immanuel Quickley,NYK,20_21,11.4,2.1,2.0
Rudy Gay,SAS,20_21,11.4,4.8,1.4
Lou Williams,ATLLAC,20_21,11.3,2.1,3.4
Jae'Sean Tate,HOU,20_21,11.3,5.3,2.5
Cam Reddish,ATL,20_21,11.2,4.0,1.3
Wendell Carter Jr.,CHIORL,20_21,11.2,8.2,1.9
Naz Reid,MIN,20_21,11.2,4.6,1.0
Enes Freedom,POR,20_21,11.2,11.0,1.2
Armoni Brooks,HOU,20_21,11.2,3.4,1.5
Lonnie Walker IV,SAS,20_21,11.2,2.6,1.7
Serge Ibaka,LAC,20_21,11.1,6.7,1.8
Nickeil Alexander-Walker,NOP,20_21,11.0,3.1,2.2
Jeff Green,BRK,20_21,11.0,3.9,1.6
Blake Griffin,BRKDET,20_21,11.0,4.9,3.0
Dwayne Bacon,ORL,20_21,10.9,3.1,1.3
Reggie Bullock,NYK,20_21,10.9,3.4,1.5
Oshae Brissett,IND,20_21,10.9,5.5,0.9
Patty Mills,SAS,20_21,10.8,1.7,2.4
Cameron Oliver,HOU,20_21,10.8,5.2,1.2
Ty Jerome,OKC,20_21,10.7,2.8,3.6
Reggie Jackson,LAC,20_21,10.7,2.9,3.1
Grayson Allen,MEM,20_21,10.6,3.2,2.2
Justin Holiday,IND,20_21,10.5,3.6,1.7
Donte DiVincenzo,MIL,20_21,10.4,5.8,3.1
Cedi Osman,CLE,20_21,10.4,3.4,2.9
Mason Plumlee,DET,20_21,10.4,9.3,3.6
Brandon Clarke,MEM,20_21,10.3,5.6,1.6
Delon Wright,DETSAC,20_21,10.2,4.3,4.4
Monte Morris,DEN,20_21,10.2,2.0,3.2
Elfrid Payton,NYK,20_21,10.1,3.4,3.2
Théo Maledon,OKC,20_21,10.1,3.2,3.5
Jeremy Lamb,IND,20_21,10.1,3.6,1.5
Jae Crowder,PHO,20_21,10.1,4.7,2.1
Bryn Forbes,MIL,20_21,10.0,1.6,0.6
Gary Harris,DENORL,20_21,9.9,2.0,2.0
Dorian Finney-Smith,DAL,20_21,9.8,5.4,1.7
Frank Jackson,DET,20_21,9.8,2.2,0.9
Kentavious Caldwell-Pope,LAL,20_21,9.7,2.7,1.9
Mike Muscala,OKC,20_21,9.7,3.8,0.8
Otto Porter Jr.,CHIORL,20_21,9.7,5.4,2.0
Daniel Theis,BOSCHI,20_21,9.6,5.5,1.7
Isaac Okoro,CLE,20_21,9.6,3.1,1.9
Wayne Ellington,DET,20_21,9.6,1.8,1.5
Cameron Johnson,PHO,20_21,9.6,3.3,1.4
Eric Paschall,GSW,20_21,9.5,3.2,1.3
Taurean Prince,BRKCLE,20_21,9.5,3.5,1.9
Danny Green,PHI,20_21,9.5,3.8,1.7
Trevor Ariza,MIA,20_21,9.4,4.8,1.8
Cody Zeller,CHO,20_21,9.4,6.8,1.8
