Player,Team,Season,PPG,RPG,APG
Rudy Gay,SAC,15_16,17.2,6.5,1.7
Paul Millsap,ATL,15_16,17.1,9.0,3.3
Ryan Anderson,NOP,15_16,17.0,6.0,1.1
Giannis Antetokounmpo,MIL,15_16,16.9,7.6,4.3
Jrue Holiday,NOP,15_16,16.8,3.0,6.0
Marc Gasol,MEM,15_16,16.6,7.0,3.8
Pau Gasol,CHI,15_16,16.5,11.0,4.1
Derrick Favors,UTA,15_16,16.4,8.1,1.5
Derrick Rose,CHI,15_16,16.4,3.4,4.7
JJ Redick,LAC,15_16,16.3,1.9,1.4
Andre Drummond,DET,15_16,16.2,14.8,0.8
Kevin Love,CLE,15_16,16.0,9.9,2.4
Victor Oladipo,ORL,15_16,16.0,4.8,3.9
Jeff Teague,ATL,15_16,15.7,2.7,5.9
Jordan Clarkson,LAL,15_16,15.5,4.0,2.4
Evan Fournier,ORL,15_16,15.4,2.8,2.7
Lou Williams,LAL,15_16,15.3,2.5,2.5
Greg Monroe,MIL,15_16,15.3,8.8,2.3
Mike Conley,MEM,15_16,15.3,2.9,6.1
Zach Randolph,MEM,15_16,15.3,7.8,2.1
Eric Gordon,NOP,15_16,15.2,2.2,2.7
Al Horford,ATL,15_16,15.2,7.3,3.2
Avery Bradley,BOS,15_16,15.2,2.9,2.1
Tyreke Evans,NOP,15_16,15.2,5.2,6.6
Thaddeus Young,BRK,15_16,15.1,9.0,1.9
Nicolas Batum,CHO,15_16,14.9,6.1,5.8
Tobias Harris,DETORL,15_16,14.7,6.7,2.2
Rodney Hood,UTA,15_16,14.5,3.4,2.7
Kentavious Caldwell-Pope,DET,15_16,14.5,3.7,1.8
Will Barton,DEN,15_16,14.4,5.8,2.5
Kristaps Porziņģis,NYK,15_16,14.3,7.3,1.3
Hassan Whiteside,MIA,15_16,14.2,11.8,0.4
Jae Crowder,BOS,15_16,14.2,5.1,1.8
Jamal Crawford,LAC,15_16,14.2,1.8,2.3
Goran Dragić,MIA,15_16,14.1,3.8,5.8
Marcus Morris,DET,15_16,14.1,5.0,2.5
Deron Williams,DAL,15_16,14.1,2.9,5.8
Jabari Parker,MIL,15_16,14.1,5.2,1.7
Zach LaVine,MIN,15_16,14.0,2.8,3.1
Darren Collison,SAC,15_16,14.0,2.3,4.3
Draymond Green,GSW,15_16,14.0,9.5,7.4
Monta Ellis,IND,15_16,13.8,3.3,4.7
Devin Booker,PHO,15_16,13.8,2.5,2.6
Dwight Howard,HOU,15_16,13.7,11.8,1.4
Chandler Parsons,DAL,15_16,13.7,4.7,2.8
Marcin Gortat,WAS,15_16,13.5,9.9,1.4
Alec Burks,UTA,15_16,13.3,3.5,2.0
D'Angelo Russell,LAL,15_16,13.2,3.4,3.3
Dahntay Jones,CLE,15_16,13.0,5.0,2.0
Jarrett Jack,BRK,15_16,12.8,4.2,7.4
Emmanuel Mudiay,DEN,15_16,12.8,3.4,5.5
Robert Covington,PHI,15_16,12.8,6.3,1.4
Arron Afflalo,NYK,15_16,12.8,3.7,2.0
Jonas Valančiūnas,TOR,15_16,12.8,9.1,0.7
Michael Beasley,HOU,15_16,12.8,4.9,0.8
DeAndre Jordan,LAC,15_16,12.7,13.8,1.2
Michael Kidd-Gilchrist,CHO,15_16,12.7,6.4,1.3
Enes Freedom,OKC,15_16,12.7,8.1,0.4
Trevor Ariza,HOU,15_16,12.7,4.5,2.3
Ish Smith,NOPPHI,15_16,12.6,4.0,6.5
Serge Ibaka,OKC,15_16,12.6,6.8,0.8
Wesley Matthews,DAL,15_16,12.5,3.1,1.9
Kenneth Faried,DEN,15_16,12.5,8.7,1.2
J.R. Smith,CLE,15_16,12.4,2.8,1.7
Luol Deng,MIA,15_16,12.3,6.0,1.9
Gary Harris,DEN,15_16,12.3,2.9,1.9
Joe Johnson,BRKMIA,15_16,12.2,3.6,3.9
Mirza Teletović,PHO,15_16,12.2,3.8,1.1
George Hill,IND,15_16,12.1,4.0,3.5
Al Jefferson,CHO,15_16,12.0,6.4,1.5
Markieff Morris,PHOWAS,15_16,12.0,5.5,1.9
Rajon Rondo,SAC,15_16,11.9,6.0,11.7
Tony Parker,SAS,15_16,11.9,2.4,5.3
Omri Casspi,SAC,15_16,11.8,5.9,1.4
Nikola Mirotić,CHI,15_16,11.8,5.5,1.5
C.J. Miles,IND,15_16,11.8,2.7,1.0
Jeff Green,LACMEM,15_16,11.7,4.2,1.7
Harrison Barnes,GSW,15_16,11.7,4.9,1.8
Jeremy Lin,CHO,15_16,11.7,3.2,3.0
Marvin Williams,CHO,15_16,11.7,6.4,1.4
Kent Bazemore,ATL,15_16,11.6,5.1,2.3
Otto Porter Jr.,WAS,15_16,11.6,5.2,1.6
Michael Carter-Williams,MIL,15_16,11.5,5.1,5.2
Jordan Hamilton,NOP,15_16,11.4,5.6,2.3
Julius Randle,LAL,15_16,11.3,10.2,1.8
Bojan Bogdanović,BRK,15_16,11.2,3.2,1.3
Nerlens Noel,PHI,15_16,11.1,8.1,1.8
Sean Kilpatrick,BRKDEN,15_16,11.1,1.8,0.9
DeMarre Carroll,TOR,15_16,11.0,4.7,1.0
Dennis Schröder,ATL,15_16,11.0,2.6,4.4
Isaiah Canaan,PHI,15_16,11.0,2.3,1.8
T.J. Warren,PHO,15_16,11.0,3.1,0.9
J.J. Barea,DAL,15_16,10.9,2.1,4.1
Elfrid Payton,ORL,15_16,10.7,3.6,6.4
Trey Burke,UTA,15_16,10.6,1.8,2.3
Norris Cole,NOP,15_16,10.6,3.4,3.7
Evan Turner,BOS,15_16,10.5,4.9,4.4
Shabazz Muhammad,MIN,15_16,10.5,3.3,0.6
Jerryd Bayless,MIL,15_16,10.4,2.7,3.1
Ersan İlyasova,DETORL,15_16,10.4,5.4,0.9
Myles Turner,IND,15_16,10.3,5.5,0.7
Jared Sullinger,BOS,15_16,10.3,8.3,2.3
Mario Chalmers,MEMMIA,15_16,10.3,2.6,3.8
Allen Crabbe,POR,15_16,10.3,2.7,1.2
Robin Lopez,NYK,15_16,10.3,7.3,1.4
Marco Belinelli,SAC,15_16,10.2,1.7,1.9
Al-Farouq Aminu,POR,15_16,10.2,6.1,1.7
Gorgui Dieng,MIN,15_16,10.1,7.1,1.7
Ricky Rubio,MIN,15_16,10.1,4.3,8.7
Matt Barnes,MEM,15_16,10.0,5.5,2.1
Kelly Olynyk,BOS,15_16,10.0,4.1,1.5
Nikola Jokić,DEN,15_16,10.0,7.0,2.4
Ramon Sessions,WAS,15_16,9.9,2.5,2.9
Terrence Ross,TOR,15_16,9.9,2.5,0.8
Patrick Beverley,HOU,15_16,9.9,3.5,3.4
Hollis Thompson,PHI,15_16,9.8,3.5,1.3
Dion Waiters,OKC,15_16,9.8,2.6,2.0
Carl Landry,PHI,15_16,9.8,4.1,0.9
Gary Neal,WAS,15_16,9.8,2.1,1.2
Jerami Grant,PHI,15_16,9.7,4.7,1.8
Marcus Thornton,HOUWAS,15_16,9.7,2.5,1.4
Courtney Lee,CHOMEM,15_16,9.6,2.6,1.7
Manu Ginóbili,SAS,15_16,9.6,2.5,3.1
Raymond Felton,DAL,15_16,9.5,3.2,3.6
Doug McDermott,CHI,15_16,9.4,2.4,0.7
Kevin Martin,MINSAS,15_16,9.3,2.0,1.1
Derrick Williams,NYK,15_16,9.3,3.7,0.9
Ian Mahinmi,IND,15_16,9.3,7.1,1.5
Kyle Korver,ATL,15_16,9.2,3.2,2.0
Aaron Gordon,ORL,15_16,9.2,6.5,1.6
Nenê,WAS,15_16,9.2,4.5,1.7
Jordan Farmar,MEM,15_16,9.2,2.1,3.1
Marcus Smart,BOS,15_16,9.1,4.2,3.0
Mason Plumlee,POR,15_16,9.1,7.7,2.8
Rudy Gobert,UTA,15_16,9.1,11.0,1.5
Alex Len,PHO,15_16,9.0,7.6,1.2
Gerald Green,MIA,15_16,8.9,2.4,0.8
Rodney Stuckey,IND,15_16,8.9,2.7,2.4
Archie Goodwin,PHO,15_16,8.9,2.5,2.1
Austin Rivers,LAC,15_16,8.9,1.9,1.5
Jordan Hill,IND,15_16,8.8,6.2,1.2
Jeremy Lamb,CHO,15_16,8.8,3.8,1.2
Cody Zeller,CHO,15_16,8.7,6.2,1.0
Luis Scola,TOR,15_16,8.7,4.7,0.9
Tyler Johnson,MIA,15_16,8.7,3.0,2.2
Toney Douglas,NOP,15_16,8.7,2.3,2.6
Terrence Jones,HOU,15_16,8.7,4.2,0.8
Gerald Henderson,POR,15_16,8.7,2.9,1.0
Shelvin Mack,ATLUTA,15_16,8.6,2.5,3.6
Taj Gibson,CHI,15_16,8.6,6.9,1.5
Tim Duncan,SAS,15_16,8.6,7.3,2.7
Zaza Pachulia,DAL,15_16,8.6,9.4,1.7
Patty Mills,SAS,15_16,8.5,2.0,2.8
Jon Leuer,PHO,15_16,8.5,5.6,1.1
Cory Joseph,TOR,15_16,8.5,2.6,3.1
Nik Stauskas,PHI,15_16,8.5,2.5,1.9
Meyers Leonard,POR,15_16,8.4,5.1,1.5
Tony Wroten,PHI,15_16,8.4,2.6,2.5
Tony Allen,MEM,15_16,8.4,4.6,1.1
Lance Stephenson,LACMEM,15_16,8.3,3.2,1.9
Mo Williams,CLE,15_16,8.2,1.8,2.4
