Player,Team,Season,PPG,RPG,APG
Stephen Curry,GSW,15_16,30.1,5.4,6.7
James Harden,HOU,15_16,29.0,6.1,7.5
Kevin Durant,OKC,15_16,28.2,8.2,5.0
DeMarcus Cousins,SAC,15_16,26.9,11.5,3.3
LeBron James,CLE,15_16,25.3,7.4,6.8
Damian Lillard,POR,15_16,25.1,4.0,6.8
Anthony Davis,NOP,15_16,24.3,10.3,1.9
Russell Westbrook,OKC,15_16,23.5,7.8,10.4
DeMar DeRozan,TOR,15_16,23.5,4.5,4.0
Paul George,IND,15_16,23.1,7.0,4.1
Isaiah Thomas,BOS,15_16,22.2,3.0,6.2
Klay Thompson,GSW,15_16,22.1,3.8,2.1
Carmelo Anthony,NYK,15_16,21.8,7.7,4.2
Blake Griffin,LAC,15_16,21.4,8.4,4.9
Kyle Lowry,TOR,15_16,21.2,4.7,6.4
Kawhi Leonard,SAS,15_16,21.2,6.8,2.6
Jimmy Butler,CHI,15_16,20.9,5.3,4.8
Kemba Walker,CHO,15_16,20.9,4.4,5.2
CJ McCollum,POR,15_16,20.8,3.2,4.3
Andrew Wiggins,MIN,15_16,20.7,3.6,2.0
Brook Lopez,BRK,15_16,20.6,7.8,2.0
Eric Bledsoe,PHO,15_16,20.4,4.0,6.1
John Wall,WAS,15_16,19.9,4.9,10.2
Gordon Hayward,UTA,15_16,19.7,5.0,3.7
Kyrie Irving,CLE,15_16,19.6,3.0,4.7
Brandon Knight,PHO,15_16,19.6,3.9,5.1
Danilo Gallinari,DEN,15_16,19.5,5.3,2.5
Chris Paul,LAC,15_16,19.5,4.2,10.0
Chris Bosh,MIA,15_16,19.1,7.4,2.4
Dwyane Wade,MIA,15_16,19.0,4.1,4.6
Reggie Jackson,DET,15_16,18.8,3.2,6.2
Karl-Anthony Towns,MIN,15_16,18.3,10.5,2.0
Dirk Nowitzki,DAL,15_16,18.3,6.5,1.8
Nikola Vučević,ORL,15_16,18.2,8.9,2.8
Khris Middleton,MIL,15_16,18.2,3.8,4.2
LaMarcus Aldridge,SAS,15_16,18.0,8.5,1.5
Kobe Bryant,LAL,15_16,17.6,3.7,2.8
Jahlil Okafor,PHI,15_16,17.5,7.0,1.2
Bradley Beal,WAS,15_16,17.4,3.4,2.9
