Player,Team,Season,PPG,RPG,APG
Kobe Bryant,LAL,05_06,35.4,5.3,4.5
Allen Iverson,PHI,05_06,33.0,3.2,7.4
LeBron James,CLE,05_06,31.4,7.0,6.6
Gilbert Arenas,WAS,05_06,29.3,3.5,6.0
Dwyane Wade,MIA,05_06,27.2,5.7,6.7
Paul Pierce,BOS,05_06,26.8,6.7,4.7
Dirk Nowitzki,DAL,05_06,26.6,9.0,2.8
Carmelo Anthony,DEN,05_06,26.5,4.9,2.7
Michael Redd,MIL,05_06,25.4,4.3,2.9
Ray Allen,SEA,05_06,25.1,4.3,3.7
Elton Brand,LAC,05_06,24.7,10.0,2.6
Tracy McGrady,HOU,05_06,24.4,6.5,4.8
Vince Carter,NJN,05_06,24.2,5.8,4.3
Jason Richardson,GSW,05_06,23.2,5.8,3.1
Chris Bosh,TOR,05_06,22.5,9.2,2.6
Yao Ming,HOU,05_06,22.3,10.2,1.5
Shawn Marion,PHO,05_06,21.8,11.8,1.8
Kevin Garnett,MIN,05_06,21.8,12.7,4.1
Mike Bibby,SAC,05_06,21.1,2.9,5.4
Antawn Jamison,WAS,05_06,20.5,9.3,1.9
Pau Gasol,MEM,05_06,20.4,8.9,4.6
Mike James,TOR,05_06,20.3,3.3,5.8
Chris Webber,PHI,05_06,20.2,9.9,3.4
Joe Johnson,ATL,05_06,20.2,4.1,6.5
Richard Hamilton,DET,05_06,20.1,3.2,3.4
Rashard Lewis,SEA,05_06,20.1,5.0,2.3
Jermaine O'Neal,IND,05_06,20.1,9.3,2.6
Shaquille O'Neal,MIA,05_06,20.0,9.2,1.9
Richard Jefferson,NJN,05_06,19.5,6.8,3.8
Ricky Davis,BOSMIN,05_06,19.4,4.5,5.1
Wally Szczerbiak,BOSMIN,05_06,19.0,4.3,3.0
Tony Parker,SAS,05_06,18.9,3.3,5.8
Steve Nash,PHO,05_06,18.8,4.2,10.5
Al Harrington,ATL,05_06,18.6,6.9,3.1
Tim Duncan,SAS,05_06,18.6,11.0,3.2
Chauncey Billups,DET,05_06,18.5,3.1,8.6
Peja Stojaković,INDSAC,05_06,18.2,5.8,1.9
Zach Randolph,POR,05_06,18.0,8.0,1.9
Mehmet Okur,UTA,05_06,18.0,9.1,2.4
Baron Davis,GSW,05_06,17.9,4.4,8.9
Corey Maggette,LAC,05_06,17.8,5.3,2.1
Caron Butler,WAS,05_06,17.6,6.2,2.5
Metta World Peace,INDSAC,05_06,17.6,5.1,3.6
Sam Cassell,LAC,05_06,17.2,3.7,6.3
Jason Terry,DAL,05_06,17.1,2.0,3.8
David West,NOK,05_06,17.1,7.4,1.2
Ben Gordon,CHI,05_06,16.9,2.7,3.0
Morris Peterson,TOR,05_06,16.8,4.6,2.3
Stephen Jackson,IND,05_06,16.4,3.9,2.8
Stephon Marbury,NYK,05_06,16.3,2.9,6.4
Carlos Boozer,UTA,05_06,16.3,8.6,2.7
Chris Paul,NOK,05_06,16.1,5.1,7.8
Kirk Hinrich,CHI,05_06,15.9,3.6,6.3
Dwight Howard,ORL,05_06,15.8,12.5,1.5
Josh Howard,DAL,05_06,15.6,6.3,1.9
Zydrunas Ilgauskas,CLE,05_06,15.6,7.6,1.2
Larry Hughes,CLE,05_06,15.5,4.5,3.6
Andrei Kirilenko,UTA,05_06,15.3,8.0,4.3
Gerald Wallace,CHA,05_06,15.2,7.5,1.7
Grant Hill,ORL,05_06,15.1,3.8,2.3
Rasheed Wallace,DET,05_06,15.1,6.8,2.3
Manu Ginóbili,SAS,05_06,15.1,3.5,3.6
Brad Miller,SAC,05_06,15.0,7.8,4.7
Hedo Türkoğlu,ORL,05_06,14.9,4.3,2.8
Lamar Odom,LAL,05_06,14.8,9.2,5.5
Cuttino Mobley,LAC,05_06,14.8,4.3,3.0
Raja Bell,PHO,05_06,14.7,3.2,2.6
Jameer Nelson,ORL,05_06,14.6,2.9,4.9
Steve Francis,NYKORL,05_06,14.4,4.1,4.9
Jamal Crawford,NYK,05_06,14.3,3.1,3.8
Luol Deng,CHI,05_06,14.3,6.6,1.9
Tayshaun Prince,DET,05_06,14.1,4.2,2.3
Troy Murphy,GSW,05_06,14.0,10.0,1.4
Darius Miles,POR,05_06,14.0,4.6,1.8
Andre Miller,DEN,05_06,13.7,4.3,8.2
Mike Miller,MEM,05_06,13.7,5.4,2.7
Eddy Curry,NYK,05_06,13.6,6.0,0.3
Bonzi Wells,SAC,05_06,13.6,7.7,2.8
Nenad Krstić,NJN,05_06,13.5,6.4,1.1
Bobby Simmons,MIL,05_06,13.4,4.4,2.3
Boris Diaw,PHO,05_06,13.3,6.9,6.2
Jason Kidd,NJN,05_06,13.3,7.2,8.4
Derek Fisher,GSW,05_06,13.3,2.6,4.3
Emeka Okafor,CHA,05_06,13.2,10.0,1.2
Leandro Barbosa,PHO,05_06,13.1,2.6,2.8
Jerry Stackhouse,DAL,05_06,13.0,2.8,2.9
Charlie Villanueva,TOR,05_06,13.0,6.4,1.1
Andrés Nocioni,CHI,05_06,13.0,6.1,1.4
Kenyon Martin,DEN,05_06,12.9,6.3,1.4
Marcus Camby,DEN,05_06,12.8,11.9,2.1
Brevin Knight,CHA,05_06,12.6,3.2,8.8
Earl Boykins,DEN,05_06,12.6,1.4,3.8
Matt Harpring,UTA,05_06,12.5,5.2,1.4
Primož Brezec,CHA,05_06,12.4,5.6,0.6
Jason Williams,MIA,05_06,12.3,2.4,4.9
Channing Frye,NYK,05_06,12.3,5.8,0.8
Shareef Abdur-Rahim,SAC,05_06,12.3,5.0,2.1
Jalen Rose,NYKTOR,05_06,12.3,2.9,2.5
Juan Dixon,POR,05_06,12.3,2.3,2.0
Andre Iguodala,PHI,05_06,12.3,5.9,3.1
Speedy Claxton,NOK,05_06,12.3,2.7,4.8
Antoine Walker,MIA,05_06,12.2,5.1,2.0
T.J. Ford,MIL,05_06,12.2,4.3,6.6
Mo Williams,MIL,05_06,12.1,2.5,4.0
Ruben Patterson,DENPOR,05_06,12.1,3.4,1.8
Rafer Alston,HOU,05_06,12.1,4.0,6.7
Chris Kaman,LAC,05_06,11.9,9.6,1.0
Raymond Felton,CHA,05_06,11.9,3.3,5.6
Eddie Jones,MEM,05_06,11.8,3.7,2.4
Juwan Howard,HOU,05_06,11.8,6.7,1.4
Delonte West,BOS,05_06,11.8,4.1,4.6
Damon Stoudamire,MEM,05_06,11.7,3.5,4.7
Zaza Pachulia,ATL,05_06,11.7,7.9,1.7
Luke Ridnour,SEA,05_06,11.5,3.0,7.0
Mike Dunleavy,GSW,05_06,11.5,4.9,2.9
Smush Parker,LAL,05_06,11.5,3.3,3.7
Kyle Korver,PHI,05_06,11.5,3.3,2.0
Bobby Jackson,MEM,05_06,11.4,3.1,2.7
Mark Blount,BOSMIN,05_06,11.3,4.5,1.2
Josh Smith,ATL,05_06,11.3,6.6,2.4
Ronald Murray,CLESEA,05_06,11.2,2.0,2.6
Tyronn Lue,ATL,05_06,11.0,1.6,3.1
DeShawn Stevenson,ORL,05_06,11.0,2.9,2.0
Desmond Mason,NOK,05_06,10.8,4.3,0.9
Kevin Martin,SAC,05_06,10.8,3.6,1.3
Deron Williams,UTA,05_06,10.8,2.4,4.5
Drew Gooden,CLE,05_06,10.7,8.4,0.7
Gordan Giriček,UTA,05_06,10.6,1.9,1.7
Jumaine Jones,CHA,05_06,10.5,4.9,0.8
Tim Thomas,CHIPHO,05_06,10.3,4.5,0.7
Chris Mihm,LAL,05_06,10.2,6.3,1.0
Marquis Daniels,DAL,05_06,10.2,3.6,2.8
Michael Finley,SAS,05_06,10.1,3.2,1.5
Shane Battier,MEM,05_06,10.1,5.3,1.7
Kareem Rush,CHA,05_06,10.1,2.2,1.1
Josh Childress,ATL,05_06,10.0,5.2,1.8
Marcus Banks,BOSMIN,05_06,10.0,2.3,3.8
Devin Harris,DAL,05_06,9.9,2.2,3.2
David Wesley,HOU,05_06,9.9,2.5,2.9
Eddie House,PHO,05_06,9.8,1.6,1.8
Melvin Ely,CHA,05_06,9.8,4.9,1.3
Vladimir Radmanović,LACSEA,05_06,9.8,4.6,1.8
Salim Stoudamire,ATL,05_06,9.7,1.9,1.2
Antonio Daniels,WAS,05_06,9.6,2.2,3.6
Fred Jones,IND,05_06,9.6,2.5,2.3
Chucky Atkins,MEMWAS,05_06,9.5,1.7,2.8
Troy Hudson,MIN,05_06,9.5,1.2,2.9
Sebastian Telfair,POR,05_06,9.5,1.8,3.6
Keyon Dooling,ORL,05_06,9.4,1.6,2.2
Andrew Bogut,MIL,05_06,9.4,7.0,2.3
Udonis Haslem,MIA,05_06,9.3,7.8,1.2
Jarvis Hayes,WAS,05_06,9.3,3.6,1.3
James Jones,PHO,05_06,9.3,3.4,0.8
Nate Robinson,NYK,05_06,9.3,2.3,2.0
Jamaal Tinsley,IND,05_06,9.3,3.2,5.0
Donyell Marshall,CLE,05_06,9.3,6.1,0.7
Mickaël Piétrus,GSW,05_06,9.3,3.1,0.8
Trenton Hassell,MIN,05_06,9.2,2.8,2.6
Anthony Johnson,IND,05_06,9.2,2.2,4.3
