Player,Team,Season,PPG,RPG,APG,Winrate,MVP
James Harden,HOU,17_18,30.4,5.4,8.8,0.793,1
Anthony Davis,NOP,17_18,28.1,11.1,2.3,0.585,1
LeBron James,CLE,17_18,27.5,8.6,9.1,0.61,1
Damian Lillard,POR,17_18,26.9,4.5,6.6,0.598,1
Giannis Antetokounmpo,MIL,17_18,26.9,10.0,4.8,0.537,1
Stephen Curry,GSW,17_18,26.4,5.1,6.1,0.707,1
Kevin Durant,GSW,17_18,26.4,6.8,5.4,0.707,1
Russell Westbrook,OKC,17_18,25.4,10.0,10.2,0.585,1
DeMarcus Cousins,NOP,17_18,25.2,12.9,5.4,0.585,0
Devin Booker,PHO,17_18,24.9,4.5,4.7,0.256,0
Kyrie Irving,BOS,17_18,24.4,3.8,5.1,0.671,0
LaMarcus Aldridge,SAS,17_18,23.1,8.5,2.0,0.573,1
Victor Oladipo,IND,17_18,23.1,5.2,4.3,0.585,1
DeMar DeRozan,TOR,17_18,23.0,3.9,5.2,0.72,1
Joel Embiid,PHI,17_18,22.9,11.0,3.2,0.634,1
Kristaps Porziņģis,NYK,17_18,22.7,6.6,1.2,0.354,0
Bradley Beal,WAS,17_18,22.6,4.4,4.5,0.524,0
Lou Williams,LAC,17_18,22.6,2.5,5.3,0.512,0
Jimmy Butler,MIN,17_18,22.2,5.3,4.9,0.573,1
Kemba Walker,CHO,17_18,22.1,3.1,5.6,0.439,0
Paul George,OKC,17_18,21.9,5.7,3.3,0.585,0
Blake Griffin,DETLAC,17_18,21.4,7.4,5.8,,0
CJ McCollum,POR,17_18,21.4,4.0,3.4,0.598,0
Karl-Anthony Towns,MIN,17_18,21.3,12.3,2.4,0.573,0
Donovan Mitchell,UTA,17_18,20.5,3.7,3.7,0.585,0
Khris Middleton,MIL,17_18,20.1,5.2,4.0,0.537,0
MarShon Brooks,MEM,17_18,20.1,3.0,3.6,0.268,0
Klay Thompson,GSW,17_18,20.0,3.8,2.5,0.707,0
T.J. Warren,PHO,17_18,19.6,5.1,1.3,0.256,0
John Wall,WAS,17_18,19.4,3.7,9.6,0.524,0
Tyreke Evans,MEM,17_18,19.4,5.1,5.2,0.268,0
Dennis Schröder,ATL,17_18,19.4,3.1,6.2,0.293,0
Jrue Holiday,NOP,17_18,19.0,4.5,6.0,0.585,0
Harrison Barnes,DAL,17_18,18.9,6.1,2.0,0.293,0
Chris Paul,HOU,17_18,18.6,5.4,7.9,0.793,0
