;;;;;;Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
;;;;;;116;Donte DiVincenzo;4.2;2022-23;26;GSW;72;36;0;4.2;117;113;1.9;2.3;0.106;-0.6;1.3;0.7;1.3;12.8;4.7;14;9.4;17.3;2.4;0.5;16.4;15.1;G;divindo01
;;;;;;117;Nick Richards;4.2;2022-23;25;CHO;65;9;0;4.2;130;113;2.7;1.5;0.165;-1;-0.2;-1.3;0.2;18.3;12.6;24;18.2;4.5;0.4;5.1;13;15.6;F-C;richani01
;;;;;;118;Thomas Bryant;4.1;2022-23;25;DENLAL;59;26;0;4.1;132;112;2.7;1.4;0.183;1.1;-0.5;0.6;0.7;19.7;8.9;24.6;17;4.3;0.7;2.4;8.2;18.2;C;bryanth01
;;;;;;119;Jerami Grant;4.1;2022-23;28;POR;63;63;0;4.1;117;120;3.1;1;0.087;1.2;-1.4;-0.2;1;16;2.7;11.9;7.2;10.3;1.1;2.1;9.8;22.8;F;grantje01
;;;;;;120;Torrey Craig;4;2022-23;32;PHO;79;60;0;4;116;113;1.5;2.5;0.098;-1.3;0.7;-0.6;0.7;11.6;8.1;16.3;12.1;7.9;1.3;2.9;12.3;13;G-F;craigto01
;;;;;;121;Josh Giddey;4;2022-23;20;OKC;76;76;0;4;109;114;1.3;2.7;0.081;1.5;-0.3;1.2;1.9;17.1;6.6;20.9;13.6;29.9;1.1;1.2;15.1;24.6;G;giddejo01
;;;;;;122;Saddiq Bey;3.9;2022-23;23;ATLDET;77;37;0;3.9;117;119;2.6;1.2;0.087;0.9;-1.2;-0.3;0.9;14.6;5;14;9.4;8.1;1.6;0.5;7;20.2;F;beysa01
;;;;;;123;Robert Williams;3.8;2022-23;25;BOS;35;20;0;3.8;143;107;2.3;1.6;0.224;1;2.4;3.3;1.1;19.8;14;24.5;19.3;8.5;1.3;5;15.3;11.8;C-F;williro04
;;;;;;124;Corey Kispert;3.8;2022-23;23;WAS;74;45;0;3.8;124;120;2.9;0.9;0.088;-0.1;-1.4;-1.5;0.2;11.5;1.8;8.9;5.5;5.7;0.7;0.4;8.1;14.1;G-F;kispeco01
;;;;;;125;Anthony Edwards;3.8;2022-23;21;MIN;79;79;1;3.8;106;113;0.2;3.6;0.064;1;0;1;2.1;17.4;1.9;15.9;9;19.3;2.1;1.8;13;29.9;G-F;edwaran01
;;;;;;126;Isaiah Joe;3.8;2022-23;23;OKC;73;10;0;3.8;125;116;2.5;1.3;0.131;1.3;-0.4;0.9;1;14.5;2;11.6;6.7;8.7;1.6;0.5;6.6;17.7;G;joeis01
;;;;;;127;Marcus Smart;3.7;2022-23;28;BOS;61;61;0;3.7;111;112;1;2.7;0.092;-1.8;0.8;-1;0.5;12.1;2.6;8;5.3;26.4;2.3;1;17.9;17.8;G;smartma01
;;;;;;128;Cole Anthony;3.7;2022-23;22;ORL;60;4;0;3.7;117;115;2.1;1.7;0.116;0.7;0.5;1.3;1.3;16;3.4;17.6;10.5;22.9;1.2;1.9;11.7;21.5;G;anthoco01
;;;;;;129;Caleb Martin;3.7;2022-23;27;MIA;71;49;0;3.7;113;113;1.2;2.5;0.086;-1.8;0.5;-1.2;0.4;11.4;4.8;15;9.7;8.2;1.7;1.5;11.5;14.4;F;martica02
;;;;;;130;Delon Wright;3.7;2022-23;30;WAS;50;14;0;3.7;127;112;2.1;1.6;0.146;0.4;3.1;3.4;1.7;16.3;5.5;10.7;8.2;20.9;3.7;1.2;12.2;12.9;G;wrighde01
;;;;;;131;Markelle Fultz;3.7;2022-23;24;ORL;60;60;0;3.7;113;114;1.7;2;0.1;-0.1;0.7;0.5;1.2;16.6;4.4;10.5;7.4;29.8;2.4;1.4;15.8;21.3;G;fultzma01
;;;;;;132;Nicolas Batum;3.6;2022-23;34;LAC;78;19;0;3.6;120;114;1.7;1.9;0.101;-0.8;1.2;0.5;1;11;4.1;15.4;9.8;9.4;1.5;2.3;11.1;11.5;F-G;batumni01
;;;;;;133;Zion Williamson;3.6;2022-23;22;NOP;29;29;1;3.6;120;112;2.3;1.2;0.18;4.8;1;5.8;1.9;25.2;6.9;17;12;24.4;1.6;1.6;14.6;30.4;F-C;willizi01
;;;;;;134;Alex Caruso;3.6;2022-23;28;CHI;67;36;0;3.6;115;109;1;2.6;0.109;-2.2;3.3;1.1;1.2;11.5;3.1;10.9;7.1;15.4;3;2.8;19.5;11.1;G;carusal01
;;;;;;135;Bojan Bogdanović;3.5;2022-23;33;DET;59;59;0;3.5;118;122;3.1;0.4;0.09;2.6;-1.8;0.8;1.4;17.4;2;11.3;6.5;13.6;0.9;0.4;11.7;25.9;G-F;bogdabo02
;;;;;;136;Cameron Johnson;3.5;2022-23;26;BRKPHO;42;41;0;3.5;122;114;2.1;1.4;0.142;2;0.6;2.6;1.4;17.1;3.2;14;8.6;9.6;2;1;6.6;20.6;F;johnsca02
;;;;;;137;Patrick Williams;3.5;2022-23;21;CHI;82;65;0;3.5;108;113;0.5;3;0.072;-1.7;0.4;-1.3;0.4;11.2;3.9;12;8;5.8;1.5;2.9;12.3;15.7;F;willipa01
;;;;;;138;Tyler Herro;3.5;2022-23;23;MIA;67;67;0;3.5;109;115;1.1;2.4;0.072;1.5;-0.8;0.6;1.6;15.3;1.3;17.3;9;19.9;1.1;0.7;11.7;25.6;G;herroty01
;;;;;;139;Norman Powell;3.5;2022-23;29;LAC;60;8;0;3.5;115;116;2.1;1.4;0.107;0.9;-0.7;0.3;0.9;17.1;1.7;10.7;6.3;11;1.6;1;10.8;26;G;powelno01
;;;;;;140;John Konchar;3.5;2022-23;26;MEM;72;23;0;3.5;117;109;1;2.5;0.111;-1.9;2.4;0.5;0.9;10.8;4.5;17.4;11;8.2;2.4;1.5;9.9;10.4;G;konchjo01
;;;;;;141;Jevon Carter;3.5;2022-23;27;MIL;81;39;0;3.5;113;113;1.2;2.3;0.092;-1.9;1.2;-0.6;0.6;10.9;2.1;9.3;5.8;14.5;1.7;1.3;11.8;15.3;G;carteje01
;;;;;;142;Brandon Ingram;3.5;2022-23;25;NOP;45;45;0;3.5;112;114;1.8;1.7;0.108;2.2;-0.4;1.7;1.5;19.2;1.7;16.4;9.1;28.1;1;1.2;13.4;30.8;F;ingrabr01
;;;;;;143;Kyle Lowry;3.4;2022-23;36;MIA;55;44;0;3.4;114;114;1.5;1.9;0.096;-0.7;0.8;0.2;0.9;12.6;2.8;12.9;7.7;23.4;1.7;1.2;15.9;16.7;G;lowryky01
;;;;;;144;Bradley Beal;3.4;2022-23;29;WAS;50;50;0;3.4;114;117;2.2;1.2;0.099;2.9;-1.2;1.8;1.6;19.7;2.8;9.9;6.5;26.6;1.3;1.7;12.9;29.2;G;bealbr01
;;;;;;145;Moritz Wagner;3.4;2022-23;25;ORL;57;18;0;3.4;122;114;2.1;1.3;0.149;0.4;0.2;0.6;0.7;17.4;7;19.4;13.2;11.5;1.6;1.1;12.5;21.1;F-C;wagnemo01
;;;;;;146;Sam Hauser;3.4;2022-23;25;BOS;80;8;0;3.4;124;113;1.8;1.6;0.128;0.6;0.4;1;1;12.7;3;14.1;8.6;7.6;1.1;1.4;6.9;14.7;F;hausesa01
;;;;;;147;Tre Jones;3.4;2022-23;23;SAS;68;65;0;3.4;117;120;2.6;0.8;0.082;-0.2;-0.8;-1;0.5;16;3;10.8;6.7;31.5;2.1;0.4;11.8;19.3;G;jonestr01
;;;;;;148;Steven Adams;3.4;2022-23;29;MEM;42;42;0;3.4;118;108;1.3;2.1;0.144;-0.3;0.9;0.6;0.7;17.5;20.1;25.3;22.7;11.2;1.5;3.7;19.8;14.6;C;adamsst01
;;;;;;149;Luke Kennard;3.4;2022-23;26;LACMEM;59;14;0;3.4;128;116;2.2;1.2;0.124;0.6;-0.1;0.5;0.8;13;1.2;11.8;6.6;9.4;1.2;0.3;10.3;14.5;G;kennalu01
;;;;;;150;Max Strus;3.4;2022-23;26;MIA;80;33;0;3.4;113;117;1.5;1.9;0.071;-0.8;-0.9;-1.7;0.2;10.8;2.4;11.2;6.7;11.2;0.9;0.5;7.8;17.6;G;strusma01
;;;;;;151;Kenrich Williams;3.3;2022-23;28;OKC;53;10;0;3.3;126;114;2;1.3;0.133;0.1;0.4;0.5;0.8;14.4;8.5;14.9;11.6;11.7;1.8;1.1;8.1;13.7;G-F;willike04
;;;;;;152;Luke Kornet;3.3;2022-23;27;BOS;69;0;0;3.3;143;111;2.1;1.2;0.198;-0.4;1.3;1;0.6;16.7;11.9;14.8;13.4;9.1;0.7;4.9;11.8;11.5;C-F;kornelu01
;;;;;;153;Cedi Osman;3.3;2022-23;27;CLE;77;2;0;3.3;115;113;1.4;1.9;0.103;-0.8;0.2;-0.7;0.5;12;1.9;11.5;6.7;10.6;1.1;0.7;8.3;18.2;F;osmande01
;;;;;;154;Malik Monk;3.2;2022-23;24;SAC;77;0;0;3.2;114;118;2.1;1.2;0.091;1.6;-1.4;0.3;1;16.6;2.1;11.3;6.7;25;1.4;1;14.1;25.8;G;monkma01
;;;;;;155;Jordan Poole;3.2;2022-23;23;GSW;82;43;0;3.2;109;117;1.4;1.9;0.063;-0.1;-1.8;-1.9;0.1;14.6;1.5;8.5;5;22.5;1.2;0.8;14.7;29.2;G;poolejo01
;;;;;;156;Coby White;3.1;2022-23;22;CHI;74;2;0;3.1;113;114;1.2;1.9;0.087;-1;0.2;-0.8;0.5;12.5;1.1;12.6;6.9;16.3;1.5;0.3;10.6;17.9;G;whiteco01
;;;;;;157;Klay Thompson;3.1;2022-23;32;GSW;69;69;0;3.1;110;117;1.2;1.9;0.066;1.5;-1.7;-0.3;1;14.7;1.9;11.7;6.9;11;1;1.1;8.6;26.4;G-F;thompkl01
;;;;;;158;T.J. McConnell;3.1;2022-23;30;IND;75;6;0;3.1;116;117;1.9;1.2;0.098;0.4;0.1;0.5;1;16.8;3.3;13.7;8.5;37.9;2.5;0.6;20.6;19.1;G;mccontj01
;;;;;;159;Patrick Beverley;3;2022-23;34;CHILAL;67;67;0;3;113;113;0.8;2.1;0.079;-2.9;1.7;-1.2;0.3;8.9;2.7;12;7.5;13.3;1.7;2;13.4;10.6;G;beverpa01
;;;;;;160;Naz Reid;3;2022-23;23;MIN;68;11;0;3;112;110;1.1;1.9;0.114;0.3;0.8;1;1;18.5;6.6;22.8;14.9;9.6;1.6;3.7;12.7;24.8;F;reidna01
;;;;;;161;Luguentz Dort;2.9;2022-23;23;OKC;74;73;0;2.9;109;116;0.9;2.1;0.062;-2;-1;-3;-0.6;11.3;5.9;10.4;8.1;9.2;1.6;0.9;8.5;19.8;G;dortlu01
;;;;;;162;Ayo Dosunmu;2.9;2022-23;23;CHI;80;51;0;2.9;109;115;0.7;2.2;0.067;-3;0.6;-2.5;-0.2;10.2;2.5;9.3;5.9;13.2;1.4;1.2;14;14.9;G;dosunay01
;;;;;;163;Troy Brown Jr.;2.9;2022-23;23;LAL;76;45;0;2.9;113;115;1;2;0.075;-1.8;0.8;-1;0.5;9.6;3.7;13.7;8.9;6.6;1.5;0.7;9.2;12.1;G-F;browntr01
;;;;;;164;Kevin Porter Jr.;2.9;2022-23;22;HOU;59;59;0;2.9;112;120;1.9;1;0.068;1.4;-0.8;0.6;1.3;16.2;4.1;13.1;8.5;25.7;2;0.8;15.8;24.3;G;porteke02
;;;;;;165;Royce O'Neale;2.9;2022-23;29;BRK;76;53;0;2.9;108;115;0.4;2.5;0.057;-1.7;0.6;-1.1;0.5;9.2;2.6;15;9;15.3;1.3;1.7;15.5;13.6;F;onealro01
;;;;;;166;Shake Milton;2.9;2022-23;26;PHI;76;11;0;2.9;115;117;1.6;1.2;0.087;-1;-0.9;-2;0;12.7;3;11.3;7.2;22.3;0.8;0.8;14.5;18.5;G;miltosh01
;;;;;;167;Josh Okogie;2.8;2022-23;24;PHO;72;26;0;2.8;114;113;1.1;1.7;0.101;-0.8;0.5;-0.2;0.6;13.3;8.8;11.9;10.3;10.3;2;2.3;11.2;17.7;G;okogijo01
;;;;;;168;Paul Reed;2.8;2022-23;23;PHI;69;2;0;2.8;122;105;1.2;1.6;0.18;-1.6;1.5;-0.1;0.4;19.2;17.8;23.1;20.5;5.3;3;6.3;16.3;16.4;F;reedpa01
;;;;;;169;Andre Drummond;2.8;2022-23;29;CHI;67;0;0;2.8;113;103;0.8;2;0.159;-1.2;0.5;-0.8;0.3;20.8;18.7;40.2;29.6;5.7;2.6;3.1;18.6;21;C;drumman01
;;;;;;170;Mark Williams;2.8;2022-23;21;CHO;43;17;0;2.8;125;110;1.5;1.3;0.163;-0.5;0.6;0.1;0.4;19.8;11.7;27.7;19.6;3.3;1.6;4.7;12;17;C;willima07
;;;;;;171;Dennis Schröder;2.8;2022-23;29;LAL;66;50;0;2.8;112;117;1.3;1.5;0.068;-2.4;-0.5;-2.9;-0.4;11.5;1.2;7.5;4.4;20.1;1.2;0.4;12.8;18.6;G;schrode01
;;;;;;172;Wenyen Gabriel;2.8;2022-23;25;LAL;68;2;0;2.8;123;113;1.5;1.3;0.132;-2.3;0.1;-2.2;-0.1;14.4;12.6;17.2;15;4.8;1.2;2.9;13.4;14.1;F;gabriwe01
;;;;;;173;Bogdan Bogdanović;2.8;2022-23;30;ATL;54;9;0;2.8;117;118;1.8;1;0.088;1.1;-0.7;0.5;0.9;14.2;1.6;10.4;6;13.4;1.4;1;9.2;19.8;G;bogdabo01
;;;;;;174;Reggie Bullock;2.8;2022-23;31;DAL;78;55;0;2.8;116;119;1.3;1.4;0.056;-2.3;-0.3;-2.6;-0.4;7.7;1.6;12.5;7;6.2;1.1;0.5;6.9;10;G-F;bullore01
;;;;;;175;Jalen McDaniels;2.7;2022-23;25;CHOPHI;80;24;0;2.7;108;114;0.5;2.2;0.068;-2.7;0.6;-2.1;-0.1;11.8;3.6;16.3;9.9;9.6;2.1;1.6;12.1;17.2;F;mcdanja01
;;;;;;176;Jock Landale;2.7;2022-23;27;PHO;69;4;0;2.7;119;113;1.5;1.2;0.132;-0.7;-0.4;-1.1;0.2;16.4;13.2;18.6;15.8;10.1;0.8;2.7;13.3;19.3;C;landajo01
;;;;;;177;Keita Bates-Diop;2.7;2022-23;27;SAS;67;42;0;2.7;121;120;2.1;0.6;0.089;0.3;-0.9;-0.6;0.5;14.9;4.7;14.3;9.3;9.8;1.5;1.1;9.5;16.7;F;bateske01
;;;;;;178;Isaiah Jackson;2.7;2022-23;21;IND;63;12;0;2.7;120;114;1.5;1.2;0.124;-1.7;0.9;-0.8;0.3;17.5;12.1;18;15;7;1.4;7.7;11.8;17.4;C-F;jacksis01
;;;;;;179;Jusuf Nurkić;2.7;2022-23;28;POR;52;52;0;2.7;112;114;1.2;1.5;0.092;-0.6;0.7;0.1;0.7;17.3;9.3;29.7;19.5;16.4;1.5;2.8;16.8;22.1;C;nurkiju01
;;;;;;180;Karl-Anthony Towns;2.7;2022-23;27;MIN;29;29;0;2.7;117;114;1.5;1.1;0.133;2.1;0.9;3;1.2;18.8;5.7;21.6;13.8;22;1;1.5;15;25.6;C-F;townska01
;;;;;;181;Joe Harris;2.6;2022-23;31;BRK;74;33;0;2.6;119;117;1.5;1.1;0.083;-0.6;-0.6;-1.1;0.3;10.6;1.7;10.1;6;9.1;1.1;0.7;8.3;14.3;G;harrijo01
;;;;;;182;Aaron Wiggins;2.6;2022-23;24;OKC;70;14;0;2.6;119;116;1.4;1.2;0.097;-1.5;-0.5;-2.1;0;12.2;5.5;12;8.7;8.3;1.4;1.1;12.2;14.5;G;wiggiaa01
;;;;;;183;Josh Green;2.6;2022-23;22;DAL;60;21;0;2.6;119;119;1.7;0.9;0.082;-1.9;-0.6;-2.4;-0.2;11.2;4.1;9.7;6.9;9.7;1.4;0.3;14.5;14.6;G-F;greenjo02
;;;;;;184;Jericho Sims;2.6;2022-23;24;NYK;52;16;0;2.6;146;114;1.6;0.9;0.153;-1;0.5;-0.5;0.3;13.8;13.3;19.4;16.4;4;0.9;3.2;19.1;7.4;F;simsje01
;;;;;;185;P.J. Washington;2.6;2022-23;24;CHO;73;73;0;2.6;107;116;0.4;2.2;0.052;-1;-0.3;-1.3;0.4;12.9;3.2;13;8;11;1.3;2.9;9.4;20.6;F;washipj01
;;;;;;186;Tari Eason;2.6;2022-23;21;HOU;82;5;0;2.6;110;115;0.9;1.7;0.07;-1.3;-0.4;-1.7;0.1;15.2;12;18.9;15.4;7.4;2.6;2.6;12.2;19.3;F;easonta01
;;;;;;187;Kevin Love;2.6;2022-23;34;CLEMIA;62;20;0;2.6;110;110;0.6;2;0.099;0.2;0.4;0.6;0.8;13.1;5.5;32.6;18.9;13.2;0.6;0.9;13.1;19.2;F-C;loveke01
;;;;;;188;Damion Lee;2.6;2022-23;30;PHO;74;5;0;2.6;114;116;1.1;1.4;0.081;-1.3;-0.4;-1.7;0.1;10.7;2.8;14;8.3;8.9;1;0.4;13.5;16.3;G;leeda03
;;;;;;189;Trey Lyles;2.6;2022-23;27;SAC;74;0;0;2.6;117;116;1.4;1.2;0.098;0;-0.9;-1;0.3;14.2;6.3;21.1;13.7;7;1;2.2;12.2;18.1;F;lylestr01
;;;;;;190;P.J. Tucker;2.5;2022-23;37;PHI;75;75;0;2.5;117;116;0.9;1.7;0.064;-3.2;0.2;-3;-0.5;5.7;5.9;12.1;9.1;3.9;1;0.7;15.8;6.5;F;tuckepj01
;;;;;;191;Pat Connaughton;2.5;2022-23;30;MIL;61;33;0;2.5;112;113;0.7;1.8;0.085;-1.3;0.3;-1;0.3;10;3.8;16.2;10.2;6.9;1.2;0.6;7;13.8;G;connapa01
;;;;;;192;Alec Burks;2.5;2022-23;31;DET;51;8;0;2.5;120;119;1.9;0.6;0.109;1.8;-0.5;1.2;0.9;16.5;1.8;14.2;7.8;15.9;1.6;0.6;9.7;22.8;G;burksal01
;;;;;;193;Naji Marshall;2.5;2022-23;25;NOP;77;21;0;2.5;109;114;0.5;2;0.068;-1.9;0;-1.9;0.1;11.4;3;14.6;8.8;14.4;1.5;0.7;13;17.8;F;marshna01
;;;;;;194;Devonte' Graham;2.5;2022-23;27;NOPSAS;73;8;0;2.5;117;117;1.5;1;0.091;0.1;-0.2;-0.1;0.6;12.5;1.6;8.7;5.1;19.4;1.6;1.1;9.8;17.1;G;grahade01
;;;;;;195;De'Andre Hunter;2.5;2022-23;25;ATL;67;67;0;2.5;112;119;1.4;1.2;0.057;-1.9;-1.4;-3.3;-0.7;11.5;2.3;12.4;7.3;6;0.8;0.7;8.2;19.7;F;huntede01
;;;;;;196;Mike Muscala;2.5;2022-23;31;BOSOKC;63;9;0;2.5;124;113;1.4;1.1;0.128;-0.3;-0.1;-0.4;0.4;13;4.2;19.1;11.6;7.1;0.8;2.3;6.8;15.1;F-C;muscami01
;;;;;;197;Collin Sexton;2.5;2022-23;24;UTA;48;15;0;2.5;119;120;2;0.5;0.105;0.1;-1.5;-1.3;0.2;15.9;3.5;6.3;5;17.9;1.1;0.4;13.3;23.4;G;sextoco01
;;;;;;198;Georges Niang;2.5;2022-23;29;PHI;78;1;0;2.5;114;116;1.1;1.4;0.078;-0.4;-1;-1.4;0.2;10.9;1.5;12.8;7.2;7.3;1;0.9;9.4;17;F;niangge01
;;;;;;199;Anfernee Simons;2.5;2022-23;23;POR;62;62;0;2.5;113;123;2.1;0.3;0.054;1.3;-2.5;-1.1;0.5;14.8;0.9;7.6;4.3;18.6;0.9;0.6;10.2;25.1;G;simonan01
;;;;;;200;Derrick Jones Jr.;2.4;2022-23;25;CHI;64;0;0;2.4;122;112;1.2;1.2;0.131;-1.2;0.8;-0.4;0.3;13.8;7.7;11.6;9.7;5.1;1.6;4;8.6;14.5;F;jonesde02
