Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
1;James Harden;15.4;2017-18;28;HOU;72;72;1;15.4;120;105;11.6;3.8;0.289;8.5;1.4;9.9;7.7;29.8;1.8;15.2;8.6;45.1;2.4;1.7;15.1;36.1;G;hardeja01
2;Karl-Anthony Towns;14;2017-18;22;MIN;82;82;1;14;127;107;10.6;3.4;0.23;4.9;0.2;5.1;5.2;24.9;9.3;30.9;20;10.8;1.1;3.5;10.5;22.9;C-F;townska01
3;LeBron James;14;2017-18;33;CLE;82;82;1;14;118;109;11;3;0.221;7.3;1.4;8.7;8.2;28.6;3.7;22.3;13.1;44.4;1.9;2;16.1;31.6;F-G;jamesle01
4;Anthony Davis;13.7;2017-18;24;NOP;75;75;1;13.7;119;102;8.8;4.9;0.241;5.3;1.4;6.7;5.9;28.9;7.7;24.8;16.5;10.8;2;5.6;8.6;30;F-C;davisan02
5;Damian Lillard;12.6;2017-18;27;POR;73;73;1;12.6;120;109;9.9;2.7;0.227;7;0.3;7.2;6.3;25.2;2.6;10.6;6.6;30.9;1.4;0.8;11.1;30.6;G;lillada01
6;Giannis Antetokounmpo;11.9;2017-18;23;MIL;75;75;1;11.9;116;106;8.3;3.6;0.207;5.3;0.9;6.2;5.7;27.3;6.7;25.3;16;23.7;2;3.3;11.7;31.2;F-G;antetgi01
7;LaMarcus Aldridge;10.9;2017-18;32;SAS;75;75;1;10.9;118;105;7.4;3.6;0.209;4.3;-0.4;3.9;3.7;25;10.8;17.3;14;11.3;0.9;3;6.8;29.1;F-C;aldrila01
8;Nikola Jokić;10.7;2017-18;22;DEN;75;73;0;10.7;121;107;7.8;2.9;0.211;5.3;1.6;6.9;5.5;24.4;9;27.9;18.5;29.6;1.8;2.1;15.5;24.2;C-F;jokicni01
9;Kevin Durant;10.4;2017-18;29;GSW;68;68;1;10.4;119;107;7.5;2.9;0.215;6.7;0.6;7.3;5.5;26;1.6;19.5;11.2;25.5;1;4;12.9;30.4;F-G;duranke01
10;Andre Drummond;10.3;2017-18;24;DET;78;78;1;10.3;113;99;4.6;5.7;0.188;1.5;1.7;3.2;3.4;22.9;16.4;36.4;26.2;14.3;2.2;4.3;15.9;21.2;C;drumman01
11;Clint Capela;10.2;2017-18;23;HOU;74;74;0;10.2;126;101;6.2;4.1;0.242;2.4;1;3.4;2.8;24.5;13.5;30.8;22.2;5.7;1.4;5.7;11.5;19.4;C;capelca01
12;Chris Paul;10.2;2017-18;32;HOU;58;58;0;10.2;126;105;7.5;2.7;0.265;5.2;1.8;7.1;4.2;24.4;2.3;16.7;9.5;40.9;2.6;0.6;12.5;24.5;G;paulch01
13;Kyle Lowry;10.2;2017-18;31;TOR;78;78;1;10.2;120;107;7;3.1;0.194;4.7;0.5;5.2;4.5;19.5;3;16.1;9.7;30.9;1.7;0.6;14.7;21.7;G;lowryky01
14;Russell Westbrook;10.1;2017-18;29;OKC;80;80;1;10.1;109;104;5.5;4.5;0.166;4.8;1.5;6.3;6.1;24.7;5.6;25.7;15.3;49.8;2.5;0.6;16.4;34.1;G;westbru01
15;Steven Adams;9.7;2017-18;24;OKC;76;76;0;9.7;125;107;6.7;3;0.187;1.7;-0.6;1.1;2;20.6;16.6;13.9;15.3;5.5;1.8;2.8;13.3;16.7;C;adamsst01
16;DeMar DeRozan;9.6;2017-18;28;TOR;80;80;1;9.6;114;109;6.8;2.8;0.17;3.3;-0.6;2.8;3.2;21;2.5;10.4;6.5;25;1.5;0.6;9.5;29.6;G-F;derozde01
17;DeAndre Jordan;9.4;2017-18;29;LAC;77;77;0;9.4;125;105;6;3.4;0.186;1.7;-0.3;1.4;2.1;20.2;15.1;37.6;26.5;7.1;0.8;2.4;16.1;15.2;C;jordade01
18;Ben Simmons;9.2;2017-18;21;PHI;81;81;0;9.2;111;102;4.2;5;0.162;2;2.5;4.5;4.5;20;5.9;19.5;13;37.4;2.5;2.1;19.5;22.3;G-F;simmobe01
19;Stephen Curry;9.1;2017-18;29;GSW;51;51;1;9.1;125;108;7.2;1.8;0.267;7.8;0;7.7;4;28.2;2.7;14.4;9;30.3;2.4;0.4;13.3;31;G;curryst01
20;Jimmy Butler;8.9;2017-18;28;MIN;59;59;1;8.9;122;110;7.1;1.8;0.198;5;0.7;5.8;4.2;23.7;4.2;12.7;8.4;20.6;2.7;1;8.9;24.9;F-G;butleji01
21;Kyrie Irving;8.9;2017-18;25;BOS;60;60;1;8.9;118;106;6.3;2.7;0.222;6.4;0.9;7.3;4.5;25;1.9;10.8;6.4;30.7;1.7;0.7;10.4;31;G;irvinky01
22;Paul George;8.9;2017-18;27;OKC;79;79;1;8.9;112;106;5;3.9;0.147;2.3;0.6;2.9;3.6;18.7;2.7;14.9;8.6;14.5;2.8;1.2;12.2;25.7;F-G;georgpa01
23;Kemba Walker;8.6;2017-18;27;CHO;80;80;1;8.6;115;111;6.5;2;0.15;4.7;-0.7;4;4.2;20.6;1.2;8.7;4.9;27.4;1.6;0.7;10.4;27.4;G;walkeke02
24;Victor Oladipo;8.2;2017-18;25;IND;75;75;1;8.2;110;104;4.3;4;0.155;4.1;1.7;5.8;5;23.1;2.1;15.1;8.6;21.2;3.5;2;12.7;30.1;G;oladivi01
25;Otto Porter Jr.;8.1;2017-18;24;WAS;77;77;0;8.1;120;107;5;3.1;0.161;2.6;1;3.5;3.4;18.3;4.8;18.1;11.4;10.1;2.4;1.5;7.4;18.4;F;porteot01
26;Rudy Gobert;8.1;2017-18;25;UTA;56;56;0;8.1;122;99;4.2;3.9;0.214;0.9;2.5;3.4;2.5;20.7;10.4;27;18.8;6.9;1.2;6;15.7;16.9;C;goberru01
27;Derrick Favors;8;2017-18;26;UTA;77;77;0;8;119;104;4.5;3.5;0.179;0.9;0.7;1.5;1.9;18.8;10.6;18.5;14.6;7.8;1.3;3.2;9.9;18.5;F-C;favorde01
28;Al Horford;7.8;2017-18;31;BOS;72;72;1;7.8;115;103;4;3.8;0.165;2.4;2;4.4;3.7;17.6;5;20.2;12.7;23.6;0.9;2.9;14.1;18.4;C-F;horfoal01
29;Darren Collison;7.6;2017-18;30;IND;69;64;0;7.6;126;110;5.8;1.8;0.181;2.4;0.3;2.7;2.4;18.8;2.1;7.8;5;26.4;2.3;0.7;10.9;17.4;G;collida01
30;Joe Ingles;7.6;2017-18;30;UTA;82;81;0;7.6;115;106;4;3.6;0.141;1;1.3;2.3;2.8;14.4;1.1;13.9;7.6;22.9;1.8;0.7;17.4;15.9;F-G;inglejo01
31;Jonas Valančiūnas;7.6;2017-18;25;TOR;77;77;0;7.6;120;103;4.6;3;0.21;2.4;0;2.4;1.9;22.5;12.1;30.3;21.4;7.5;0.8;3.2;12.9;22.7;C;valanjo01
32;Enes Freedom;7.5;2017-18;25;NYK;71;71;0;7.5;122;108;5.5;2.1;0.198;3.3;-1.1;2.2;1.9;24;16.6;30.6;23.6;9.4;1;1.7;13.3;21.8;C;kanteen01
33;Taj Gibson;7.2;2017-18;32;MIN;82;82;0;7.2;123;112;5.4;1.7;0.126;0.1;-0.7;-0.5;1;15.4;8.1;16.7;12.4;5.2;1.1;1.9;9.8;14.7;F-C;gibsota01
34;Jrue Holiday;7.1;2017-18;27;NOP;81;81;0;7.1;110;109;4.2;2.9;0.116;1.3;0.3;1.6;2.7;17.8;2.4;10.8;6.8;24.9;2;1.7;13.6;23.1;G;holidjr01
35;Jayson Tatum;7.1;2017-18;19;BOS;80;80;0;7.1;111;103;3;4;0.139;0;1.2;1.2;2;15.2;2.3;15.6;9;8.3;1.7;2;10.7;19.4;F;tatumja01
36;Bradley Beal;6.9;2017-18;24;WAS;82;82;1;6.9;109;110;4.4;2.5;0.111;2.9;-0.7;2.2;3.1;18.4;2.3;11.5;6.9;21;1.6;1.1;11.5;27.6;G;bealbr01
37;Khris Middleton;6.9;2017-18;26;MIL;82;82;0;6.9;111;111;4.6;2.3;0.111;0.8;-0.8;0;1.5;17.4;1.8;15;8.4;17.7;2;0.6;11.8;24.6;F-G;middlkh01
38;Dwight Howard;6.8;2017-18;32;CHO;81;81;0;6.8;108;104;2.9;3.9;0.132;-0.3;0.1;-0.1;1.2;20.5;11;33.8;22.2;7.1;1;4.4;15.1;24.2;C;howardw01
39;Lou Williams;6.7;2017-18;31;LAC;79;19;0;6.7;112;113;5.5;1.2;0.125;4.2;-1.8;2.3;2.8;20.2;1.7;6.6;4.2;26.3;1.6;0.6;13.1;29.8;G;willilo02
40;Tobias Harris;6.7;2017-18;25;DETLAC;80;80;0;6.7;112;110;4.2;2.5;0.12;2.3;-0.4;1.9;2.6;17.1;2.4;15.7;9;11.8;1.3;1.1;7.4;23.3;F;harrito02
41;Dwight Powell;6.6;2017-18;26;DAL;79;24;0;6.6;129;107;4.6;2.1;0.191;0.6;1;1.6;1.5;18.8;8.7;21.3;14.7;8.5;2;1.7;10.3;15.5;F-C;poweldw01
42;JJ Redick;6.6;2017-18;33;PHI;70;70;0;6.6;119;110;4.8;1.8;0.15;2.2;-1.1;1.1;1.7;15.9;0.5;8.3;4.5;15.1;0.8;0.2;9.6;21.7;G;redicjj01
43;Julius Randle;6.6;2017-18;23;LAL;82;49;0;6.6;112;107;4;2.6;0.145;0.6;0;0.6;1.4;19.9;8.9;22.8;15.9;15.8;0.9;1.7;16.3;25.3;F-C;randlju01
44;Dario Šarić;6.6;2017-18;23;PHI;78;73;0;6.6;113;107;3.8;2.8;0.137;1.8;-0.5;1.3;1.9;15.8;7.5;16.4;12.1;13;1.1;0.7;13.1;20.9;F-C;saricda01
45;CJ McCollum;6.6;2017-18;26;POR;81;81;0;6.6;108;109;3.7;2.9;0.108;1.8;-0.5;1.2;2.4;16.9;2;9.9;6;15.8;1.3;1;8.6;26.5;G;mccolcj01
46;Kevin Love;6.4;2017-18;29;CLE;59;59;1;6.4;120;109;4.7;1.6;0.185;4.5;-1.3;3.3;2.2;22.4;7;29.8;18.6;9.8;1.3;1.2;9.6;25.1;F-C;loveke01
47;Kyle Anderson;6.2;2017-18;24;SAS;74;67;0;6.2;114;101;2.4;3.8;0.151;-0.4;3.3;2.9;2.4;15.9;4.7;17.6;11.1;14.7;2.9;2.5;15.8;13.5;F-G;anderky01
48;Will Barton;6.2;2017-18;27;DEN;81;40;0;6.2;113;112;4.4;1.8;0.111;1.6;-0.4;1.1;2.1;16.2;3;14.2;8.6;18.5;1.5;1.6;11.7;20.7;G;bartowi01
49;Joel Embiid;6.2;2017-18;23;PHI;63;63;1;6.2;106;100;2.3;3.8;0.155;2;1.3;3.3;2.6;22.9;8.4;29.7;19.4;18;1;4.8;15.6;33.4;C;embiijo01
50;Robert Covington;6.1;2017-18;27;PHI;80;80;0;6.1;107;103;1.6;4.5;0.116;-0.2;1.7;1.5;2.3;12.9;2.4;15.5;9.2;8.7;2.6;2.4;12.3;17.2;F-C;covinro01
51;Draymond Green;6.1;2017-18;27;GSW;70;70;1;6.1;110;105;2.6;3.4;0.127;0.9;1.9;2.8;2.8;16.1;3.9;21.1;13.1;29;2;3.1;22.5;17.2;F;greendr01
52;Pau Gasol;6;2017-18;37;SAS;77;63;0;6;112;102;2.7;3.3;0.159;1.5;1.9;3.4;2.5;18.9;7.8;30.2;19;20.1;0.7;3.6;13.1;20.4;C-F;gasolpa01
53;Larry Nance Jr.;5.8;2017-18;25;CLELAL;66;26;0;5.8;125;104;3.5;2.3;0.196;0.9;1.5;2.4;1.6;20.2;12.4;22;17.3;8.6;3;2.2;9.7;15.9;F-C;nancela02
54;Spencer Dinwiddie;5.7;2017-18;24;BRK;80;58;0;5.7;114;112;4.3;1.4;0.118;1.3;-0.7;0.6;1.5;15.9;1.8;10.2;6;35;1.4;0.7;11.8;20.3;G;dinwisp01
55;Eric Bledsoe;5.6;2017-18;28;MILPHO;74;74;0;5.6;109;108;3.1;2.5;0.116;2.3;0.3;2.5;2.6;19.7;2.6;11.7;7.1;25.7;3.2;1.5;16.1;26.1;G;bledser01
