Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
1;Kevin Garnett;16.1;2004-05;28;MIN;82;82;1;16.1;117;99;10.1;6;0.248;6.5;3;9.5;9.1;28.2;9.5;30.2;20.3;27.1;2.1;2.6;12.2;27.1;F-C;garneke01
2;Dirk Nowitzki;15.6;2004-05;26;DAL;78;78;1;15.6;118;100;10.3;5.2;0.248;5.8;1.5;7.3;7.1;26.1;3.6;24;14;14.3;1.7;2.9;9.1;28.7;F-C;nowitdi01
3;Amar'e Stoudemire;14.6;2004-05;22;PHO;80;80;1;14.6;121;105;11.3;3.3;0.243;4.1;0.3;4.4;4.7;26.6;8.5;17.4;13.2;7.7;1.3;3;10.1;28.3;F-C;stoudam01
4;LeBron James;14.3;2004-05;20;CLE;80;80;1;14.3;114;103;9.7;4.6;0.203;7;1.7;8.6;9.1;25.7;3.8;17;10.2;32.9;2.8;1.1;11.8;29.7;F-G;jamesle01
5;Shawn Marion;12.5;2004-05;26;PHO;81;81;1;12.5;116;101;7.3;5.2;0.191;3.1;1.3;4.4;5.1;21.7;8.4;22;15.5;7.5;2.6;2.5;8.1;21.3;F;mariosh01
6;Chauncey Billups;12.1;2004-05;28;DET;80;80;0;12.1;121;105;8.6;3.5;0.202;3.6;0.6;4.2;4.5;19;2;9;5.5;28.2;1.6;0.2;14.3;20.7;G;billuch01
7;Tracy McGrady;12;2004-05;25;HOU;78;78;1;12;109;101;6.5;5.4;0.18;5.2;1.5;6.7;6.9;22.9;2.7;14.8;8.9;28.6;2.3;1.3;9.5;31.2;G-F;mcgratr01
8;Stephon Marbury;11.7;2004-05;27;NYK;82;82;0;11.7;118;111;10.4;1.3;0.171;4.9;-0.7;4.2;5.1;21.9;1.8;7.1;4.4;36;2;0.1;13.1;24.8;G;marbust01
9;Gilbert Arenas;11.5;2004-05;23;WAS;80;80;1;11.5;115;109;9.2;2.3;0.169;4.7;-0.4;4.2;5.2;21.3;2.8;10.5;6.5;22.9;2.2;0.5;11.8;27.3;G;arenagi01
10;Paul Pierce;11.2;2004-05;27;BOS;82;82;1;11.2;114;105;7.7;3.6;0.182;4;0.7;4.6;4.9;21.8;3.1;17.8;10.6;20.3;2.3;1;13.2;26.6;F-G;piercpa01
11;Tim Duncan;11.2;2004-05;28;SAS;66;66;1;11.2;112;93;5.5;5.7;0.245;4.8;2.8;7.6;5.4;27;10.7;28.2;19.4;16.1;1.1;5.7;9.3;28.9;F-C;duncati01
12;Dwyane Wade;11;2004-05;23;MIA;77;77;1;11;109;103;6.7;4.3;0.177;3.9;0.7;4.6;4.9;23.1;4.5;10.8;7.8;31;2.2;2;16.3;30.9;G;wadedw01
13;Manu Ginóbili;11;2004-05;27;SAS;74;74;1;11;117;98;6.4;4.6;0.24;4.1;2.8;6.9;4.9;22.3;4;13.6;8.8;23;2.9;0.9;15;24.3;G;ginobma01
14;Shaquille O'Neal;11;2004-05;32;MIA;73;73;1;11;111;100;6.4;4.6;0.211;4.1;1.2;5.3;4.6;27;12.4;22.8;17.8;15.7;0.8;5;12.4;30.5;C;onealsh01
15;Steve Nash;10.9;2004-05;30;PHO;75;75;1;10.9;123;111;9.7;1.2;0.203;5.5;-0.8;4.7;4.4;22;2.5;7.6;5.2;49.2;1.4;0.2;20.3;20.5;G;nashst01
16;Ray Allen;10.7;2004-05;29;SEA;78;78;1;10.7;117;112;9.7;1;0.168;5.3;-1.2;4.1;4.8;20.9;3.2;10.7;6.9;18.1;1.5;0.1;9.2;28;G;allenra02
17;Yao Ming;10.7;2004-05;24;HOU;80;80;1;10.7;113;99;6;4.7;0.21;1.5;1;2.4;2.8;23.2;10.2;21.4;15.9;5;0.8;5.1;14.1;26.8;C;mingya01
