Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
1;Stephen Curry;17.9;2015-16;27;GSW;79;79;1;17.9;125;103;13.8;4.1;0.318;10.3;1.6;11.9;9.5;31.5;2.9;13.6;8.6;33.7;3;0.4;12.9;32.6;G;curryst01
2;Kevin Durant;14.5;2015-16;27;OKC;72;72;1;14.5;122;104;11;3.5;0.27;8.4;1.6;9.9;7.8;28.2;2;21.8;12.4;24.2;1.3;2.5;13.5;30.6;F-G;duranke01
3;Russell Westbrook;14;2015-16;27;OKC;80;80;1;14;115;103;10;4;0.245;6.4;1.4;7.8;6.8;27.6;6.1;18.1;12.4;49.6;2.9;0.6;16.8;31.6;G;westbru01
4;Kawhi Leonard;13.7;2015-16;24;SAS;72;72;1;13.7;121;96;8.3;5.5;0.277;6.1;3;9.1;6.7;26;4.7;18.4;11.8;13;2.8;2.3;7.8;25.8;F;leonaka01
5;LeBron James;13.6;2015-16;31;CLE;76;76;1;13.6;116;103;9.6;4;0.242;7;2;9;7.5;27.5;4.7;18.8;11.8;36;2;1.5;13.2;31.4;F-G;jamesle01
6;James Harden;13.3;2015-16;26;HOU;82;82;1;13.3;115;108;10.7;2.6;0.204;6.4;0.2;6.6;6.8;25.3;2.2;15.6;8.8;35.4;2.2;1.4;15.9;32.5;G;hardeja01
7;Chris Paul;12.7;2015-16;30;LAC;74;74;1;12.7;119;103;9.2;3.5;0.253;5.9;2;7.9;6;26.2;1.8;12;7;52.7;3.1;0.4;13.4;27.1;G;paulch01
8;Kyle Lowry;11.6;2015-16;29;TOR;77;77;1;11.6;115;104;8;3.7;0.196;4.7;1.1;5.8;5.7;22.2;2.2;12.3;7.3;29.9;2.9;1;13.7;26.1;G;lowryky01
9;DeAndre Jordan;11.5;2015-16;27;LAC;77;77;0;11.5;122;98;6;5.5;0.213;1.5;1.3;2.8;3.2;20.6;11.4;32.7;22.2;5.3;1;5.4;12.1;15.4;C;jordade01
10;Draymond Green;11.1;2015-16;25;GSW;81;81;1;11.1;115;100;6;5.1;0.19;2.6;2.9;5.5;5.3;19.3;5.5;23;14.7;29;2;3;21.2;18.8;F;greendr01
11;Hassan Whiteside;10.3;2015-16;26;MIA;73;43;0;10.3;117;95;5;5.3;0.233;1.7;2.4;4.1;3.3;25.6;13.1;32.4;23.1;2.4;1.1;9.7;14.2;20.7;C;whiteha01
12;LaMarcus Aldridge;10.1;2015-16;30;SAS;74;74;1;10.1;114;99;5.6;4.5;0.215;2;0.3;2.3;2.5;22.4;9.2;22.2;15.9;8.1;0.9;2.8;7.8;25.9;F-C;aldrila01
13;Paul Millsap;10.1;2015-16;30;ATL;81;81;1;10.1;108;96;4.1;6;0.183;1.5;2.7;4.2;4.1;21.3;8.4;21.5;15.1;16.4;2.7;4.1;13.3;24.3;F;millspa01
14;Kemba Walker;9.9;2015-16;25;CHO;81;81;0;9.9;112;105;6.3;3.6;0.164;3.5;0.5;4;4.3;20.8;2.1;11.5;6.8;25.7;2.2;1.1;10.1;26.5;G;walkeke02
15;DeMar DeRozan;9.9;2015-16;26;TOR;78;78;1;9.9;113;108;7.5;2.4;0.169;3.2;-0.7;2.5;3.2;21.5;2.7;11.5;7.1;20.8;1.5;0.6;9.5;29.8;G-F;derozde01
16;Isaiah Thomas;9.7;2015-16;26;BOS;82;79;1;9.7;113;107;7.2;2.5;0.177;4.9;-0.6;4.3;4.2;21.5;1.8;8;4.9;32.7;1.7;0.3;11.9;29.6;G;thomais02
17;Al Horford;9.4;2015-16;29;ATL;82;82;1;9.4;113;101;4.9;4.5;0.172;2.2;1.6;3.8;3.9;19.4;6.3;18.2;12.4;16.7;1.3;3.6;8.8;20.6;C-F;horfoal01
18;Paul George;9.2;2015-16;25;IND;81;81;1;9.2;106;101;4.4;4.8;0.157;3.7;1.2;4.9;4.9;20.9;3.1;18.7;10.9;20.3;2.7;0.8;13.6;30.4;F-G;georgpa01
19;Damian Lillard;9.2;2015-16;25;POR;75;75;0;9.2;113;110;7.7;1.4;0.165;5.7;-1.3;4.4;4.3;22.2;1.8;10.4;6.1;33.6;1.2;0.8;12.6;31.3;G;lillada01
20;Jimmy Butler;9.1;2015-16;26;CHI;67;67;1;9.1;116;106;6.5;2.7;0.177;3.2;1.2;4.4;3.9;21.3;3.4;11.6;7.6;21.4;2.2;1.3;9.6;24.4;F-G;butleji01
21;Gordon Hayward;8.9;2015-16;25;UTA;80;80;0;8.9;110;105;5.5;3.4;0.147;2.4;0.2;2.6;3.3;18.3;2.5;13.5;8;18.2;1.7;0.8;12.5;25.7;F-G;haywago01
22;Tristan Thompson;8.7;2015-16;24;CLE;82;34;0;8.7;130;104;5.6;3.1;0.185;0.5;-0.3;0.2;1.2;15.9;13.5;23.3;18.4;4;0.9;1.8;10.4;11.7;F-C;thomptr01
23;Kevin Love;8.5;2015-16;27;CLE;77;77;0;8.5;112;102;4.7;3.8;0.169;3;0.3;3.3;3.3;19;7;28.4;17.8;12.2;1.2;1.4;11.3;23.4;F-C;loveke01
24;Karl-Anthony Towns;8.3;2015-16;20;MIN;82;82;0;8.3;112;106;5.5;2.8;0.151;2.5;-0.4;2.2;2.7;22.5;10.3;27.5;19;11.3;1.1;4.3;12.6;24.9;C-F;townska01
25;Enes Freedom;8.1;2015-16;23;OKC;82;1;0;8.1;123;105;6;2.1;0.226;3.3;-2.1;1.2;1.4;24;16.7;24.9;21;3.1;0.7;1.5;12.2;23.4;C;kanteen01
26;Klay Thompson;8;2015-16;25;GSW;80;80;1;8;112;107;5.5;2.6;0.144;3.4;-1.6;1.8;2.5;18.6;1.5;10.3;6.2;9.8;1.1;1.4;8.5;26.3;G-F;thompkl01
27;Marvin Williams;7.8;2015-16;29;CHO;81;81;0;7.8;118;104;4.7;3.2;0.161;2.1;0.5;2.7;2.7;16.9;5.9;18.6;12.2;7.6;1.2;2.7;7.1;16.8;F;willima02
28;Greg Monroe;7.5;2015-16;25;MIL;79;67;0;7.5;113;106;5;2.4;0.155;2.7;-0.6;2.1;2.4;21.8;10.9;23.4;17.2;13.2;1.6;2.5;10.7;23.5;C-F;monrogr01
29;Andre Drummond;7.4;2015-16;22;DET;81;81;1;7.4;103;98;2;5.5;0.133;0.8;0.3;1.1;2;21.2;15.6;34.2;24.5;4.4;2.3;3.2;10.5;24.1;C;drumman01
