;;;;;;;;;;;;;;Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
;;;;;;;;;;;;;;26;Dejounte Murray;7.3;2021-22;25;SAS;68;68;1;7.3;113;108;3.9;3.4;0.149;3.7;1.7;5.4;4.4;22.3;3.5;21.6;12.5;40.6;2.8;0.8;11.8;27.3;G;murrade01
;;;;;;;;;;;;;;27;Tyrese Maxey;7.3;2021-22;21;PHI;75;74;0;7.3;121;115;5.4;1.9;0.132;1.3;-0.7;0.6;1.8;16.2;1.1;8.9;5.1;19.1;1;1.1;7.4;20.2;G;maxeyty01
;;;;;;;;;;;;;;28;Jonas Valančiūnas;7.3;2021-22;29;NOP;74;74;0;7.3;118;111;4.6;2.7;0.156;2;-0.1;1.9;2.2;21.2;10.9;31.2;20.8;14;0.9;2.6;14.4;23.8;C;valanjo01
;;;;;;;;;;;;;;29;Montrezl Harrell;7.3;2021-22;28;CHOWAS;71;3;0;7.3;134;114;6.1;1.2;0.213;3.7;0.1;3.9;2.4;23.2;10;18.7;14.4;13.9;0.9;2.3;9.5;20.2;F-C;harremo01
;;;;;;;;;;;;;;30;Deandre Ayton;7.3;2021-22;23;PHO;58;58;0;7.3;124;105;4.1;3.1;0.203;2.2;0.6;2.8;2.1;21.9;9.6;27.1;18.6;7.6;1.1;2.1;10.7;21.4;C;aytonde01
;;;;;;;;;;;;;;31;Miles Bridges;7.2;2021-22;23;CHO;80;80;0;7.2;117;114;5;2.3;0.123;1.8;-0.3;1.5;2.5;17.9;3.3;17.8;10.4;15.7;1.3;2.2;9.9;22.6;G-F;bridgmi02
;;;;;;;;;;;;;;32;Ivica Zubac;7.2;2021-22;24;LAC;76;76;0;7.2;126;107;4.3;2.9;0.187;-0.1;0.8;0.7;1.3;19.2;12.8;23.7;18.4;9.8;1;3.5;16.1;16.8;C;zubaciv01
;;;;;;;;;;;;;;33;Desmond Bane;7.2;2021-22;23;MEM;76;76;0;7.2;119;110;4.5;2.7;0.153;2.5;0.3;2.7;2.7;17.6;2.1;13.6;7.7;13.5;1.9;1.1;8.7;23.1;G;banede01
;;;;;;;;;;;;;;34;Donovan Mitchell;7.2;2021-22;25;UTA;67;67;1;7.2;114;111;4.7;2.5;0.152;4.6;-0.3;4.3;3.6;21.6;2.7;10.6;6.8;27.7;2.2;0.5;11.7;32.9;G;mitchdo01
;;;;;;;;;;;;;;35;Bam Adebayo;7.2;2021-22;24;MIA;56;56;0;7.2;117;104;3.6;3.5;0.188;1.7;2.1;3.8;2.7;21.8;8.7;26.1;17.5;17.5;2.2;2.6;14.4;25;C-F;adebaba01
