;;;;;;;;;;;;;;Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
;;;;;;;;;;;;;;108;Seth Curry;4.2;2021-22;31;BRKPHI;64;64;0;4.2;115;115;2.7;1.5;0.095;0.3;-0.9;-0.6;0.8;13.7;1.1;9.1;5.2;16.3;1.2;0.6;12.3;18.5;G;curryse01
;;;;;;;;;;;;;;109;Onyeka Okongwu;4.2;2021-22;21;ATL;48;6;0;4.2;138;111;3.1;1.1;0.202;0;0.8;0.8;0.7;19.8;12.8;18.4;15.6;7.6;1.5;5.4;13.8;14;F;okongon01
;;;;;;;;;;;;;;110;John Konchar;4.2;2021-22;25;MEM;72;7;0;4.2;133;109;2.4;1.8;0.155;0.2;1.3;1.5;1.2;14;6.9;20.1;13.3;10.6;1.7;1.5;9.3;9.9;G;konchjo01
;;;;;;;;;;;;;;111;Grayson Allen;4.2;2021-22;26;MIL;66;61;0;4.2;122;114;2.8;1.4;0.11;0.6;-0.2;0.4;1.1;12.7;1.9;10.9;6.5;7.6;1.2;1;6.7;15.2;G;allengr01
;;;;;;;;;;;;;;112;Patrick Beverley;4.1;2021-22;33;MIN;58;54;0;4.1;119;111;2.3;1.7;0.132;0.6;2.1;2.7;1.7;14.8;4.4;13.2;8.7;24.5;2.2;3.4;12.9;16.1;G;beverpa01
;;;;;;;;;;;;;;113;Spencer Dinwiddie;4.1;2021-22;28;DALWAS;67;51;0;4.1;114;115;2.7;1.4;0.098;0.8;-0.4;0.3;1.1;15.1;2.6;13;7.8;25.7;1.1;0.6;10.9;21.4;G;dinwisp01
;;;;;;;;;;;;;;114;Franz Wagner;4;2021-22;20;ORL;79;79;0;4;110;114;2.1;1.9;0.079;-0.4;-0.3;-0.7;0.8;14.7;3.6;11.9;7.7;15.7;1.4;1.3;10;21.2;G-F;wagnefr01
;;;;;;;;;;;;;;115;Saddiq Bey;4;2021-22;22;DET;82;82;0;4;110;116;2.4;1.6;0.071;0.9;-1.2;-0.3;1.2;14;4.1;14.1;8.8;13.8;1.3;0.5;7.1;21.3;F;beysa01
;;;;;;;;;;;;;;116;Caleb Martin;4;2021-22;26;MIA;60;12;0;4;119;108;1.9;2.1;0.139;0.1;0.9;1.1;1.1;14.8;5.9;13;9.5;7;2.1;2.3;10.3;16.3;F;martica02
;;;;;;;;;;;;;;117;Duncan Robinson;3.9;2021-22;27;MIA;79;68;0;3.9;113;112;1.9;2;0.092;-0.3;-0.3;-0.6;0.7;10.6;1.4;9.8;5.6;9.3;1;0.7;7.4;17.7;G-F;robindu01
;;;;;;;;;;;;;;118;Obi Toppin;3.9;2021-22;23;NYK;72;10;0;3.9;120;111;2.5;1.5;0.153;1.7;0.3;2;1.2;18.3;5.9;17.7;11.7;10.9;1;2.6;9.6;20.8;F;toppiob01
;;;;;;;;;;;;;;119;Cody Martin;3.9;2021-22;26;CHO;71;11;0;3.9;120;114;2.4;1.5;0.101;-1.2;0.7;-0.5;0.7;12.7;4.6;11.7;8.1;12.4;2.3;1.6;11.5;12.1;G-F;martico01
;;;;;;;;;;;;;;120;Jeff Green;3.9;2021-22;35;DEN;75;63;0;3.9;119;115;2.7;1.2;0.101;-1.2;-1.3;-2.5;-0.2;12.5;2.6;11.1;7;7.3;0.7;1.3;10.3;16.3;F;greenje02
;;;;;;;;;;;;;;121;Brandon Ingram;3.9;2021-22;24;NOP;55;55;0;3.9;111;115;2.5;1.3;0.099;2.6;-0.6;2;1.9;18.7;2;17.3;9.5;27.8;0.9;1.3;11.8;29.3;F;ingrabr01
;;;;;;;;;;;;;;122;Amir Coffey;3.8;2021-22;24;LAC;69;30;0;3.8;120;113;2.3;1.5;0.116;-0.3;0;-0.3;0.7;13;1.8;11.2;6.7;11.4;1.2;0.8;8;15.8;G;coffeam01
;;;;;;;;;;;;;;123;Tyler Herro;3.8;2021-22;22;MIA;66;10;0;3.8;107;111;1.3;2.4;0.084;1.6;-0.9;0.7;1.5;16.2;1.7;15.4;8.7;20.9;1;0.4;12.5;28.8;G;herroty01
;;;;;;;;;;;;;;124;Matisse Thybulle;3.7;2021-22;24;PHI;66;50;0;3.7;116;108;1.2;2.5;0.107;-2.2;3.3;1.1;1.3;11.2;2.8;7.1;5;6.1;3.4;3.8;10.9;9.5;G;thybuma01
;;;;;;;;;;;;;;125;OG Anunoby;3.7;2021-22;24;TOR;48;48;0;3.7;112;111;1.8;1.9;0.104;0.4;0.1;0.5;1.1;14.8;4.4;12.6;8.3;11;2.1;1.4;9.7;20.5;F;anunoog01
;;;;;;;;;;;;;;126;Nicolas Batum;3.7;2021-22;33;LAC;59;54;0;3.7;118;109;1.6;2.1;0.123;0.5;1.9;2.3;1.6;13.5;2.2;15.8;9.2;9.7;1.9;2.4;9;13.3;F-G;batumni01
;;;;;;;;;;;;;;127;De'Anthony Melton;3.7;2021-22;23;MEM;73;15;0;3.7;108;107;0.9;2.8;0.107;0.3;1.6;1.9;1.6;15.2;4;17.1;10.4;16;3;2.1;13;21.3;G;meltode01
;;;;;;;;;;;;;;128;Evan Fournier;3.7;2021-22;29;NYK;80;80;0;3.7;109;113;1.5;2.2;0.075;-0.4;-0.3;-0.7;0.7;12.3;1.5;8.2;4.8;11.9;1.7;0.8;9.4;20.8;G-F;fournev01
;;;;;;;;;;;;;;129;Bogdan Bogdanović;3.7;2021-22;29;ATL;63;27;0;3.7;114;116;2.5;1.2;0.095;1.5;-0.2;1.3;1.5;15.4;1.7;13;7.4;15.5;1.8;0.7;7.7;21.6;G;bogdabo01
;;;;;;;;;;;;;;130;Delon Wright;3.6;2021-22;29;ATL;77;8;0;3.6;126;112;2.2;1.5;0.121;-0.2;2.4;2.2;1.6;13.8;3.8;12.7;8.3;16.6;3.1;1.2;13.2;10.3;G;wrighde01
;;;;;;;;;;;;;;131;Danilo Gallinari;3.6;2021-22;33;ATL;66;18;0;3.6;120;117;2.8;0.8;0.105;1;-1.2;-0.2;0.8;14.3;2.3;17.8;10.1;8.5;0.8;0.6;5.4;18.4;F;gallida01
;;;;;;;;;;;;;;132;Max Strus;3.6;2021-22;25;MIA;68;16;0;3.6;116;112;2;1.7;0.11;1.4;-0.4;0.9;1.2;12.7;1.7;12.5;7.2;8.8;0.9;1.1;8.8;18.1;G;strusma01
;;;;;;;;;;;;;;133;Draymond Green;3.6;2021-22;31;GSW;46;44;1;3.6;109;103;0.8;2.8;0.131;-1.4;4.6;3.2;1.8;14.3;3.8;23.2;13.8;32.5;2.2;3.6;31.9;14.3;F;greendr01
;;;;;;;;;;;;;;134;Malik Monk;3.6;2021-22;23;LAL;76;37;0;3.6;112;115;2.3;1.4;0.081;0.5;-1;-0.5;0.8;14.4;1.9;11;6.4;15.2;1.4;1.2;12.2;20.1;G;monkma01
;;;;;;;;;;;;;;135;Jusuf Nurkić;3.6;2021-22;27;POR;56;56;0;3.6;112;112;2;1.7;0.11;0.1;0.2;0.3;0.9;20;11.2;32.6;21.5;16.6;1.9;2.1;16.6;23.6;C;nurkiju01
;;;;;;;;;;;;;;136;Carmelo Anthony;3.6;2021-22;37;LAL;69;3;0;3.6;114;114;2.2;1.4;0.097;0.4;-0.8;-0.5;0.7;14.8;3.7;13.5;8.6;5.6;1.3;2.6;6.9;20.4;F;anthoca01
;;;;;;;;;;;;;;137;CJ McCollum;3.6;2021-22;30;NOPPOR;62;62;0;3.6;111;117;2.6;1;0.081;3.2;-1.3;1.9;2.1;18.3;2.6;11.5;6.9;26.1;1.6;1;9.3;27.5;G;mccolcj01
;;;;;;;;;;;;;;138;Trey Lyles;3.5;2021-22;26;DETSAC;75;23;0;3.5;116;114;2.4;1.2;0.111;0.5;-0.8;-0.3;0.7;16.4;6;21.2;13.4;9;0.9;1.9;9.8;20.7;F;lylestr01
;;;;;;;;;;;;;;139;Josh Richardson;3.5;2021-22;28;BOSSAS;65;7;0;3.5;113;110;1.6;2;0.106;-0.6;0.7;0.1;0.9;12.8;2.8;9.4;6.2;10.1;1.7;1.6;10.2;17.6;G;richajo01
;;;;;;;;;;;;;;140;Jordan Clarkson;3.5;2021-22;29;UTA;79;1;0;3.5;108;113;1.5;2;0.079;0.5;-1.2;-0.6;0.7;14.9;3.5;10.2;7;14.5;1.5;0.7;9.8;26.8;G;clarkjo01
;;;;;;;;;;;;;;141;Dwight Howard;3.5;2021-22;36;LAL;60;27;0;3.5;128;109;2.2;1.3;0.174;-0.2;0;-0.2;0.4;18.2;13.1;26.3;19.7;5;1.7;3.3;14.2;14.6;C;howardw01
;;;;;;;;;;;;;;142;Dewayne Dedmon;3.5;2021-22;32;MIA;67;15;0;3.5;117;105;1.5;2;0.157;-2.2;1.1;-1;0.3;15.9;11.4;29.4;20.6;6.7;1.1;4.2;17.3;16.9;C;dedmode01
;;;;;;;;;;;;;;143;Kyle Anderson;3.5;2021-22;28;MEM;69;11;0;3.5;110;106;1;2.5;0.113;-0.9;2.1;1.2;1.2;14.4;4.8;21.6;13;16.2;2.5;2.7;12.1;16.2;F-G;anderky01
;;;;;;;;;;;;;;144;Nic Claxton;3.5;2021-22;22;BRK;47;19;0;3.5;130;111;2.3;1.2;0.171;0.3;0.2;0.5;0.6;18.6;10.4;18.9;14.8;6.4;1.2;4.7;11.1;15.1;C;claxtni01
;;;;;;;;;;;;;;145;Isaiah Stewart;3.4;2021-22;20;DET;71;71;0;3.4;113;112;1.6;1.8;0.091;-2.5;-0.8;-3.3;-0.6;14;12.8;24.5;18.4;6.9;0.6;3.9;13.7;14.6;F-C;stewais01
;;;;;;;;;;;;;;146;Drew Eubanks;3.4;2021-22;24;PORSAS;71;31;0;3.4;120;113;2.2;1.1;0.13;-0.5;-0.9;-1.4;0.2;18;11;22.2;16.5;10.1;1.2;2.8;15.9;17.5;F;eubandr01
;;;;;;;;;;;;;;147;P.J. Washington;3.4;2021-22;23;CHO;65;28;0;3.4;114;113;1.8;1.6;0.091;-0.2;0.2;-0.1;0.9;13.6;4.8;15.5;10.1;11.2;1.5;3.3;12.6;15.6;F;washipj01
;;;;;;;;;;;;;;148;Kyrie Irving;3.3;2021-22;29;BRK;29;29;0;3.3;117;114;2.4;0.9;0.147;4.2;-1.2;3;1.4;21.4;1.6;10.8;6.3;25.2;1.8;1.4;9.8;29.4;G;irvinky01
;;;;;;;;;;;;;;149;Damian Jones;3.3;2021-22;26;SAC;56;15;0;3.3;128;113;2.4;0.9;0.156;-0.2;0.5;0.3;0.6;18.3;7.9;18.5;13.2;10.2;1.2;4;15.4;16.2;F-C;jonesda03
;;;;;;;;;;;;;;150;Devin Vassell;3.3;2021-22;21;SAS;71;32;0;3.3;109;112;1.3;2;0.082;-0.5;0;-0.5;0.7;13.3;2.4;14.3;8.3;9.7;1.9;1.8;6.7;18.9;G-F;vassede01
;;;;;;;;;;;;;;151;Kelly Oubre Jr.;3.3;2021-22;26;CHO;76;13;0;3.3;111;115;1.8;1.4;0.079;0.2;-1.6;-1.4;0.3;14.9;4.1;12;8;6.2;1.8;1.5;6.2;23;F;oubreke01
;;;;;;;;;;;;;;152;Richaun Holmes;3.2;2021-22;28;SAC;45;37;0;3.2;127;114;2.4;0.9;0.145;-0.4;-0.1;-0.5;0.4;17.8;9.3;22.9;16.1;6.8;0.8;3.3;14.2;15.8;C-F;holmeri01
;;;;;;;;;;;;;;153;Robert Covington;3.2;2021-22;31;LACPOR;71;42;0;3.2;108;110;0.8;2.4;0.08;-1.6;1.7;0.2;1.1;12.4;3.3;18.9;11;6.8;2.6;4.4;12.4;13.5;F-C;covinro01
;;;;;;;;;;;;;;154;Will Barton;3.2;2021-22;31;DEN;71;71;0;3.2;108;114;1.2;1.9;0.067;0.4;-0.9;-0.5;0.9;13.4;2.2;14.1;8.3;17.6;1.2;1.2;11.8;20.8;G;bartowi01
;;;;;;;;;;;;;;155;Naz Reid;3.2;2021-22;22;MIN;77;6;0;3.2;113;109;1.5;1.6;0.125;-0.5;0.5;0;0.6;17.2;8.8;18;13.3;8.7;1.6;5.6;13.2;21.4;F;reidna01
;;;;;;;;;;;;;;156;Reggie Bullock;3.2;2021-22;30;DAL;68;37;0;3.2;111;112;1.2;2;0.08;-1.4;0;-1.4;0.3;9.2;1.9;12.2;7;6.1;1.1;0.7;7.1;13.3;G-F;bullore01
;;;;;;;;;;;;;;157;Willy Hernangómez;3.2;2021-22;27;NOP;50;8;0;3.2;122;111;2.2;0.9;0.18;1.8;-1.5;0.2;0.5;22.2;18.5;26.3;22.3;11.9;1.2;2.2;11.6;22.5;C;hernawi01
;;;;;;;;;;;;;;158;Julius Randle;3.1;2021-22;27;NYK;72;72;0;3.1;102;109;-0.3;3.4;0.059;0.4;0.2;0.5;1.6;15.7;5.2;25.5;15.1;25.1;1;1.5;14.7;28.7;F-C;randlju01
;;;;;;;;;;;;;;159;Myles Turner;3.1;2021-22;25;IND;42;42;0;3.1;117;111;1.7;1.4;0.12;0.1;1.4;1.4;1.1;17.4;5.8;21.3;13.4;5.1;1.1;8.3;10.9;17.1;C-F;turnemy01
;;;;;;;;;;;;;;160;Payton Pritchard;3.1;2021-22;24;BOS;71;2;0;3.1;120;110;1.8;1.2;0.148;1.7;0.1;1.8;1;15;3.5;10.8;7.2;20.4;1.2;0.5;9.7;18.6;G;pritcpa01
;;;;;;;;;;;;;;161;LaMarcus Aldridge;3.1;2021-22;36;BRK;47;12;0;3.1;119;112;2.1;1;0.141;1.3;-0.6;0.7;0.7;19.6;7.8;18.7;13.4;6.3;0.6;4;8;22.4;F-C;aldrila01
;;;;;;;;;;;;;;162;Jae'Sean Tate;3;2021-22;26;HOU;78;77;0;3;111;116;1.9;1.1;0.071;-1.3;-0.5;-1.8;0.1;14.3;7.2;15.3;11.2;16.9;1.7;1.8;14.6;19.6;F;tateja01
;;;;;;;;;;;;;;163;Jonathan Kuminga;3;2021-22;19;GSW;70;12;0;3;112;108;1.3;1.8;0.123;-1.3;-0.2;-1.5;0.1;15.2;5.1;16.1;10.8;8.4;1.3;1.8;12;22.7;F;kuminjo01
;;;;;;;;;;;;;;164;Nemanja Bjelica;3;2021-22;33;GSW;71;0;0;3;111;105;1;2.1;0.128;-0.9;2.3;1.4;1;14.2;6.1;21.5;14.1;19.8;1.8;2.2;18.7;17.8;F;bjeline01
;;;;;;;;;;;;;;165;Ayo Dosunmu;3;2021-22;22;CHI;77;40;0;3;113;115;1.7;1.3;0.069;-1.9;-0.1;-2;0;11.2;1.4;9.9;5.7;16.5;1.4;1.2;15.9;14.1;G;dosunay01
;;;;;;;;;;;;;;166;Maxi Kleber;3;2021-22;30;DAL;59;21;0;3;109;107;0.7;2.3;0.098;-1.6;1.2;-0.4;0.6;11;5.4;21.5;13.4;6.5;1;3.6;10.9;13.3;F;klebima01
;;;;;;;;;;;;;;167;Dennis Schröder;2.9;2021-22;28;BOSHOU;64;29;0;2.9;107;112;1;1.9;0.076;-1.5;-0.4;-1.9;0;13;2;10.5;6.3;24.2;1.4;0.4;15.1;22.6;G;schrode01
;;;;;;;;;;;;;;168;KJ Martin;2.9;2021-22;21;HOU;79;2;0;2.9;118;118;2.3;0.6;0.084;0;-1.2;-1.2;0.4;14.3;5.3;14.5;9.9;9.4;1;2.2;9.4;16.3;F;martike04
;;;;;;;;;;;;;;169;Isaiah Roby;2.9;2021-22;23;OKC;45;28;0;2.9;120;111;1.8;1.1;0.147;0.4;0.2;0.6;0.6;18.3;8;15.6;11.8;12.1;1.8;3.3;10.3;19;F;robyis01
;;;;;;;;;;;;;;170;Tre Jones;2.9;2021-22;22;SAS;69;11;0;2.9;120;114;1.9;0.9;0.121;-0.9;0.4;-0.5;0.4;15;2.6;11.6;7.1;27;1.8;0.5;10.8;15.6;G;jonestr01
;;;;;;;;;;;;;;171;Cedi Osman;2.9;2021-22;26;CLE;66;3;0;2.9;111;112;1.3;1.6;0.094;-0.3;0.5;0.2;0.8;13.3;1.9;9;5.5;14.1;1.8;0.6;9.6;21.1;F;osmande01
;;;;;;;;;;;;;;172;Austin Reaves;2.9;2021-22;23;LAL;61;19;0;2.9;123;116;2.1;0.8;0.097;-1.3;-0.6;-1.9;0;11.5;3.4;11.2;7.3;10.3;1;1.3;9.8;12.4;G;reaveau01
;;;;;;;;;;;;;;173;Malik Beasley;2.9;2021-22;25;MIN;79;18;0;2.9;111;116;1.7;1.2;0.069;0.7;-1.5;-0.7;0.7;11.9;1.4;11.2;6.2;8.5;1;0.6;4.7;19.4;G;beaslma01
;;;;;;;;;;;;;;174;Gordon Hayward;2.8;2021-22;31;CHO;49;48;0;2.8;113;116;1.9;1;0.087;0.1;-0.8;-0.7;0.5;15.1;2.5;12.8;7.6;16.1;1.4;1.3;10.6;20.7;F-G;haywago01
;;;;;;;;;;;;;;175;Patty Mills;2.8;2021-22;33;BRK;81;48;0;2.8;112;117;1.9;0.9;0.058;-0.3;-1.4;-1.7;0.2;10.4;0.9;6.2;3.6;10.6;1.1;0.6;8.2;16.4;G;millspa02
;;;;;;;;;;;;;;176;Norman Powell;2.8;2021-22;28;LACPOR;45;41;0;2.8;116;119;2.4;0.4;0.093;1.2;-1.5;-0.3;0.6;16.3;1.5;9.7;5.4;10.8;1.4;1.4;8.9;23.1;G;powelno01
;;;;;;;;;;;;;;177;Kevin Huerter;2.8;2021-22;23;ATL;74;60;0;2.8;112;117;1.8;1;0.062;-0.5;-0.7;-1.2;0.4;11.9;1.6;11;6.4;13.2;1.2;1.1;10.4;17.5;G;huertke01
;;;;;;;;;;;;;;178;Kentavious Caldwell-Pope;2.8;2021-22;28;WAS;77;77;0;2.8;109;116;1.4;1.4;0.058;-0.9;-0.6;-1.5;0.3;12.6;2;10.3;6.2;9.1;1.8;0.9;9.8;19;G;caldwke01
;;;;;;;;;;;;;;179;Jaylen Nowell;2.8;2021-22;22;MIN;62;1;0;2.8;121;115;2.1;0.7;0.138;1.5;-0.7;0.8;0.7;16.8;2.4;11.4;6.8;20.2;1.3;1;7.4;21;G;nowelja01
;;;;;;;;;;;;;;180;Georges Niang;2.8;2021-22;28;PHI;76;7;0;2.8;113;115;1.5;1.3;0.077;-0.8;-1.1;-1.9;0;10.7;1.6;11.3;6.5;8.7;0.9;0.7;9.1;16.8;F;niangge01
;;;;;;;;;;;;;;181;Jalen Smith;2.8;2021-22;21;INDPHO;51;8;0;2.8;119;111;1.7;1.1;0.145;0.9;-1.4;-0.5;0.3;18.4;12;24.5;18.2;3.9;0.8;3.9;9.6;20.3;F;smithja04
;;;;;;;;;;;;;;182;Devonte' Graham;2.8;2021-22;26;NOP;76;63;0;2.8;109;116;1.6;1.2;0.062;0.2;-1.2;-1;0.5;12.1;1.9;7.3;4.5;21;1.6;0.5;10.7;19.5;G;grahade01
;;;;;;;;;;;;;;183;Garrison Mathews;2.8;2021-22;25;HOU;65;33;0;2.8;120;118;2.2;0.5;0.077;-1.3;-1;-2.3;-0.1;11;2;10.2;6.1;5.3;1.6;1.3;7.1;14.4;G;mathega01
;;;;;;;;;;;;;;184;Moritz Wagner;2.8;2021-22;24;ORL;63;3;0;2.8;118;112;1.8;1;0.138;1.5;0.1;1.6;0.9;18.1;4.6;21;12.8;15.4;1;1.2;11;22.9;F-C;wagnemo01
;;;;;;;;;;;;;;185;JaMychal Green;2.7;2021-22;31;DEN;67;8;0;2.7;114;109;1.2;1.4;0.118;-2;0.1;-1.8;0;14.1;8.6;19.9;14.5;7.6;1.9;2.2;13.4;17.2;F;greenja01
;;;;;;;;;;;;;;186;Malcolm Brogdon;2.7;2021-22;29;IND;36;36;0;2.7;116;118;2.2;0.4;0.106;2.8;-0.5;2.3;1.3;18;3;14.3;8.6;26.9;1.2;1;11.1;24.6;G;brogdma01
;;;;;;;;;;;;;;187;Damion Lee;2.7;2021-22;29;GSW;63;5;0;2.7;111;109;0.9;1.8;0.102;-2.4;0.4;-2;0;10.9;2.4;14.9;8.8;7.1;1.5;0.5;8.4;15.8;G;leeda03
;;;;;;;;;;;;;;188;Taj Gibson;2.7;2021-22;36;NYK;52;4;0;2.7;127;110;1.4;1.2;0.135;-3;1;-2;0;12;9.8;16.3;13;4.9;1.2;4.2;12.5;10;F-C;gibsota01
;;;;;;;;;;;;;;189;Khem Birch;2.6;2021-22;29;TOR;55;28;0;2.6;124;111;1.5;1.1;0.126;-1.7;0.4;-1.3;0.2;13.2;12.7;13.5;13.1;7.6;1.5;2.6;11.1;11.2;C-F;birchkh01
;;;;;;;;;;;;;;190;Landry Shamet;2.6;2021-22;24;PHO;69;14;0;2.6;111;112;1.1;1.5;0.085;-0.9;-0.4;-1.2;0.3;10.2;1.2;8;4.7;9.7;0.9;0.6;7.3;16.8;G;shamela01
;;;;;;;;;;;;;;191;De'Aaron Fox;2.5;2021-22;24;SAC;59;59;0;2.5;107;117;1.5;1;0.058;0.6;-1.2;-0.6;0.7;17.4;1.3;10.9;6;26.8;1.6;1;11.9;29.1;G;foxde01
;;;;;;;;;;;;;;192;Gabe Vincent;2.5;2021-22;25;MIA;68;27;0;2.5;107;111;0.7;1.9;0.076;-1.9;0.5;-1.4;0.2;10.6;1.6;7.3;4.5;19.4;2;0.8;15.4;17.8;G;vincega01
;;;;;;;;;;;;;;193;Precious Achiuwa;2.5;2021-22;22;TOR;73;28;0;2.5;105;110;0.4;2.1;0.07;-2;-0.6;-2.6;-0.2;12.7;8.7;21.7;14.9;6.9;1.1;2.3;11.3;18.5;F;achiupr01
;;;;;;;;;;;;;;194;Cory Joseph;2.5;2021-22;30;DET;65;39;0;2.5;115;116;1.7;0.8;0.075;-2;-0.1;-2.1;0;11.4;1.9;10.3;5.9;21.8;1.3;1;15.9;14.3;G;josepco01
;;;;;;;;;;;;;;195;Marcus Morris;2.4;2021-22;32;LAC;54;54;0;2.4;108;112;0.9;1.5;0.074;-0.3;-1;-1.4;0.3;13.7;1.8;14;8.1;11.3;0.9;1;8.4;23.2;F;morrima03
;;;;;;;;;;;;;;196;Jaden McDaniels;2.4;2021-22;21;MIN;70;31;0;2.4;108;113;0.7;1.7;0.065;-2.9;-0.1;-2.9;-0.4;10.3;4.4;13.2;8.7;6.1;1.4;2.9;11.4;15.3;F;mcdanja02
;;;;;;;;;;;;;;197;Deni Avdija;2.4;2021-22;21;WAS;82;8;0;2.4;106;113;0.6;1.8;0.058;-2.1;0.4;-1.7;0.1;11.6;3;20.5;11.9;11.8;1.5;1.9;12;16.3;G-F;avdijde01
;;;;;;;;;;;;;;198;Bones Hyland;2.4;2021-22;21;DEN;69;4;0;2.4;109;112;1.1;1.3;0.088;0.3;-0.7;-0.4;0.5;14.4;1.2;14.4;8;21.2;1.5;1.4;12.1;23.8;G;hylanbo01
;;;;;;;;;;;;;;199;Josh Green;2.4;2021-22;21;DAL;67;3;0;2.4;114;109;1;1.4;0.111;-2.4;1.4;-1;0.3;11.9;5.6;11.7;8.6;11;2.2;1.2;13.8;13.9;G-F;greenjo02
;;;;;;;;;;;;;;200;Terry Taylor;2.4;2021-22;22;IND;33;7;0;2.4;135;119;2.2;0.2;0.16;2.1;-2.8;-0.6;0.2;19;14.6;12.2;13.4;8.6;1;1;8.7;15.9;G-F;taylote01
