Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
1;Kevin Durant;19.2;2013-14;25;OKC;81;81;1;19.2;123;104;14.8;4.4;0.295;8.8;1.4;10.2;9.6;29.8;2.2;18.6;10.8;26.7;1.7;1.5;12.2;33;F-G;duranke01
2;LeBron James;15.9;2013-14;29;MIA;77;77;1;15.9;121;105;12.3;3.7;0.264;7.8;1.1;8.8;7.9;29.3;3.6;18.9;11.5;32;2.2;0.8;14.4;31;F-G;jamesle01
3;Kevin Love;14.3;2013-14;25;MIN;77;77;1;14.3;120;104;10.6;3.7;0.245;8.3;0.6;8.9;7.7;26.9;8.5;29.5;18.7;21.4;1;1;10.3;28.8;F-C;loveke01
4;Stephen Curry;13.4;2013-14;25;GSW;78;78;1;13.4;117;104;9.3;4;0.225;6.3;1.1;7.4;6.7;24.1;1.8;10.9;6.4;39.9;2.2;0.4;16.1;28.3;G;curryst01
5;James Harden;12.8;2013-14;24;HOU;73;73;1;12.8;120;107;10.1;2.7;0.221;5.4;0.2;5.6;5.3;23.5;2.6;10.7;6.9;27.3;2.1;0.8;15;27.8;G;hardeja01
6;Blake Griffin;12.2;2013-14;24;LAC;80;80;1;12.2;114;103;8.1;4.1;0.205;3.8;0.7;4.5;4.7;23.9;7.7;21.2;14.7;19.2;1.6;1.4;11.9;29;F-C;griffbl01
7;Chris Paul;12.2;2013-14;28;LAC;62;62;1;12.2;125;103;9;3.2;0.27;6;2.6;8.6;5.8;25.9;2;11.4;6.9;48.9;3.5;0.1;12.4;23.7;G;paulch01
8;Kyle Lowry;11.7;2013-14;27;TOR;79;79;0;11.7;118;106;8.4;3.3;0.197;4.1;0.6;4.7;4.8;20.1;3.6;11.5;7.5;34.7;2.2;0.4;13.4;22.9;G;lowryky01
9;Joakim Noah;11.2;2013-14;28;CHI;80;80;1;11.2;111;96;4.5;6.6;0.19;1.7;3.6;5.3;5.2;20;11.6;24.5;18.2;26.4;1.9;3.3;17;18.7;C;noahjo01
10;DeAndre Jordan;11.1;2013-14;25;LAC;82;82;0;11.1;121;98;5.3;5.8;0.186;0.9;1.6;2.5;3.3;18.2;13.3;29.3;21.6;3.7;1.4;5.4;15.3;12.4;C;jordade01
11;Dirk Nowitzki;10.9;2013-14;35;DAL;80;80;1;10.9;120;108;8.6;2.3;0.199;5;0;5;4.7;23.6;1.8;20;10.9;14.2;1.4;1.4;7.5;26.9;F-C;nowitdi01
12;Paul George;10.8;2013-14;23;IND;80;80;1;10.8;107;97;4.4;6.4;0.178;2.7;2.1;4.9;5;20.1;2.6;17.7;10.5;17.9;2.7;0.6;12.5;28.3;F-G;georgpa01
13;Carmelo Anthony;10.7;2013-14;29;NYK;77;77;1;10.7;113;108;8.1;2.5;0.172;5.8;-0.8;5;5.3;24.4;5.6;19.4;12.3;15.8;1.7;1.5;9.5;32.4;F;anthoca01
14;Anthony Davis;10.4;2013-14;20;NOP;67;66;1;10.4;119;104;7.2;3.2;0.212;4;0.8;4.8;4;26.5;10;23.3;16.6;8;2;6.7;8.3;25.2;F-C;davisan02
15;Goran Dragić;10.3;2013-14;27;PHO;76;75;0;10.3;119;109;8.4;2;0.186;4.1;-0.2;3.9;4;21.4;2.9;7.4;5.2;28.1;2;0.6;14.3;24.5;G;dragigo01
16;Andre Drummond;9.9;2013-14;20;DET;81;81;0;9.9;121;104;6.4;3.5;0.182;2;-0.6;1.4;2.3;22.6;17.5;27.7;22.3;2.2;2;4;10.7;16.7;C;drumman01
17;Serge Ibaka;9.6;2013-14;24;OKC;81;81;0;9.6;115;102;5.2;4.4;0.173;1.1;0.6;1.7;2.5;19.6;10;19.6;15;5.2;0.7;6.7;10.3;19.8;F-C;ibakase01
18;Damian Lillard;9.6;2013-14;23;POR;82;82;1;9.6;116;110;7.8;1.8;0.157;3.8;-0.6;3.2;3.9;18.6;1.3;9.2;5.3;25.1;1.1;0.5;11.5;25;G;lillada01
19;Robin Lopez;9.5;2013-14;25;POR;82;82;0;9.5;128;107;7;2.6;0.176;1.2;-0.1;1.2;2.1;17.7;13.6;15.3;14.5;4.2;0.5;3.7;10.1;14;C;lopezro01
20;DeMar DeRozan;8.8;2013-14;24;TOR;79;79;1;8.8;110;107;5.8;3;0.141;1.9;-0.3;1.7;2.8;18.4;2;11.3;6.6;18.9;1.5;0.7;9.5;28;G-F;derozde01
