Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
1;Chris Paul;17.8;2007-08;22;NOH;80;80;1;17.8;125;103;13.2;4.6;0.284;7.2;3.2;10.4;9.3;28.3;2.4;10.3;6.2;52.2;3.9;0.1;12.1;25.7;G;paulch01
2;LeBron James;15.2;2007-08;23;CLE;75;74;1;15.2;116;104;10.7;4.6;0.242;8.2;2.6;10.9;9.8;29.1;4.9;17.8;11.1;37.3;2.4;2.1;11.4;33.5;F-G;jamesle01
3;Amar'e Stoudemire;14.6;2007-08;25;PHO;79;79;1;14.6;124;104;10.9;3.8;0.262;4.2;0.6;4.8;4.6;27.6;8.2;21.1;15.2;7.5;1.2;4;10.3;28.2;F-C;stoudam01
4;Kobe Bryant;13.8;2007-08;29;LAL;82;82;1;13.8;115;105;9.5;4.3;0.208;5.2;0.6;5.8;6.3;24.2;3.4;14.1;9;23.9;2.4;0.9;11.3;31.4;G-F;bryanko01
5;Chauncey Billups;13.5;2007-08;31;DET;78;78;1;13.5;127;105;10.2;3.4;0.257;6.5;1.2;7.7;6.2;23.6;2;8.1;5;34.7;2.2;0.5;13;23;G;billuch01
6;Dwight Howard;12.9;2007-08;22;ORL;82;82;1;12.9;113;99;6.4;6.4;0.2;1.6;1.2;2.8;3.7;22.9;10.9;31.6;21.7;6.1;1.2;4.2;16.1;24.2;C;howardw01
7;Dirk Nowitzki;12.9;2007-08;29;DAL;77;77;1;12.9;118;104;8.9;4;0.223;5.6;1;6.6;6;24.6;4.1;22.8;13.8;17.8;1;1.9;9.3;28.8;F-C;nowitdi01
8;Kevin Garnett;12.9;2007-08;31;BOS;71;71;1;12.9;118;94;6.6;6.2;0.265;4.7;3.5;8.2;6;25.3;7.3;25.1;16.8;19.9;2.3;3.1;10.8;25.5;F-C;garneke01
9;Paul Pierce;12.4;2007-08;30;BOS;80;80;1;12.4;115;100;6.7;5.7;0.207;3.3;1.4;4.8;5;19.6;2.3;14;8.5;21.8;1.9;1;14.4;24.8;F-G;piercpa01
10;Allen Iverson;11.6;2007-08;32;DEN;82;82;1;11.6;115;109;8.9;2.8;0.163;3.4;-0.7;2.7;4;20.9;1.5;6.1;3.8;27.4;2.2;0.2;11.4;26.7;G;iversal01
