Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
1;Dirk Nowitzki;17.7;2005-06;27;DAL;81;81;1;17.7;123;103;13.5;4.3;0.275;7.8;0.4;8.1;7.9;28.1;4.6;23.4;14.2;14.7;1;2.1;7.9;30;F-C;nowitdi01
2;LeBron James;16.3;2005-06;21;CLE;79;79;1;16.3;115;104;12;4.3;0.232;7.5;1.6;9.1;9.4;28.1;2.6;17.1;9.8;32.8;2;1.5;10.7;33.6;F-G;jamesle01
3;Chauncey Billups;15.5;2005-06;29;DET;81;81;1;15.5;127;107;12.7;2.8;0.254;6.2;0.1;6.2;6.1;23.4;1.6;8.7;5.1;39.3;1.3;0.2;12;22.9;G;billuch01
4;Kobe Bryant;15.3;2005-06;27;LAL;80;80;1;15.3;114;105;11.6;3.7;0.224;7.4;0.2;7.6;8;28;2.6;12.7;7.6;24.1;2.4;0.7;9;38.7;G-F;bryanko01
5;Kevin Garnett;14.9;2005-06;29;MIN;76;76;1;14.9;117;98;9;5.9;0.242;5.6;2.2;7.8;7.4;26.8;8.9;29.7;19.6;20.2;1.9;2.7;11.3;25.5;F-C;garneke01
6;Elton Brand;14.8;2005-06;26;LAC;79;79;1;14.8;116;100;9.3;5.5;0.229;5.1;1.6;6.7;6.8;26.5;9.3;19.9;14.8;13.1;1.4;4.9;9.3;27.7;F-C;brandel01
7;Shawn Marion;14.6;2005-06;27;PHO;81;81;1;14.6;118;100;8.6;5.9;0.214;3.5;1.3;4.8;5.6;23.6;8.7;23.6;16.3;6.8;2.5;2.9;7.7;22.3;F;mariosh01
8;Dwyane Wade;14.4;2005-06;24;MIA;75;75;1;14.4;115;103;10.2;4.2;0.239;5.9;1.8;7.7;7.1;27.6;4.5;12.6;8.7;33;2.6;1.5;13.2;32.5;G;wadedw01
9;Gilbert Arenas;13.6;2005-06;24;WAS;80;80;1;13.6;115;108;11;2.6;0.193;5.4;0;5.4;6.3;23.8;2;7.8;4.8;27;2.5;0.6;12.8;30.5;G;arenagi01
10;Steve Nash;12.4;2005-06;31;PHO;79;79;1;12.4;121;109;10.3;2.1;0.212;5.7;-0.7;5;4.9;23.3;1.9;11.1;6.6;44.4;1.1;0.3;19;23.3;G;nashst01
