Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
1;LeBron James;14.5;2011-12;27;MIA;62;62;1;14.5;118;97;10;4.5;0.298;8.2;2.7;10.9;7.6;30.7;5;19.7;12.6;33.6;2.6;1.7;13.3;32;F-G;jamesle01
2;Chris Paul;12.7;2011-12;26;LAC;60;60;1;12.7;126;104;10.4;2.3;0.278;6.7;2.4;9.2;6.1;27;2.3;9.4;5.8;43.8;3.8;0.2;10.8;24.3;G;paulch01
3;Kevin Durant;12.2;2011-12;23;OKC;66;66;1;12.2;114;101;8.5;3.7;0.23;6.2;0.8;7;5.8;26.2;1.9;20.4;11.8;17.5;1.8;2.2;14;31.3;F-G;duranke01
4;Kevin Love;10;2011-12;23;MIN;55;55;1;10;117;104;7.6;2.3;0.223;6.1;-0.9;5.2;3.9;25.4;11.6;26.4;19;10;1.1;0.9;9.2;28.8;F-C;loveke01
5;Tyson Chandler;9.5;2011-12;29;NYK;62;62;0;9.5;130;99;5.8;3.6;0.22;1.2;1.1;2.3;2.2;18.7;11.8;22.7;17.2;4.3;1.4;3.4;17.1;13;C;chandty01
6;James Harden;9.3;2011-12;22;OKC;62;2;0;9.3;125;105;7.5;1.8;0.23;4.1;0.2;4.3;3.1;21.1;1.9;12.2;7.4;19.3;1.6;0.6;14.8;21.6;G;hardeja01
7;Blake Griffin;9.2;2011-12;22;LAC;66;66;1;9.2;113;104;6.6;2.6;0.185;3.9;-0.2;3.7;3.4;23.4;10.7;25.1;17.8;16.6;1.2;1.7;10.9;26.6;F-C;griffbl01
8;Joakim Noah;9;2011-12;26;CHI;64;64;0;9;120;96;4.9;4.2;0.223;1.7;2.1;3.8;2.8;19.6;14.1;21.8;18;12.7;1.1;3.4;13.7;15.8;C;noahjo01
9;Ryan Anderson;8.9;2011-12;23;ORL;61;61;0;8.9;124;105;7;1.9;0.219;5.2;-1.1;4;3;21.2;13;14.7;13.8;5.1;1.4;1;6.4;21.2;F;anderry01
10;Pau Gasol;8.3;2011-12;31;LAL;65;65;0;8.3;112;103;5.2;3.1;0.165;2.6;0.8;3.4;3.3;20.4;8.8;21.8;15.6;17.2;0.8;2.6;12.1;22.1;C-F;gasolpa01
11;Marc Gasol;8.2;2011-12;27;MEM;65;65;1;8.2;111;99;4.2;4;0.166;1;2.1;3.1;3.1;18.4;5.8;23.1;14.3;14.1;1.4;4.1;12.1;19.1;C;gasolma01
12;Andrew Bynum;8;2011-12;24;LAL;60;60;1;8;112;100;4.8;3.3;0.183;2.7;0.2;2.9;2.6;22.9;10.6;26.1;18.7;7.4;0.7;4;13.9;23.8;C;bynuman01
13;Russell Westbrook;7.9;2011-12;23;OKC;66;66;1;7.9;108;105;5.5;2.4;0.163;3.7;-0.7;3;3;22.9;5;9.4;7.4;29.8;2.5;0.7;14.2;32.7;G;westbru01
14;Paul Millsap;7.8;2011-12;26;UTA;64;62;0;7.8;113;102;4.9;2.9;0.179;2.6;1.3;3.9;3.1;21.8;9.7;21.2;15.4;12.4;2.9;2;10.3;23.2;F;millspa01
15;Dwight Howard;7.7;2011-12;26;ORL;54;54;1;7.7;106;96;3.3;4.4;0.179;2.2;2;4.3;3.3;24.2;11;33.1;21.9;9.8;2.1;4.4;15.2;26.1;C;howardw01
16;Dwyane Wade;7.7;2011-12;30;MIA;49;49;1;7.7;112;99;4.8;2.9;0.227;6;1.9;7.9;4;26.3;5.6;11.6;8.7;27.3;2.7;3.1;11.8;31.3;G;wadedw01
17;Carlos Boozer;7.6;2011-12;30;CHI;66;66;0;7.6;108;95;3.3;4.3;0.187;1.1;1.6;2.7;2.3;19.7;6.7;25.3;16.1;11.8;1.7;0.9;11.3;23.8;F-C;boozeca01
18;Marcin Gortat;7.6;2011-12;27;PHO;66;66;0;7.6;115;103;4.9;2.7;0.172;2.2;0;2.2;2.3;21.2;10;25;17.6;4.8;1.2;3.4;9.3;20.8;C-F;gortama01
19;Dirk Nowitzki;7.6;2011-12;33;DAL;62;62;1;7.6;110;103;5;2.6;0.175;3.7;0.1;3.7;3;21.7;2.5;19.9;11.3;12.6;1.1;1.2;9;29.2;F-C;nowitdi01
20;Al Jefferson;7.5;2011-12;27;UTA;61;61;0;7.5;112;103;4.9;2.5;0.173;3.5;0.2;3.7;3;22.8;7.3;25.3;16.2;12.1;1.2;3.9;5.2;25.7;C-F;jeffeal01
21;Andre Iguodala;7.3;2011-12;28;PHI;62;62;1;7.3;108;98;3.1;4.2;0.158;1.5;2.5;4;3.3;17.6;2.8;16.4;9.6;23.7;2.6;1;13.8;17.7;F-G;iguodan01
22;Tony Parker;7.1;2011-12;29;SAS;60;60;1;7.1;112;106;5.5;1.6;0.177;3.6;-0.9;2.7;2.3;22;1.3;8.7;5.1;40.3;1.5;0.2;13.1;27.7;G;parketo01
23;LaMarcus Aldridge;7;2011-12;26;POR;55;55;1;7;113;106;5.4;1.6;0.169;3.4;-0.4;3;2.5;22.7;8.6;17.5;12.9;13.2;1.3;1.7;9.5;27;F-C;aldrila01
24;Paul Pierce;7;2011-12;34;BOS;61;61;1;7;106;99;3.3;3.7;0.161;3;1.1;4.2;3.2;19.6;2.2;15.2;9;24.3;1.8;1;14.2;28.1;F-G;piercpa01
25;Greg Monroe;7;2011-12;21;DET;66;66;0;7;110;102;4.3;2.7;0.161;2.8;0.1;2.9;2.6;22;13.3;23.6;18.3;14;2.1;1.7;15.2;23.6;C-F;monrogr01
26;Ty Lawson;6.9;2011-12;24;DEN;61;61;0;6.9;116;108;5.7;1.2;0.157;3.6;-0.4;3.2;2.8;19.4;3.1;9.2;6.2;30.2;2;0.2;14.7;21.2;G;lawsoty01
27;Kevin Garnett;6.9;2011-12;35;BOS;60;60;0;6.9;106;94;2.6;4.3;0.178;1.8;2.5;4.3;2.9;20.4;4.4;25.8;15.6;17.9;1.6;2.5;11.1;24.9;F-C;garneke01
28;Chris Bosh;6.9;2011-12;27;MIA;57;57;1;6.9;109;100;3.6;3.3;0.165;1;-0.2;0.8;1.4;18.9;5.8;20.5;13.5;9.1;1.3;1.8;11.2;24.2;F-C;boshch01
29;Josh Smith;6.8;2011-12;26;ATL;66;66;0;6.8;101;96;1.9;4.9;0.139;1.7;2.1;3.8;3.3;21.1;6.9;24.8;15.9;20.6;2.1;3.8;11.7;28.4;F;smithjo03
30;Danny Granger;6.7;2011-12;28;IND;62;62;0;6.7;111;104;4.5;2.2;0.155;3.5;-0.6;2.9;2.5;18.6;4.3;12.3;8.4;9.7;1.6;1.5;9.3;25.9;F;grangda01
31;Joe Johnson;6.4;2011-12;30;ATL;60;60;1;6.4;110;105;4.4;2.1;0.145;3.1;-1;2.1;2.2;18.4;2.9;9.2;6.1;19.7;1.2;0.5;10.3;24.9;G-F;johnsjo02
32;Mike Conley;6.4;2011-12;24;MEM;62;61;0;6.4;110;102;3.6;2.8;0.141;1;1.4;2.4;2.4;16.8;1.2;7.4;4.2;29.8;3.3;0.4;14.2;18.3;G;conlemi01
