Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
1;James Harden;13.1;2019-20;30;HOU;68;68;1;13.1;120;108;9.9;3.2;0.254;8.1;1.6;9.6;7.3;29.1;2.9;16;9.4;35.9;2.3;2.1;14.2;36.3;G;hardeja01
2;Damian Lillard;11.6;2019-20;29;POR;66;66;1;11.6;126;117;10.9;0.7;0.225;8.3;-0.9;7.5;5.9;26.9;1.4;10.5;6;34.4;1.3;0.8;11;30.3;G;lillada01
3;Giannis Antetokounmpo;11.1;2019-20;25;MIL;63;63;1;11.1;116;97;6.1;5;0.279;7.4;4.1;11.5;6.6;31.9;7.7;34.8;22.1;34.2;1.5;3;13.2;37.5;F-G;antetgi01
4;Anthony Davis;11.1;2019-20;26;LAL;62;62;1;11.1;121;102;6.7;4.4;0.25;5.4;2.6;8;5.4;27.4;7.4;22.1;14.8;15.1;2;6;10.4;29.3;F-C;davisan02
5;Rudy Gobert;10.7;2019-20;27;UTA;68;68;1;10.7;130;104;6.5;4.2;0.221;1.7;1.9;3.6;3.3;21.7;11.2;31.3;21.6;6.5;1.1;4.8;15;16.2;C;goberru01
6;Nikola Jokić;9.8;2019-20;24;DEN;73;73;1;9.8;119;108;6.7;3.1;0.202;5.5;2;7.4;5.5;24.9;8;26.1;17.1;35.2;1.8;1.7;15.8;26.6;C-F;jokicni01
7;LeBron James;9.8;2019-20;35;LAL;67;67;1;9.8;116;106;6.2;3.6;0.204;6.6;1.8;8.4;6.1;25.5;3.2;21.5;12.4;49.1;1.6;1.4;15.1;31.5;F-G;jamesle01
8;Jimmy Butler;9;2019-20;30;MIA;58;58;1;9;123;108;6.3;2.7;0.221;4;1.5;5.4;3.7;23.6;6.3;15.4;11;28.1;2.6;1.6;11.4;25.1;F-G;butleji01
9;Chris Paul;8.9;2019-20;34;OKC;70;70;1;8.9;120;108;5.9;3;0.193;3;1.4;4.4;3.5;21.7;1.3;15.7;8.7;34;2.4;0.4;13.8;23.3;G;paulch01
10;Luka Dončić;8.8;2019-20;20;DAL;61;61;1;8.8;116;110;6.5;2.3;0.207;7.4;1;8.4;5.4;27.6;4.1;25;14.7;45.7;1.5;0.6;14.8;36.8;G-F;doncilu01
11;Kawhi Leonard;8.7;2019-20;28;LAC;57;57;1;8.7;117;104;5.4;3.3;0.226;6.5;2.4;8.9;5.1;26.9;3.1;19.1;11.3;26.4;2.6;1.6;10.2;33;F;leonaka01
12;Hassan Whiteside;8.5;2019-20;30;POR;67;61;0;8.5;125;107;5.6;3;0.204;2.5;0.7;3.2;2.6;25;13.6;33.3;23.6;5.9;0.6;8.4;12.9;19.6;C;whiteha01
13;Bam Adebayo;8.5;2019-20;22;MIA;72;72;1;8.5;116;106;4.6;3.9;0.168;1.4;2;3.4;3.3;20.3;8.5;24.9;17;24.2;1.7;3.8;17.6;21.2;C-F;adebaba01
14;Jarrett Allen;8.2;2019-20;21;BRK;70;64;0;8.2;132;106;5.2;2.9;0.212;1.4;1;2.3;2;20.7;12.3;24.9;18.7;8.9;1;4.2;11.7;14.9;C-F;allenja01
15;Khris Middleton;7.9;2019-20;28;MIL;62;59;1;7.9;118;104;4.6;3.3;0.205;3.4;0.7;4.1;2.9;21.1;2.5;17;10.2;22.2;1.3;0.3;11.6;26.4;F-G;middlkh01
16;Domantas Sabonis;7.5;2019-20;23;IND;62;62;1;7.5;115;106;4.1;3.4;0.168;2;1.2;3.2;2.9;20.7;9.7;29.3;19.6;21.7;1.1;1.2;14.8;23.3;C-F;sabondo01
17;Devin Booker;7.5;2019-20;23;PHO;70;70;1;7.5;115;114;6;1.5;0.143;3.4;-1.3;2.2;2.6;20.6;1.3;12;6.6;30;0.9;0.6;14.9;30;G;bookede01
18;Kyle Lowry;7.5;2019-20;33;TOR;58;58;1;7.5;116;106;4.2;3.3;0.171;2.2;1;3.2;2.8;17.7;1.6;12.8;7.3;30.6;1.9;1.2;15.7;23.1;G;lowryky01
19;DeMar DeRozan;7.3;2019-20;30;SAS;68;68;0;7.3;118;115;5.9;1.3;0.151;2.3;-0.4;1.9;2.3;21.6;2;15.4;8.7;26.1;1.4;0.8;11.6;26.3;G-F;derozde01
20;Jonas Valančiūnas;7;2019-20;27;MEM;70;70;0;7;120;107;4.2;2.8;0.182;2.1;0.2;2.4;2;22.2;12.4;32.2;22.5;10.9;0.8;3.6;13.3;21.5;C;valanjo01
21;Montrezl Harrell;7;2019-20;26;LAC;63;2;0;7;119;107;4.4;2.5;0.191;2.5;0.5;2.9;2.2;23.2;9.9;16.3;13.2;10.3;1.1;3.6;10.1;25.7;F-C;harremo01
22;Ben Simmons;6.9;2019-20;23;PHI;57;57;1;6.9;116;106;3.8;3.1;0.165;1.3;2.3;3.6;2.8;20.4;6.2;18.2;12.2;33.8;2.9;1.4;20.4;20.9;G-F;simmobe01
23;Jayson Tatum;6.9;2019-20;21;BOS;66;66;1;6.9;111;106;3.2;3.7;0.146;3.5;0.6;4;3.4;20.4;3.1;18.5;10.9;14.5;2;2.3;10.2;28.6;F;tatumja01
24;Mitchell Robinson;6.8;2019-20;21;NYK;61;7;0;6.8;144;107;4.8;2;0.23;1.6;1.4;2.9;1.8;23.5;13.7;18.8;16.2;3.9;1.8;8;8.3;13.3;C;robinmi01
25;Ivica Zubac;6.6;2019-20;22;LAC;72;70;0;6.6;134;105;4.4;2.3;0.241;1.9;0.9;2.8;1.6;21.7;15.9;26.4;21.3;9.1;0.6;4.4;11.8;16.4;C;zubaciv01
26;Daniel Theis;6.5;2019-20;27;BOS;65;64;0;6.5;130;105;4;2.6;0.201;0.6;1.8;2.4;1.7;17.9;9.7;19.3;14.6;10.1;1.1;5;10.2;14.4;C;theisda01
27;T.J. Warren;6.5;2019-20;26;IND;67;67;0;6.5;116;110;4;2.6;0.143;1.2;0;1.1;1.7;18.4;3.4;10.5;7;7.1;1.7;1.4;7.2;23.3;F;warretj01
28;Steven Adams;6.5;2019-20;26;OKC;63;63;0;6.5;122;106;3.8;2.7;0.185;1.9;1.1;2.9;2.1;20.5;14;24;19.2;13.2;1.5;3.4;14.2;17.3;C;adamsst01
29;Nikola Vučević;6.4;2019-20;29;ORL;62;62;0;6.4;114;107;3.5;2.9;0.153;3.7;0.5;4.2;3.1;21.9;7.3;29.7;18.1;19.5;1.3;2.1;7.4;25.8;C;vucevni01
30;Danilo Gallinari;6.3;2019-20;31;OKC;62;62;0;6.3;120;111;4.5;1.9;0.166;4.1;-0.9;3.3;2.4;19.5;2.1;16.8;9.7;10.3;1.1;0.2;7.4;24.6;F;gallida01
31;Tobias Harris;6.2;2019-20;27;PHI;72;72;0;6.2;113;110;3.5;2.7;0.121;1.3;-0.5;0.8;1.8;17.2;3.1;19.1;11.1;14.6;1;1.4;7.6;23.9;F;harrito02
