Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
1;Nikola Jokić;17;2023-24;28;DEN;79;79;1;17;131;108;12;5.1;0.299;9;4.2;13.2;10.6;31;9.3;29.6;19.8;42;2;2.1;12.9;29.3;C-F;jokicni01
2;Shai Gilgeous-Alexander;14.6;2023-24;25;OKC;75;75;1;14.6;129;110;10.5;4.2;0.275;6.7;2.3;9;7.1;29.3;3;14.7;9.1;29.8;2.8;2.4;8.4;32.8;G;gilgesh01
3;Giannis Antetokounmpo;13.2;2023-24;29;MIL;73;73;1;13.2;126;112;9.5;3.7;0.246;6.7;2.4;9;7.2;29.9;8.6;27;17.9;32.7;1.6;2.6;12.7;33;F-G;antetgi01
4;Domantas Sabonis;12.6;2023-24;27;SAC;82;82;0;12.6;127;112;8.6;4;0.206;4;2.4;6.5;6.2;23.2;11;32.3;21.4;33.9;1.2;1.5;17.9;22.2;C-F;sabondo01
5;Luka Dončić;12;2023-24;24;DAL;70;70;1;12;122;113;8.5;3.5;0.22;8.3;1.7;9.9;8;28.1;2.5;24.4;13.5;44.3;1.8;1.3;12.8;36;G-F;doncilu01
6;Anthony Davis;11.8;2023-24;30;LAL;76;76;1;11.8;124;109;7.2;4.7;0.21;3.5;1.7;5.1;4.9;25.8;10.4;28.3;19.8;15.5;1.6;5.7;9.5;26.7;F-C;davisan02
7;Rudy Gobert;11.6;2023-24;31;MIN;76;76;0;11.6;131;104;5.8;5.8;0.216;0.1;1.7;1.8;2.5;19.3;13.1;29.2;21.5;5.6;1;5.5;13.1;15.4;C;goberru01
8;Jalen Brunson;11.2;2023-24;27;NYK;77;77;1;11.2;124;117;8.8;2.4;0.198;6.3;-0.4;5.8;5.4;23.4;1.8;9.7;5.7;33.5;1.3;0.4;9.1;32.5;G;brunsja01
9;Jarrett Allen;10.7;2023-24;25;CLE;77;77;0;10.7;131;110;6.8;3.9;0.21;2.1;0.9;3;3.1;21.8;11.3;25.8;18.7;13.2;1.1;3;11.2;19.4;C-F;allenja01
10;Jayson Tatum;10.4;2023-24;25;BOS;74;74;1;10.4;121;111;6.4;4.1;0.189;4.5;0.6;5.1;4.7;22.3;2.9;20.9;12.3;21;1.4;1.4;10.3;30.2;F;tatumja01
