Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
1;James Harden;16.4;2014-15;25;HOU;81;81;1;16.4;118;103;12.2;4.2;0.265;7;1.8;8.8;8.1;26.7;2.8;14.2;8.5;34.6;2.6;1.6;14.9;31.3;G;hardeja01
2;Chris Paul;16.1;2014-15;29;LAC;82;82;1;16.1;126;105;12.9;3.2;0.27;6.4;1.6;8;7.2;26;2.1;12.5;7.4;47.4;2.8;0.4;12.7;23.7;G;paulch01
3;Stephen Curry;15.7;2014-15;26;GSW;80;80;1;15.7;122;101;11.5;4.1;0.288;8.2;1.7;9.9;7.9;28;2.4;11.4;7;38.6;3;0.5;14.3;28.9;G;curryst01
4;Anthony Davis;14;2014-15;21;NOP;68;68;1;14;122;100;9.9;4.2;0.274;6.6;2.3;8.9;6.7;30.8;8;24.1;16.1;11.6;2.1;6.2;6.3;27.8;F-C;davisan02
5;DeAndre Jordan;12.8;2014-15;26;LAC;82;82;0;12.8;126;98;7.4;5.4;0.217;2.2;0.7;2.9;3.5;21;16.2;32.4;24.5;3.2;1.5;5.4;12.8;13.6;C;jordade01
6;Jimmy Butler;11.2;2014-15;25;CHI;65;65;1;11.2;122;104;8.2;3;0.214;3.4;1.2;4.6;4.2;21.3;5.1;11.2;8.2;14.4;2.3;1;7.7;21.6;F-G;butleji01
7;Russell Westbrook;10.6;2014-15;26;OKC;67;67;1;10.6;111;103;7.5;3.2;0.222;6.9;1.2;8.1;5.8;29.1;5.9;16.7;11.4;47;3;0.5;14.3;38.4;G;westbru01
8;Damian Lillard;10.6;2014-15;24;POR;82;82;1;10.6;112;105;7.3;3.3;0.174;4.3;0.3;4.7;4.9;20.7;1.8;11.8;6.9;29;1.7;0.5;12.6;26.9;G;lillada01
9;Pau Gasol;10.4;2014-15;34;CHI;78;78;1;10.4;112;101;6;4.4;0.187;2.9;0.6;3.5;3.7;22.7;9.2;27.6;18.6;14.4;0.5;4;10.7;24.7;C-F;gasolpa01
10;Kyrie Irving;10.4;2014-15;22;CLE;75;75;1;10.4;117;108;8.4;2;0.183;4.4;-0.4;4.1;4.2;21.5;2.3;7.5;5;25;2.2;0.6;11.8;26.2;G;irvinky01
11;LeBron James;10.4;2014-15;30;CLE;69;69;1;10.4;112;105;7.4;2.9;0.199;6.1;1;7.1;5.7;25.9;2.4;16.6;9.6;38.6;2.3;1.6;15.3;32.3;F-G;jamesle01
12;Tyson Chandler;10.3;2014-15;32;DAL;75;75;0;10.3;133;103;7.2;3.1;0.216;2.4;0.2;2.6;2.7;20.1;14.1;27.4;20.7;5.3;0.9;3.2;16;12.8;C;chandty01
13;Marc Gasol;10.2;2014-15;30;MEM;81;81;1;10.2;111;100;5.5;4.7;0.182;2.7;2.4;5.1;4.8;21.7;4.9;21.8;13.4;19.7;1.4;4;12.2;24.6;C;gasolma01
14;Tim Duncan;9.6;2014-15;38;SAS;77;77;1;9.6;113;97;4.9;4.7;0.207;2.3;2.8;5.1;4;22.6;8.8;26.7;17.9;16.8;1.4;5.1;12.1;22.2;F-C;duncati01
