Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
1;LeBron James;18.5;2009-10;25;CLE;76;76;1;18.5;121;102;13.3;5.2;0.299;9.1;2.8;11.8;10.3;31.1;3;18.5;11.1;41.8;2.2;2;12.3;33.5;F-G;jamesle01
2;Kevin Durant;16.1;2009-10;21;OKC;82;82;1;16.1;118;104;11.1;5;0.238;6.3;0.8;7.1;7.5;26.2;3.8;17.9;11;13.5;1.8;1.9;11.7;32;F-G;duranke01
3;Dwight Howard;13.2;2009-10;24;ORL;82;82;1;13.2;113;95;6.1;7.1;0.223;1.6;2.8;4.4;4.6;24;12;31.3;22;8.7;1.4;6;18.7;23.9;C;howardw01
4;Dwyane Wade;13;2009-10;28;MIA;77;77;1;13;113;103;8.5;4.6;0.224;7.1;2.1;9.2;7.9;28;4.5;11.1;7.8;36.4;2.7;2.4;12.2;34.9;G;wadedw01
5;Dirk Nowitzki;12.3;2009-10;31;DAL;81;80;1;12.3;116;105;8.4;3.9;0.194;3.7;0.5;4.2;4.7;22.9;3.1;20.1;11.7;13;1.2;2;7.8;28.8;F-C;nowitdi01
6;Gerald Wallace;11.5;2009-10;27;CHA;76;76;1;11.5;113;100;5.3;6.2;0.177;1;1.7;2.7;3.7;18.3;5.9;23.2;14.7;9;2;2.2;13.1;20.3;F;wallage01
7;Pau Gasol;11;2009-10;29;LAL;65;65;1;11;120;102;6.8;4.2;0.22;3.7;1.3;4.9;4.2;22.9;11.4;22.7;17.1;15;0.8;3.5;12.5;21.4;C-F;gasolpa01
8;Tim Duncan;10.9;2009-10;33;SAS;78;77;1;10.9;116;101;6.4;4.5;0.215;4.4;1.8;6.1;5;24.7;10.8;26.8;18.9;17.8;1;3.5;10.1;26;F-C;duncati01
9;Al Horford;10.9;2009-10;23;ATL;81;81;1;10.9;121;105;6.9;3.9;0.183;1.8;0.5;2.3;3.1;19.4;9.6;23.3;16.4;10.4;1.1;2.4;11.2;17.6;C-F;horfoal01
10;Nenê;10.8;2009-10;27;DEN;82;82;0;10.8;124;105;7.1;3.7;0.188;1.6;1.6;3.2;3.6;18.9;7;19.1;13.1;11.6;2.1;2.2;12.2;16.5;F-C;hilarne01
11;Amar'e Stoudemire;10.7;2009-10;27;PHO;82;82;1;10.7;117;109;8.2;2.5;0.181;2.1;-1.1;1;2.2;22.6;9.7;18.9;14.5;4.8;0.9;2.1;12.1;27.3;F-C;stoudam01
