Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Kobe Bryant,LAL,06_07,31.6,5.7,5.4,0.512,1
Carmelo Anthony,DEN,06_07,28.9,6.0,3.8,0.549,1
Gilbert Arenas,WAS,06_07,28.4,4.6,6.0,0.5,1
Dwyane Wade,MIA,06_07,27.4,4.7,7.5,0.537,1
LeBron James,CLE,06_07,27.3,6.7,6.0,0.61,1
Michael Redd,MIL,06_07,26.7,3.7,2.3,0.341,0
Ray Allen,SEA,06_07,26.4,4.5,4.1,0.378,0
Allen Iverson,DENPHI,06_07,26.3,3.0,7.2,,0
Vince Carter,NJN,06_07,25.2,6.0,4.8,0.5,0
Yao Ming,HOU,06_07,25.0,9.4,2.0,0.634,0
Joe Johnson,ATL,06_07,25.0,4.2,4.4,0.366,0
Paul Pierce,BOS,06_07,25.0,5.9,4.1,0.293,0
Tracy McGrady,HOU,06_07,24.6,5.3,6.5,0.634,1
Dirk Nowitzki,DAL,06_07,24.6,8.9,3.4,0.817,1
Zach Randolph,POR,06_07,23.6,10.1,2.2,0.39,0
Chris Bosh,TOR,06_07,22.6,10.7,2.5,0.573,1
Kevin Garnett,MIN,06_07,22.4,12.8,4.1,0.39,1
Rashard Lewis,SEA,06_07,22.4,6.6,2.4,0.378,0
Ben Gordon,CHI,06_07,21.4,3.1,3.6,0.598,0
Carlos Boozer,UTA,06_07,20.9,11.7,3.0,0.622,1
Pau Gasol,MEM,06_07,20.8,9.8,3.4,0.268,0
Elton Brand,LAC,06_07,20.5,9.3,2.9,0.488,0
Amar'e Stoudemire,PHO,06_07,20.4,9.6,1.0,0.744,1
Kevin Martin,SAC,06_07,20.2,4.3,2.2,0.402,0
Baron Davis,GSW,06_07,20.1,4.4,8.1,0.512,1
Tim Duncan,SAS,06_07,20.0,10.6,3.4,0.707,1
Antawn Jamison,WAS,06_07,19.8,8.0,1.9,0.5,0
Richard Hamilton,DET,06_07,19.8,3.8,3.8,0.646,0
Eddy Curry,NYK,06_07,19.5,7.0,0.8,0.402,0
Jermaine O'Neal,IND,06_07,19.4,9.6,2.4,0.427,0
Caron Butler,WAS,06_07,19.1,7.4,3.7,0.5,0
Josh Howard,DAL,06_07,18.9,6.8,1.8,0.817,0
Metta World Peace,SAC,06_07,18.8,6.5,3.4,0.402,0
Luol Deng,CHI,06_07,18.8,7.1,2.5,0.598,0
Steve Nash,PHO,06_07,18.6,3.5,11.6,0.744,1
Tony Parker,SAS,06_07,18.6,3.2,5.5,0.707,1
Mike Miller,MEM,06_07,18.5,5.4,4.3,0.268,0
David West,NOK,06_07,18.3,8.2,2.2,0.476,0
Andre Iguodala,PHI,06_07,18.2,5.7,5.7,0.427,0
Gerald Wallace,CHA,06_07,18.1,7.2,2.6,0.402,0
Leandro Barbosa,PHO,06_07,18.1,2.7,4.0,0.744,0
