Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Russell Westbrook,OKC,16_17,31.6,10.7,10.4,0.573,1
James Harden,HOU,16_17,29.1,8.1,11.2,0.671,1
Isaiah Thomas,BOS,16_17,28.9,2.7,5.9,0.646,1
Anthony Davis,NOP,16_17,28.0,11.8,2.1,0.415,1
DeMar DeRozan,TOR,16_17,27.3,5.2,3.9,0.622,1
Damian Lillard,POR,16_17,27.0,4.9,5.9,0.5,0
DeMarcus Cousins,NOPSAC,16_17,27.0,11.0,4.6,,0
LeBron James,CLE,16_17,26.4,8.6,8.7,0.622,1
Kawhi Leonard,SAS,16_17,25.5,5.8,3.5,0.744,1
Stephen Curry,GSW,16_17,25.3,4.5,6.6,0.817,1
Kyrie Irving,CLE,16_17,25.2,3.2,5.8,0.622,0
Karl-Anthony Towns,MIN,16_17,25.1,12.3,2.7,0.378,0
Kevin Durant,GSW,16_17,25.1,8.3,4.8,0.817,1
Jimmy Butler,CHI,16_17,23.9,6.2,5.5,0.5,0
Paul George,IND,16_17,23.7,6.6,3.3,0.512,0
Andrew Wiggins,MIN,16_17,23.6,4.0,2.3,0.378,0
Kemba Walker,CHO,16_17,23.2,3.9,5.5,0.439,0
John Wall,WAS,16_17,23.1,4.2,10.7,0.598,1
Bradley Beal,WAS,16_17,23.1,3.1,3.5,0.598,0
CJ McCollum,POR,16_17,23.0,3.6,3.6,0.5,0
Giannis Antetokounmpo,MIL,16_17,22.9,8.8,5.4,0.512,1
Carmelo Anthony,NYK,16_17,22.4,5.9,2.9,0.378,0
Kyle Lowry,TOR,16_17,22.4,4.8,7.0,0.622,0
Klay Thompson,GSW,16_17,22.3,3.7,2.1,0.817,0
Devin Booker,PHO,16_17,22.1,3.2,3.4,0.293,0
Gordon Hayward,UTA,16_17,21.9,5.4,3.5,0.622,0
Blake Griffin,LAC,16_17,21.6,8.1,4.9,0.622,0
Eric Bledsoe,PHO,16_17,21.1,4.8,6.3,0.293,0
Brook Lopez,BRK,16_17,20.5,5.4,2.3,0.244,0
Mike Conley,MEM,16_17,20.5,3.5,6.3,0.524,0
Goran Dragić,MIA,16_17,20.3,3.8,5.8,0.5,0
Joel Embiid,PHI,16_17,20.2,7.8,2.1,0.341,0
Jabari Parker,MIL,16_17,20.1,6.2,2.8,0.512,0
Marc Gasol,MEM,16_17,19.5,6.3,4.6,0.524,0
Harrison Barnes,DAL,16_17,19.2,5.0,1.5,0.402,0
Kevin Love,CLE,16_17,19.0,11.1,1.9,0.622,0
Zach LaVine,MIN,16_17,18.9,3.4,3.0,0.378,0
Rudy Gay,SAC,16_17,18.7,6.3,2.8,0.39,0
Dwyane Wade,CHI,16_17,18.3,4.5,3.8,0.5,0
Danilo Gallinari,DEN,16_17,18.2,5.2,2.1,0.488,0
Kristaps Porziņģis,NYK,16_17,18.1,7.2,1.5,0.378,0
Chris Paul,LAC,16_17,18.1,5.0,9.2,0.622,0
