Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Scottie Barnes,TOR,22_23,15.3,6.6,4.8,0.5,0
Wendell Carter Jr.,ORL,22_23,15.2,8.7,2.3,0.415,0
Kevin Huerter,SAC,22_23,15.2,3.3,2.9,0.585,0
Khris Middleton,MIL,22_23,15.1,4.2,4.9,0.707,0
Harrison Barnes,SAC,22_23,15.0,4.5,1.6,0.585,0
Immanuel Quickley,NYK,22_23,14.9,4.2,3.4,0.573,0
Malcolm Brogdon,BOS,22_23,14.9,4.2,3.7,0.695,0
Alperen Şengün,HOU,22_23,14.8,9.0,3.9,0.268,0
Tobias Harris,PHI,22_23,14.7,5.7,2.5,0.659,0
Gordon Hayward,CHO,22_23,14.7,4.3,4.1,0.329,0
Trey Murphy III,NOP,22_23,14.5,3.6,1.4,0.512,0
Tim Hardaway Jr.,DAL,22_23,14.4,3.5,1.8,0.463,0
Dillon Brooks,MEM,22_23,14.3,3.3,2.6,0.622,0
Collin Sexton,UTA,22_23,14.3,2.2,2.9,0.451,0
Jarrett Allen,CLE,22_23,14.3,9.8,1.7,0.622,0
Jonas Valančiūnas,NOP,22_23,14.1,10.2,1.8,0.512,0
Bobby Portis,MIL,22_23,14.1,9.6,1.5,0.707,0
Jalen Williams,OKC,22_23,14.1,4.5,3.3,0.488,0
Bogdan Bogdanović,ATL,22_23,14.0,3.1,2.8,0.5,0
Markelle Fultz,ORL,22_23,14.0,3.9,5.7,0.415,0
Chris Paul,PHO,22_23,13.9,4.3,8.9,0.549,0
Saddiq Bey,ATLDET,22_23,13.8,4.7,1.5,,0
Luguentz Dort,OKC,22_23,13.7,4.6,2.1,0.488,0
Malik Monk,SAC,22_23,13.5,2.6,3.9,0.585,0
Rudy Gobert,MIN,22_23,13.4,11.6,1.2,0.512,0
Jusuf Nurkić,POR,22_23,13.3,9.1,2.9,0.402,0
Kris Dunn,UTA,22_23,13.2,4.5,5.6,0.451,0
John Collins,ATL,22_23,13.1,6.5,1.2,0.5,0
Cole Anthony,ORL,22_23,13.0,4.8,3.9,0.415,0
Austin Reaves,LAL,22_23,13.0,3.0,3.4,0.524,0
Tre Jones,SAS,22_23,12.9,3.6,6.6,0.268,0
Jabari Smith Jr.,HOU,22_23,12.8,7.2,1.3,0.268,0
Alec Burks,DET,22_23,12.8,3.1,2.2,0.207,0
KJ Martin,HOU,22_23,12.7,5.5,1.5,0.268,0
Malik Beasley,LALUTA,22_23,12.7,3.5,1.5,,0
Nic Claxton,BRK,22_23,12.6,9.2,1.9,0.549,0
Dennis Schröder,LAL,22_23,12.6,2.5,4.5,0.524,0
Mac McClung,PHI,22_23,12.5,5.0,4.5,0.659,0
Jakob Poeltl,SASTOR,22_23,12.5,9.1,2.7,,0
Kelly Olynyk,UTA,22_23,12.5,6.2,3.7,0.451,0
Eric Gordon,HOULAC,22_23,12.4,1.9,2.7,,0
Derrick White,BOS,22_23,12.4,3.6,3.9,0.695,0
Keegan Murray,SAC,22_23,12.2,4.6,1.2,0.585,0
Caris LeVert,CLE,22_23,12.1,3.8,3.9,0.622,0
Jaden McDaniels,MIN,22_23,12.1,3.9,1.9,0.512,0
Marvin Bagley III,DET,22_23,12.0,6.4,0.9,0.207,0
Clint Capela,ATL,22_23,12.0,11.0,0.9,0.5,0
Mike Conley,MINUTA,22_23,11.9,2.7,6.7,,0
Bones Hyland,DENLAC,22_23,11.8,2.4,3.1,,0
Lonnie Walker IV,LAL,22_23,11.7,1.9,1.1,0.524,0
Zach Collins,SAS,22_23,11.6,6.4,2.9,0.268,0
Bruce Brown,DEN,22_23,11.5,4.1,3.4,0.646,0
Max Strus,MIA,22_23,11.5,3.2,2.1,0.537,0
Marcus Smart,BOS,22_23,11.5,3.1,6.3,0.695,0
Naz Reid,MIN,22_23,11.5,4.9,1.1,0.512,0
John Wall,LAC,22_23,11.4,2.7,5.2,0.537,0
Isaiah Stewart,DET,22_23,11.3,8.1,1.4,0.207,0
Quentin Grimes,NYK,22_23,11.3,3.2,2.1,0.573,0
Rui Hachimura,LALWAS,22_23,11.2,4.5,0.9,,0
Marcus Morris,LAC,22_23,11.2,4.0,1.8,0.537,0
Kyle Lowry,MIA,22_23,11.2,4.1,5.1,0.537,0
Corey Kispert,WAS,22_23,11.1,2.8,1.2,0.427,0
Jeremy Sochan,SAS,22_23,11.0,5.3,2.5,0.268,0
Mason Plumlee,CHOLAC,22_23,10.8,8.9,3.1,,0
Jaylen Nowell,MIN,22_23,10.8,2.6,2.0,0.512,0
Kentavious Caldwell-Pope,DEN,22_23,10.8,2.7,2.4,0.646,0
Ivica Zubac,LAC,22_23,10.8,9.9,1.0,0.537,0
Talen Horton-Tucker,UTA,22_23,10.7,3.2,3.8,0.451,0
Victor Oladipo,MIA,22_23,10.7,3.0,3.5,0.537,0
Jeenathan Williams,POR,22_23,10.6,3.0,2.0,0.402,0
Cam Thomas,BRK,22_23,10.6,1.7,1.4,0.549,0
Moritz Wagner,ORL,22_23,10.5,4.5,1.5,0.415,0
Grayson Allen,MIL,22_23,10.4,3.3,2.3,0.707,0
Killian Hayes,DET,22_23,10.3,2.9,6.2,0.207,0
Tyus Jones,MEM,22_23,10.3,2.5,5.2,0.622,0
Cameron Payne,PHO,22_23,10.3,2.2,4.5,0.549,0
Monte Morris,WAS,22_23,10.3,3.4,5.3,0.427,0
Doug McDermott,SAS,22_23,10.2,2.2,1.4,0.268,0
Malaki Branham,SAS,22_23,10.2,2.7,1.9,0.268,0
Reggie Jackson,DENLAC,22_23,10.2,2.1,3.4,,0
Patrick Williams,CHI,22_23,10.2,4.0,1.2,0.488,0
De'Anthony Melton,PHI,22_23,10.1,4.1,2.6,0.659,0
Aaron Nesmith,IND,22_23,10.1,3.8,1.3,0.427,0
Josh Richardson,NOPSAS,22_23,10.1,2.7,2.7,,0
James Wiseman,DETGSW,22_23,10.0,5.9,0.7,,0
Brandon Clarke,MEM,22_23,10.0,5.5,1.3,0.622,0
Jonathan Kuminga,GSW,22_23,9.9,3.4,1.9,0.537,0
Onyeka Okongwu,ATL,22_23,9.9,7.2,1.0,0.5,0
Jalen Suggs,ORL,22_23,9.9,3.0,2.9,0.415,0
Shaedon Sharpe,POR,22_23,9.9,3.0,1.2,0.402,0
Luka Šamanić,UTA,22_23,9.9,4.3,2.1,0.451,0
Herbert Jones,NOP,22_23,9.8,4.1,2.5,0.512,0
Thomas Bryant,DENLAL,22_23,9.8,5.7,0.5,,0
Al Horford,BOS,22_23,9.8,6.2,3.0,0.695,0
Josh Hart,NYKPOR,22_23,9.8,7.8,3.8,,0
Julian Champagnie,PHISAS,22_23,9.7,3.5,0.6,,0
Cam Reddish,NYKPOR,22_23,9.7,2.2,1.4,,0
Coby White,CHI,22_23,9.7,2.9,2.8,0.488,0
Keita Bates-Diop,SAS,22_23,9.7,3.7,1.5,0.268,0
Caleb Martin,MIA,22_23,9.6,4.8,1.6,0.537,0
Isaiah Joe,OKC,22_23,9.5,2.4,1.2,0.488,0
Andrew Nembhard,IND,22_23,9.5,2.7,4.5,0.427,0
Jalen Smith,IND,22_23,9.4,5.8,1.0,0.427,0
Jalen McDaniels,CHOPHI,22_23,9.4,4.3,1.6,,0
Gabe Vincent,MIA,22_23,9.4,2.1,2.5,0.537,0
Donte DiVincenzo,GSW,22_23,9.4,4.5,3.5,0.537,0
Kyle Anderson,MIN,22_23,9.4,5.3,4.9,0.512,0
Chris Boucher,TOR,22_23,9.4,5.5,0.4,0.5,0
Hamidou Diallo,DET,22_23,9.3,3.5,1.0,0.207,0
