Player,Team,Season,PPG,RPG,APG,Winrate,MVP
Stephen Curry,GSW,20_21,32.0,5.5,5.8,0.542,1
Bradley Beal,WAS,20_21,31.3,4.7,4.4,0.472,0
Damian Lillard,POR,20_21,28.8,4.2,7.5,0.583,1
Joel Embiid,PHI,20_21,28.5,10.6,2.8,0.681,1
Giannis Antetokounmpo,MIL,20_21,28.1,11.0,5.9,0.639,1
Luka Dončić,DAL,20_21,27.7,8.0,8.6,0.583,1
Zach LaVine,CHI,20_21,27.4,5.0,4.9,0.431,0
Zion Williamson,NOP,20_21,27.0,7.2,3.7,0.431,0
Kevin Durant,BRK,20_21,26.9,7.1,5.6,0.667,0
Kyrie Irving,BRK,20_21,26.9,4.8,6.0,0.667,0
Jayson Tatum,BOS,20_21,26.4,7.4,4.3,0.5,0
Donovan Mitchell,UTA,20_21,26.4,4.4,5.2,0.722,0
Nikola Jokić,DEN,20_21,26.4,10.8,8.3,0.653,1
Devin Booker,PHO,20_21,25.6,4.2,4.3,0.708,0
Trae Young,ATL,20_21,25.3,3.9,9.4,0.569,0
De'Aaron Fox,SAC,20_21,25.2,3.5,7.2,0.431,0
LeBron James,LAL,20_21,25.0,7.7,7.8,0.583,1
Kawhi Leonard,LAC,20_21,24.8,6.5,5.2,0.653,1
Karl-Anthony Towns,MIN,20_21,24.8,10.6,4.5,0.319,0
Jaylen Brown,BOS,20_21,24.7,6.0,3.4,0.5,0
James Harden,BRKHOU,20_21,24.6,7.9,10.8,,1
Collin Sexton,CLE,20_21,24.3,3.1,4.4,0.306,0
Julius Randle,NYK,20_21,24.1,10.2,6.0,0.569,1
Brandon Ingram,NOP,20_21,23.8,4.9,4.9,0.431,0
Shai Gilgeous-Alexander,OKC,20_21,23.7,4.7,5.9,0.306,0
Nikola Vučević,CHIORL,20_21,23.4,11.7,3.8,,0
Paul George,LAC,20_21,23.3,6.6,5.2,0.653,0
CJ McCollum,POR,20_21,23.1,3.9,4.7,0.583,0
Jerami Grant,DET,20_21,22.3,4.6,2.8,0.278,0
Russell Westbrook,WAS,20_21,22.2,11.5,11.7,0.472,1
Anthony Davis,LAL,20_21,21.8,7.9,3.1,0.583,0
DeMar DeRozan,SAS,20_21,21.6,4.2,6.9,0.458,0
Jimmy Butler,MIA,20_21,21.5,6.9,7.1,0.556,0
Pascal Siakam,TOR,20_21,21.4,7.2,4.5,0.375,0
Jamal Murray,DEN,20_21,21.2,4.0,4.8,0.653,0
Malcolm Brogdon,IND,20_21,21.2,5.2,5.9,0.472,0
Christian Wood,HOU,20_21,21.0,9.6,1.7,0.236,0
John Wall,HOU,20_21,20.6,3.2,6.9,0.236,0
Terry Rozier,CHO,20_21,20.4,4.4,4.2,0.458,0
Khris Middleton,MIL,20_21,20.4,6.0,5.4,0.639,0
Domantas Sabonis,IND,20_21,20.3,12.0,6.7,0.472,0
Caris LeVert,BRKIND,20_21,20.2,4.6,5.2,,0
Kristaps Porziņģis,DAL,20_21,20.1,8.9,1.6,0.583,0
Victor Oladipo,HOUINDMIA,20_21,19.8,4.8,4.6,,0
Gordon Hayward,CHO,20_21,19.6,5.9,4.1,0.458,0
Fred VanVleet,TOR,20_21,19.6,4.2,6.3,0.375,0
Malik Beasley,MIN,20_21,19.6,4.4,2.4,0.319,0
Tobias Harris,PHI,20_21,19.5,6.8,3.5,0.681,0
Anthony Edwards,MIN,20_21,19.3,4.7,2.9,0.319,0
Kemba Walker,BOS,20_21,19.3,4.0,4.9,0.5,0
Ja Morant,MEM,20_21,19.1,4.0,7.4,0.528,0
Michael Porter Jr.,DEN,20_21,19.0,7.3,1.1,0.653,0
D'Angelo Russell,MIN,20_21,19.0,2.6,5.8,0.319,0
Bam Adebayo,MIA,20_21,18.7,9.0,5.4,0.556,0
Norman Powell,PORTOR,20_21,18.6,3.1,1.9,,0
Andrew Wiggins,GSW,20_21,18.6,4.9,2.4,0.542,0
Jordan Clarkson,UTA,20_21,18.4,4.0,2.5,0.722,0
Eric Gordon,HOU,20_21,17.8,2.1,2.6,0.236,0
Jrue Holiday,MIL,20_21,17.7,4.5,6.1,0.639,0
John Collins,ATL,20_21,17.6,7.4,1.2,0.569,0
RJ Barrett,NYK,20_21,17.6,5.8,3.0,0.569,0
Darius Garland,CLE,20_21,17.4,2.4,6.1,0.306,0
Kyle Lowry,TOR,20_21,17.2,5.4,7.3,0.375,0
Dillon Brooks,MEM,20_21,17.2,2.9,2.3,0.528,0
Evan Fournier,BOSORL,20_21,17.1,3.0,3.4,,0
Jonas Valančiūnas,MEM,20_21,17.1,12.5,1.8,0.528,0
